; CSV, generated by atk_libsigrok4 1.0.0 on 2026-08-22 08:30:23
; Channels (1/16)
; ChannelsType: 1
; Sample rate: 10 MHz
; Sample count: 1.907349 M
; Sampling time: 2026-08-22 08:30:18.027
SystemTime, Time(s), meow
'2026-08-22 08:30:18.027000000,0.000000000,1
'2026-08-22 08:30:18.027002100,0.000002100,0
'2026-08-22 08:30:18.027007600,0.000007600,1
'2026-08-22 08:30:18.027022000,0.000022000,0
'2026-08-22 08:30:18.027033700,0.000033700,1
'2026-08-22 08:30:18.027048400,0.000048400,0
'2026-08-22 08:30:18.027048500,0.000048500,1
'2026-08-22 08:30:18.027048700,0.000048700,0
'2026-08-22 08:30:18.027059800,0.000059800,1
'2026-08-22 08:30:18.027074600,0.000074600,0
'2026-08-22 08:30:18.027085900,0.000085900,1
'2026-08-22 08:30:18.027100400,0.000100400,0
'2026-08-22 08:30:18.027100500,0.000100500,1
'2026-08-22 08:30:18.027100600,0.000100600,0
'2026-08-22 08:30:18.027112000,0.000112000,1
'2026-08-22 08:30:18.027126700,0.000126700,0
'2026-08-22 08:30:18.027126800,0.000126800,1
'2026-08-22 08:30:18.027126900,0.000126900,0
'2026-08-22 08:30:18.027138100,0.000138100,1
'2026-08-22 08:30:18.027152600,0.000152600,0
'2026-08-22 08:30:18.027164200,0.000164200,1
'2026-08-22 08:30:18.027179000,0.000179000,0
'2026-08-22 08:30:18.027179200,0.000179200,1
'2026-08-22 08:30:18.027179300,0.000179300,0
'2026-08-22 08:30:18.027179900,0.000179900,1
'2026-08-22 08:30:18.027180000,0.000180000,0
'2026-08-22 08:30:18.027190300,0.000190300,1
'2026-08-22 08:30:18.027204800,0.000204800,0
'2026-08-22 08:30:18.027204900,0.000204900,1
'2026-08-22 08:30:18.027205000,0.000205000,0
'2026-08-22 08:30:18.027209800,0.000209800,1
'2026-08-22 08:30:18.027209900,0.000209900,0
'2026-08-22 08:30:18.027216400,0.000216400,1
'2026-08-22 08:30:18.027230900,0.000230900,0
'2026-08-22 08:30:18.027242500,0.000242500,1
'2026-08-22 08:30:18.027257400,0.000257400,0
'2026-08-22 08:30:18.027268600,0.000268600,1
'2026-08-22 08:30:18.027283100,0.000283100,0
'2026-08-22 08:30:18.027294700,0.000294700,1
'2026-08-22 08:30:18.027309300,0.000309300,0
'2026-08-22 08:30:18.027310200,0.000310200,1
'2026-08-22 08:30:18.027310300,0.000310300,0
'2026-08-22 08:30:18.027320800,0.000320800,1
'2026-08-22 08:30:18.027335400,0.000335400,0
'2026-08-22 08:30:18.027346900,0.000346900,1
'2026-08-22 08:30:18.027361500,0.000361500,0
'2026-08-22 08:30:18.027373000,0.000373000,1
'2026-08-22 08:30:18.027387600,0.000387600,0
'2026-08-22 08:30:18.027387900,0.000387900,1
'2026-08-22 08:30:18.027388000,0.000388000,0
'2026-08-22 08:30:18.027399100,0.000399100,1
'2026-08-22 08:30:18.027413800,0.000413800,0
'2026-08-22 08:30:18.027425100,0.000425100,1
'2026-08-22 08:30:18.027440000,0.000440000,0
'2026-08-22 08:30:18.027451200,0.000451200,1
