; CSV, generated by atk_libsigrok4 1.0.0 on 2026-08-22 08:20:49
; Channels (1/16)
; ChannelsType: 1
; Sample rate: 10 MHz
; Sample count: 1.907349 M
; Sampling time: 2026-08-22 08:20:29.560
SystemTime, Time(s), meow
'2026-08-22 08:20:29.560000000,0.000000000,1
'2026-08-22 08:20:29.560001900,0.000001900,0
'2026-08-22 08:20:29.560007500,0.000007500,1
'2026-08-22 08:20:29.560021700,0.000021700,0
'2026-08-22 08:20:29.560033600,0.000033600,1
'2026-08-22 08:20:29.560047800,0.000047800,0
'2026-08-22 08:20:29.560059700,0.000059700,1
'2026-08-22 08:20:29.560073900,0.000073900,0
'2026-08-22 08:20:29.560085800,0.000085800,1
'2026-08-22 08:20:29.560100000,0.000100000,0
'2026-08-22 08:20:29.560111900,0.000111900,1
'2026-08-22 08:20:29.560126100,0.000126100,0
'2026-08-22 08:20:29.560137900,0.000137900,1
'2026-08-22 08:20:29.560152200,0.000152200,0
'2026-08-22 08:20:29.560164000,0.000164000,1
'2026-08-22 08:20:29.560178200,0.000178200,0
'2026-08-22 08:20:29.560190100,0.000190100,1
'2026-08-22 08:20:29.560204500,0.000204500,0
'2026-08-22 08:20:29.560216200,0.000216200,1
'2026-08-22 08:20:29.560230400,0.000230400,0
'2026-08-22 08:20:29.560242300,0.000242300,1
'2026-08-22 08:20:29.560256600,0.000256600,0
'2026-08-22 08:20:29.560268400,0.000268400,1
'2026-08-22 08:20:29.560282600,0.000282600,0
'2026-08-22 08:20:29.560294400,0.000294400,1
'2026-08-22 08:20:29.560308600,0.000308600,0
'2026-08-22 08:20:29.560320500,0.000320500,1
'2026-08-22 08:20:29.560334800,0.000334800,0
'2026-08-22 08:20:29.560346600,0.000346600,1
'2026-08-22 08:20:29.560360700,0.000360700,0
'2026-08-22 08:20:29.560372700,0.000372700,1
'2026-08-22 08:20:29.560387000,0.000387000,0
'2026-08-22 08:20:29.560398800,0.000398800,1
'2026-08-22 08:20:29.560413100,0.000413100,0
'2026-08-22 08:20:29.560424800,0.000424800,1
'2026-08-22 08:20:29.560439000,0.000439000,0
'2026-08-22 08:20:29.560450900,0.000450900,1
'2026-08-22 08:20:29.560465400,0.000465400,0
'2026-08-22 08:20:29.560477000,0.000477000,1
'2026-08-22 08:20:29.560491200,0.000491200,0
'2026-08-22 08:20:29.560503100,0.000503100,1
'2026-08-22 08:20:29.560517400,0.000517400,0
'2026-08-22 08:20:29.560529200,0.000529200,1
'2026-08-22 08:20:29.560543400,0.000543400,0
'2026-08-22 08:20:29.560555300,0.000555300,1
'2026-08-22 08:20:29.560569600,0.000569600,0
'2026-08-22 08:20:29.560581300,0.000581300,1
'2026-08-22 08:20:29.560595900,0.000595900,0
'2026-08-22 08:20:29.560607400,0.000607400,1
'2026-08-22 08:20:29.560621600,0.000621600,0
'2026-08-22 08:20:29.560633500,0.000633500,1
'2026-08-22 08:20:29.560647700,0.000647700,0
'2026-08-22 08:20:29.560659600,0.000659600,1
'2026-08-22 08:20:29.560674000,0.000674000,0
'2026-08-22 08:20:29.560685700,0.000685700,1
'2026-08-22 08:20:29.560699900,0.000699900,0
'2026-08-22 08:20:29.560711700,0.000711700,1
'2026-08-22 08:20:29.560726200,0.000726200,0
'2026-08-22 08:20:29.560726600,0.000726600,1
'2026-08-22 08:20:29.560726700,0.000726700,0
'2026-08-22 08:20:29.560737800,0.000737800,1
'2026-08-22 08:20:29.560752000,0.000752000,0
'2026-08-22 08:20:29.560763900,0.000763900,1
'2026-08-22 08:20:29.560778200,0.000778200,0
'2026-08-22 08:20:29.560778300,0.000778300,1
'2026-08-22 08:20:29.560778400,0.000778400,0
'2026-08-22 08:20:29.560790000,0.000790000,1
'2026-08-22 08:20:29.560804400,0.000804400,0
'2026-08-22 08:20:29.560810700,0.000810700,1
'2026-08-22 08:20:29.560810800,0.000810800,0
'2026-08-22 08:20:29.560816100,0.000816100,1
'2026-08-22 08:20:29.560830500,0.000830500,0
'2026-08-22 08:20:29.560842200,0.000842200,1
'2026-08-22 08:20:29.560856500,0.000856500,0
'2026-08-22 08:20:29.560868200,0.000868200,1
'2026-08-22 08:20:29.560882400,0.000882400,0
'2026-08-22 08:20:29.560894300,0.000894300,1
