; CSV, generated by atk_libsigrok4 1.0.0 on 2026-08-22 08:21:31
; Channels (1/16)
; ChannelsType: 1
; Sample rate: 10 MHz
; Sample count: 1.907349 M
; Sampling time: 2026-08-22 08:21:24.144
SystemTime, Time(s), meow
'2026-08-22 08:21:24.144000000,0.000000000,1
'2026-08-22 08:21:24.144002100,0.000002100,0
'2026-08-22 08:21:24.144007900,0.000007900,1
'2026-08-22 08:21:24.144022000,0.000022000,0
'2026-08-22 08:21:24.144033900,0.000033900,1
'2026-08-22 08:21:24.144048000,0.000048000,0
'2026-08-22 08:21:24.144059900,0.000059900,1
'2026-08-22 08:21:24.144074000,0.000074000,0
'2026-08-22 08:21:24.144086000,0.000086000,1
'2026-08-22 08:21:24.144100200,0.000100200,0
'2026-08-22 08:21:24.144112000,0.000112000,1
'2026-08-22 08:21:24.144126100,0.000126100,0
'2026-08-22 08:21:24.144138000,0.000138000,1
'2026-08-22 08:21:24.144152200,0.000152200,0
'2026-08-22 08:21:24.144164100,0.000164100,1
'2026-08-22 08:21:24.144178100,0.000178100,0
'2026-08-22 08:21:24.144190100,0.000190100,1
'2026-08-22 08:21:24.144204200,0.000204200,0
'2026-08-22 08:21:24.144216100,0.000216100,1
'2026-08-22 08:21:24.144230200,0.000230200,0
'2026-08-22 08:21:24.144242200,0.000242200,1
'2026-08-22 08:21:24.144256300,0.000256300,0
'2026-08-22 08:21:24.144268200,0.000268200,1
'2026-08-22 08:21:24.144282400,0.000282400,0
'2026-08-22 08:21:24.144294200,0.000294200,1
'2026-08-22 08:21:24.144308300,0.000308300,0
'2026-08-22 08:21:24.144320300,0.000320300,1
'2026-08-22 08:21:24.144334400,0.000334400,0
'2026-08-22 08:21:24.144346300,0.000346300,1
'2026-08-22 08:21:24.144360400,0.000360400,0
'2026-08-22 08:21:24.144372300,0.000372300,1
'2026-08-22 08:21:24.144386400,0.000386400,0
'2026-08-22 08:21:24.144398400,0.000398400,1
'2026-08-22 08:21:24.144412400,0.000412400,0
'2026-08-22 08:21:24.144424400,0.000424400,1
'2026-08-22 08:21:24.144438400,0.000438400,0
'2026-08-22 08:21:24.144450400,0.000450400,1
'2026-08-22 08:21:24.144464600,0.000464600,0
'2026-08-22 08:21:24.144476500,0.000476500,1
'2026-08-22 08:21:24.144490500,0.000490500,0
'2026-08-22 08:21:24.144502500,0.000502500,1
'2026-08-22 08:21:24.144516700,0.000516700,0
'2026-08-22 08:21:24.144528500,0.000528500,1
'2026-08-22 08:21:24.144542600,0.000542600,0
'2026-08-22 08:21:24.144554600,0.000554600,1
'2026-08-22 08:21:24.144568700,0.000568700,0
'2026-08-22 08:21:24.144580600,0.000580600,1
'2026-08-22 08:21:24.144594700,0.000594700,0
'2026-08-22 08:21:24.144606600,0.000606600,1
'2026-08-22 08:21:24.144620700,0.000620700,0
'2026-08-22 08:21:24.144632600,0.000632600,1
'2026-08-22 08:21:24.144646800,0.000646800,0
'2026-08-22 08:21:24.144658700,0.000658700,1
'2026-08-22 08:21:24.144672800,0.000672800,0
'2026-08-22 08:21:24.144684700,0.000684700,1
'2026-08-22 08:21:24.144698800,0.000698800,0
'2026-08-22 08:21:24.144710700,0.000710700,1
'2026-08-22 08:21:24.144724900,0.000724900,0
'2026-08-22 08:21:24.144736800,0.000736800,1
'2026-08-22 08:21:24.144750800,0.000750800,0
'2026-08-22 08:21:24.144762800,0.000762800,1
'2026-08-22 08:21:24.144776900,0.000776900,0
'2026-08-22 08:21:24.144788800,0.000788800,1
'2026-08-22 08:21:24.144803000,0.000803000,0
'2026-08-22 08:21:24.144814900,0.000814900,1
'2026-08-22 08:21:24.144829000,0.000829000,0
'2026-08-22 08:21:24.144840900,0.000840900,1
'2026-08-22 08:21:24.144855000,0.000855000,0
'2026-08-22 08:21:24.144866900,0.000866900,1
'2026-08-22 08:21:24.144881000,0.000881000,0
'2026-08-22 08:21:24.144892900,0.000892900,1
'2026-08-22 08:21:24.144907000,0.000907000,0
'2026-08-22 08:21:24.144919000,0.000919000,1
'2026-08-22 08:21:24.144933100,0.000933100,0
'2026-08-22 08:21:24.144945000,0.000945000,1
'2026-08-22 08:21:24.144959100,0.000959100,0
'2026-08-22 08:21:24.144971000,0.000971000,1
'2026-08-22 08:21:24.144985200,0.000985200,0
'2026-08-22 08:21:24.144997100,0.000997100,1
'2026-08-22 08:21:24.145011200,0.001011200,0
'2026-08-22 08:21:24.145023100,0.001023100,1
'2026-08-22 08:21:24.145037300,0.001037300,0
'2026-08-22 08:21:24.145049100,0.001049100,1
'2026-08-22 08:21:24.145063200,0.001063200,0
'2026-08-22 08:21:24.145075200,0.001075200,1
'2026-08-22 08:21:24.145089300,0.001089300,0
'2026-08-22 08:21:24.145101200,0.001101200,1
'2026-08-22 08:21:24.145115400,0.001115400,0
'2026-08-22 08:21:24.145127200,0.001127200,1
'2026-08-22 08:21:24.145141400,0.001141400,0
'2026-08-22 08:21:24.145153300,0.001153300,1
'2026-08-22 08:21:24.145167400,0.001167400,0
'2026-08-22 08:21:24.145179300,0.001179300,1
'2026-08-22 08:21:24.145193400,0.001193400,0
'2026-08-22 08:21:24.145205300,0.001205300,1
'2026-08-22 08:21:24.145219500,0.001219500,0
'2026-08-22 08:21:24.145231300,0.001231300,1
'2026-08-22 08:21:24.145245500,0.001245500,0
'2026-08-22 08:21:24.145257400,0.001257400,1
'2026-08-22 08:21:24.145271500,0.001271500,0
'2026-08-22 08:21:24.145283400,0.001283400,1
'2026-08-22 08:21:24.145297600,0.001297600,0
'2026-08-22 08:21:24.145309400,0.001309400,1
'2026-08-22 08:21:24.145323500,0.001323500,0
'2026-08-22 08:21:24.145335500,0.001335500,1
'2026-08-22 08:21:24.145349700,0.001349700,0
'2026-08-22 08:21:24.145361500,0.001361500,1
'2026-08-22 08:21:24.145375600,0.001375600,0
'2026-08-22 08:21:24.145387500,0.001387500,1
'2026-08-22 08:21:24.145401700,0.001401700,0
'2026-08-22 08:21:24.145413600,0.001413600,1
'2026-08-22 08:21:24.145427700,0.001427700,0
'2026-08-22 08:21:24.145439600,0.001439600,1
'2026-08-22 08:21:24.145453700,0.001453700,0
'2026-08-22 08:21:24.145465600,0.001465600,1
'2026-08-22 08:21:24.145479900,0.001479900,0
'2026-08-22 08:21:24.145491700,0.001491700,1
'2026-08-22 08:21:24.145505800,0.001505800,0
'2026-08-22 08:21:24.145517700,0.001517700,1
'2026-08-22 08:21:24.145531900,0.001531900,0
'2026-08-22 08:21:24.145543700,0.001543700,1
'2026-08-22 08:21:24.145558000,0.001558000,0
'2026-08-22 08:21:24.145569700,0.001569700,1
'2026-08-22 08:21:24.145583900,0.001583900,0
'2026-08-22 08:21:24.145595800,0.001595800,1
'2026-08-22 08:21:24.145610000,0.001610000,0
'2026-08-22 08:21:24.145612100,0.001612100,1
'2026-08-22 08:21:24.145612200,0.001612200,0
'2026-08-22 08:21:24.145621800,0.001621800,1
'2026-08-22 08:21:24.145635900,0.001635900,0
'2026-08-22 08:21:24.145647800,0.001647800,1
'2026-08-22 08:21:24.145662000,0.001662000,0
'2026-08-22 08:21:24.145673900,0.001673900,1
'2026-08-22 08:21:24.145688000,0.001688000,0
'2026-08-22 08:21:24.145699800,0.001699800,1
'2026-08-22 08:21:24.145714000,0.001714000,0
'2026-08-22 08:21:24.145725900,0.001725900,1
'2026-08-22 08:21:24.145740200,0.001740200,0
'2026-08-22 08:21:24.145752000,0.001752000,1
'2026-08-22 08:21:24.145766100,0.001766100,0
'2026-08-22 08:21:24.145778000,0.001778000,1
'2026-08-22 08:21:24.145792200,0.001792200,0
'2026-08-22 08:21:24.145804000,0.001804000,1
'2026-08-22 08:21:24.145818100,0.001818100,0
'2026-08-22 08:21:24.145830100,0.001830100,1
'2026-08-22 08:21:24.145844200,0.001844200,0
'2026-08-22 08:21:24.145856100,0.001856100,1
'2026-08-22 08:21:24.145870300,0.001870300,0
'2026-08-22 08:21:24.145882100,0.001882100,1
'2026-08-22 08:21:24.145896200,0.001896200,0
'2026-08-22 08:21:24.145908200,0.001908200,1
'2026-08-22 08:21:24.145922400,0.001922400,0
'2026-08-22 08:21:24.145934200,0.001934200,1
'2026-08-22 08:21:24.145948300,0.001948300,0
'2026-08-22 08:21:24.145960200,0.001960200,1
'2026-08-22 08:21:24.145974400,0.001974400,0
'2026-08-22 08:21:24.145986300,0.001986300,1
'2026-08-22 08:21:24.146000400,0.002000400,0
'2026-08-22 08:21:24.146012300,0.002012300,1
'2026-08-22 08:21:24.146026400,0.002026400,0
'2026-08-22 08:21:24.146038300,0.002038300,1
'2026-08-22 08:21:24.146052500,0.002052500,0
'2026-08-22 08:21:24.146064300,0.002064300,1
'2026-08-22 08:21:24.146078500,0.002078500,0
'2026-08-22 08:21:24.146090400,0.002090400,1
'2026-08-22 08:21:24.146104600,0.002104600,0
'2026-08-22 08:21:24.146116400,0.002116400,1
'2026-08-22 08:21:24.146130500,0.002130500,0
'2026-08-22 08:21:24.146142400,0.002142400,1
'2026-08-22 08:21:24.146156600,0.002156600,0
'2026-08-22 08:21:24.146168500,0.002168500,1
'2026-08-22 08:21:24.146182600,0.002182600,0
'2026-08-22 08:21:24.146194500,0.002194500,1
'2026-08-22 08:21:24.146208600,0.002208600,0
'2026-08-22 08:21:24.146220500,0.002220500,1
'2026-08-22 08:21:24.146234700,0.002234700,0
'2026-08-22 08:21:24.146246600,0.002246600,1
'2026-08-22 08:21:24.146260700,0.002260700,0
'2026-08-22 08:21:24.146272600,0.002272600,1
'2026-08-22 08:21:24.146286700,0.002286700,0
'2026-08-22 08:21:24.146298600,0.002298600,1
'2026-08-22 08:21:24.146312800,0.002312800,0
'2026-08-22 08:21:24.146324700,0.002324700,1
'2026-08-22 08:21:24.146338800,0.002338800,0
'2026-08-22 08:21:24.146350700,0.002350700,1
'2026-08-22 08:21:24.146365000,0.002365000,0
'2026-08-22 08:21:24.146376700,0.002376700,1
'2026-08-22 08:21:24.146390900,0.002390900,0
'2026-08-22 08:21:24.146402800,0.002402800,1
'2026-08-22 08:21:24.146417000,0.002417000,0
'2026-08-22 08:21:24.146428800,0.002428800,1
'2026-08-22 08:21:24.146442900,0.002442900,0
'2026-08-22 08:21:24.146454800,0.002454800,1
'2026-08-22 08:21:24.146469100,0.002469100,0
'2026-08-22 08:21:24.146480800,0.002480800,1
'2026-08-22 08:21:24.146495000,0.002495000,0
'2026-08-22 08:21:24.146506900,0.002506900,1
'2026-08-22 08:21:24.146521000,0.002521000,0
'2026-08-22 08:21:24.146532900,0.002532900,1
'2026-08-22 08:21:24.146547200,0.002547200,0
'2026-08-22 08:21:24.146558900,0.002558900,1
'2026-08-22 08:21:24.146573200,0.002573200,0
