; CSV, generated by atk_libsigrok4 1.0.0 on 2026-08-22 08:21:45
; Channels (1/16)
; ChannelsType: 1
; Sample rate: 10 MHz
; Sample count: 1.907349 M
; Sampling time: 2026-08-22 08:21:40.054
SystemTime, Time(s), meow
'2026-08-22 08:21:40.054000000,0.000000000,1
'2026-08-22 08:21:40.054001900,0.000001900,0
'2026-08-22 08:21:40.054007700,0.000007700,1
'2026-08-22 08:21:40.054021800,0.000021800,0
'2026-08-22 08:21:40.054033700,0.000033700,1
'2026-08-22 08:21:40.054047800,0.000047800,0
'2026-08-22 08:21:40.054059800,0.000059800,1
'2026-08-22 08:21:40.054073900,0.000073900,0
'2026-08-22 08:21:40.054085800,0.000085800,1
'2026-08-22 08:21:40.054100000,0.000100000,0
'2026-08-22 08:21:40.054111800,0.000111800,1
'2026-08-22 08:21:40.054125900,0.000125900,0
'2026-08-22 08:21:40.054137900,0.000137900,1
'2026-08-22 08:21:40.054152000,0.000152000,0
'2026-08-22 08:21:40.054163900,0.000163900,1
'2026-08-22 08:21:40.054178000,0.000178000,0
'2026-08-22 08:21:40.054189900,0.000189900,1
'2026-08-22 08:21:40.054204000,0.000204000,0
'2026-08-22 08:21:40.054216000,0.000216000,1
'2026-08-22 08:21:40.054230200,0.000230200,0
'2026-08-22 08:21:40.054242000,0.000242000,1
'2026-08-22 08:21:40.054256100,0.000256100,0
'2026-08-22 08:21:40.054268000,0.000268000,1
'2026-08-22 08:21:40.054282200,0.000282200,0
'2026-08-22 08:21:40.054294100,0.000294100,1
'2026-08-22 08:21:40.054308200,0.000308200,0
'2026-08-22 08:21:40.054320100,0.000320100,1
'2026-08-22 08:21:40.054334300,0.000334300,0
'2026-08-22 08:21:40.054346100,0.000346100,1
'2026-08-22 08:21:40.054360300,0.000360300,0
'2026-08-22 08:21:40.054372200,0.000372200,1
'2026-08-22 08:21:40.054386300,0.000386300,0
'2026-08-22 08:21:40.054386900,0.000386900,1
'2026-08-22 08:21:40.054387000,0.000387000,0
