; CSV, generated by atk_libsigrok4 1.0.0 on 2026-08-22 08:31:10
; Channels (1/16)
; ChannelsType: 1
; Sample rate: 10 MHz
; Sample count: 1.907349 M
; Sampling time: 2026-08-22 08:31:06.959
SystemTime, Time(s), meow
'2026-08-22 08:31:06.959000000,0.000000000,1
'2026-08-22 08:31:06.959002300,0.000002300,0
'2026-08-22 08:31:06.959012600,0.000012600,1
'2026-08-22 08:31:06.959027200,0.000027200,0
'2026-08-22 08:31:06.959027300,0.000027300,1
'2026-08-22 08:31:06.959027400,0.000027400,0
'2026-08-22 08:31:06.959038700,0.000038700,1
'2026-08-22 08:31:06.959053200,0.000053200,0
'2026-08-22 08:31:06.959064700,0.000064700,1
'2026-08-22 08:31:06.959079400,0.000079400,0
'2026-08-22 08:31:06.959090800,0.000090800,1
'2026-08-22 08:31:06.959105400,0.000105400,0
'2026-08-22 08:31:06.959105500,0.000105500,1
'2026-08-22 08:31:06.959105600,0.000105600,0
'2026-08-22 08:31:06.959116900,0.000116900,1
'2026-08-22 08:31:06.959131500,0.000131500,0
'2026-08-22 08:31:06.959143000,0.000143000,1
'2026-08-22 08:31:06.959157600,0.000157600,0
'2026-08-22 08:31:06.959169100,0.000169100,1
'2026-08-22 08:31:06.959183800,0.000183800,0
'2026-08-22 08:31:06.959195200,0.000195200,1
'2026-08-22 08:31:06.959210000,0.000210000,0
'2026-08-22 08:31:06.959221300,0.000221300,1
'2026-08-22 08:31:06.959235900,0.000235900,0
'2026-08-22 08:31:06.959247400,0.000247400,1
'2026-08-22 08:31:06.959262100,0.000262100,0
'2026-08-22 08:31:06.959273500,0.000273500,1
'2026-08-22 08:31:06.959288100,0.000288100,0
'2026-08-22 08:31:06.959288200,0.000288200,1
'2026-08-22 08:31:06.959288300,0.000288300,0
'2026-08-22 08:31:06.959299500,0.000299500,1
'2026-08-22 08:31:06.959314200,0.000314200,0
'2026-08-22 08:31:06.959325600,0.000325600,1
'2026-08-22 08:31:06.959340500,0.000340500,0
'2026-08-22 08:31:06.959351700,0.000351700,1
'2026-08-22 08:31:06.959366400,0.000366400,0
'2026-08-22 08:31:06.959366500,0.000366500,1
'2026-08-22 08:31:06.959366600,0.000366600,0
'2026-08-22 08:31:06.959377800,0.000377800,1
'2026-08-22 08:31:06.959392500,0.000392500,0
'2026-08-22 08:31:06.959392700,0.000392700,1
'2026-08-22 08:31:06.959392800,0.000392800,0
'2026-08-22 08:31:06.959402800,0.000402800,1
'2026-08-22 08:31:06.959402900,0.000402900,0
'2026-08-22 08:31:06.959403900,0.000403900,1
'2026-08-22 08:31:06.959418600,0.000418600,0
'2026-08-22 08:31:06.959430000,0.000430000,1
'2026-08-22 08:31:06.959444600,0.000444600,0
'2026-08-22 08:31:06.959444700,0.000444700,1
'2026-08-22 08:31:06.959444800,0.000444800,0
'2026-08-22 08:31:06.959456100,0.000456100,1
'2026-08-22 08:31:06.959471000,0.000471000,0
'2026-08-22 08:31:06.959482200,0.000482200,1
'2026-08-22 08:31:06.959497000,0.000497000,0
'2026-08-22 08:31:06.959508300,0.000508300,1
