; CSV, generated by atk_libsigrok4 1.0.0 on 2026-08-22 08:26:03
; Channels (1/16)
; ChannelsType: 1
; Sample rate: 10 MHz
; Sample count: 1.907349 M
; Sampling time: 2026-08-22 08:25:54.086
SystemTime, Time(s), meow
'2026-08-22 08:25:54.086000000,0.000000000,1
'2026-08-22 08:25:54.086001600,0.000001600,0
'2026-08-22 08:25:54.086009600,0.000009600,1
'2026-08-22 08:25:54.086024200,0.000024200,0
'2026-08-22 08:25:54.086035600,0.000035600,1
'2026-08-22 08:25:54.086050400,0.000050400,0
'2026-08-22 08:25:54.086061600,0.000061600,1
'2026-08-22 08:25:54.086076400,0.000076400,0
'2026-08-22 08:25:54.086076600,0.000076600,1
'2026-08-22 08:25:54.086076700,0.000076700,0
'2026-08-22 08:25:54.086087700,0.000087700,1
'2026-08-22 08:25:54.086102500,0.000102500,0
'2026-08-22 08:25:54.086106300,0.000106300,1
'2026-08-22 08:25:54.086106400,0.000106400,0
'2026-08-22 08:25:54.086113700,0.000113700,1
'2026-08-22 08:25:54.086128600,0.000128600,0
'2026-08-22 08:25:54.086139800,0.000139800,1
'2026-08-22 08:25:54.086154600,0.000154600,0
'2026-08-22 08:25:54.086154800,0.000154800,1
'2026-08-22 08:25:54.086155000,0.000155000,0
'2026-08-22 08:25:54.086155500,0.000155500,1
'2026-08-22 08:25:54.086155600,0.000155600,0
'2026-08-22 08:25:54.086165800,0.000165800,1
'2026-08-22 08:25:54.086180800,0.000180800,0
'2026-08-22 08:25:54.086181000,0.000181000,1
'2026-08-22 08:25:54.086181100,0.000181100,0
'2026-08-22 08:25:54.086181600,0.000181600,1
'2026-08-22 08:25:54.086181700,0.000181700,0
'2026-08-22 08:25:54.086182800,0.000182800,1
'2026-08-22 08:25:54.086182900,0.000182900,0
'2026-08-22 08:25:54.086183400,0.000183400,1
'2026-08-22 08:25:54.086183500,0.000183500,0
'2026-08-22 08:25:54.086191800,0.000191800,1
'2026-08-22 08:25:54.086206900,0.000206900,0
'2026-08-22 08:25:54.086207000,0.000207000,1
'2026-08-22 08:25:54.086207100,0.000207100,0
'2026-08-22 08:25:54.086207200,0.000207200,1
'2026-08-22 08:25:54.086207400,0.000207400,0
'2026-08-22 08:25:54.086212000,0.000212000,1
'2026-08-22 08:25:54.086212100,0.000212100,0
'2026-08-22 08:25:54.086212900,0.000212900,1
'2026-08-22 08:25:54.086213000,0.000213000,0
'2026-08-22 08:25:54.086213100,0.000213100,1
'2026-08-22 08:25:54.086213300,0.000213300,0
'2026-08-22 08:25:54.086213700,0.000213700,1
'2026-08-22 08:25:54.086213900,0.000213900,0
'2026-08-22 08:25:54.086216000,0.000216000,1
'2026-08-22 08:25:54.086216100,0.000216100,0
'2026-08-22 08:25:54.086216600,0.000216600,1
'2026-08-22 08:25:54.086216700,0.000216700,0
