; CSV, generated by atk_libsigrok4 1.0.0 on 2026-08-22 08:26:17
; Channels (1/16)
; ChannelsType: 1
; Sample rate: 10 MHz
; Sample count: 1.907349 M
; Sampling time: 2026-08-22 08:26:11.203
SystemTime, Time(s), meow
'2026-08-22 08:26:11.203000000,0.000000000,1
'2026-08-22 08:26:11.203002200,0.000002200,0
'2026-08-22 08:26:11.203007600,0.000007600,1
'2026-08-22 08:26:11.203022300,0.000022300,0
'2026-08-22 08:26:11.203033700,0.000033700,1
'2026-08-22 08:26:11.203048200,0.000048200,0
'2026-08-22 08:26:11.203059800,0.000059800,1
'2026-08-22 08:26:11.203074300,0.000074300,0
'2026-08-22 08:26:11.203085800,0.000085800,1
'2026-08-22 08:26:11.203100300,0.000100300,0
'2026-08-22 08:26:11.203111900,0.000111900,1
'2026-08-22 08:26:11.203126600,0.000126600,0
'2026-08-22 08:26:11.203138000,0.000138000,1
'2026-08-22 08:26:11.203152500,0.000152500,0
'2026-08-22 08:26:11.203164000,0.000164000,1
'2026-08-22 08:26:11.203178700,0.000178700,0
'2026-08-22 08:26:11.203190100,0.000190100,1
'2026-08-22 08:26:11.203205000,0.000205000,0
'2026-08-22 08:26:11.203216100,0.000216100,1
'2026-08-22 08:26:11.203230700,0.000230700,0
'2026-08-22 08:26:11.203242200,0.000242200,1
'2026-08-22 08:26:11.203256900,0.000256900,0
'2026-08-22 08:26:11.203268300,0.000268300,1
'2026-08-22 08:26:11.203283000,0.000283000,0
'2026-08-22 08:26:11.203283100,0.000283100,1
'2026-08-22 08:26:11.203283200,0.000283200,0
'2026-08-22 08:26:11.203294300,0.000294300,1
'2026-08-22 08:26:11.203309000,0.000309000,0
'2026-08-22 08:26:11.203311200,0.000311200,1
'2026-08-22 08:26:11.203311300,0.000311300,0
'2026-08-22 08:26:11.203320400,0.000320400,1
'2026-08-22 08:26:11.203335000,0.000335000,0
'2026-08-22 08:26:11.203335100,0.000335100,1
'2026-08-22 08:26:11.203335200,0.000335200,0
'2026-08-22 08:26:11.203346400,0.000346400,1
'2026-08-22 08:26:11.203361000,0.000361000,0
'2026-08-22 08:26:11.203361100,0.000361100,1
'2026-08-22 08:26:11.203361200,0.000361200,0
'2026-08-22 08:26:11.203361300,0.000361300,1
'2026-08-22 08:26:11.203361400,0.000361400,0
'2026-08-22 08:26:11.203370700,0.000370700,1
'2026-08-22 08:26:11.203370800,0.000370800,0
'2026-08-22 08:26:11.203372500,0.000372500,1
'2026-08-22 08:26:11.203387300,0.000387300,0
'2026-08-22 08:26:11.203398600,0.000398600,1
'2026-08-22 08:26:11.203413400,0.000413400,0
'2026-08-22 08:26:11.203414100,0.000414100,1
'2026-08-22 08:26:11.203414200,0.000414200,0
'2026-08-22 08:26:11.203414400,0.000414400,1
'2026-08-22 08:26:11.203414500,0.000414500,0
'2026-08-22 08:26:11.203417300,0.000417300,1
'2026-08-22 08:26:11.203417400,0.000417400,0
'2026-08-22 08:26:11.203418300,0.000418300,1
'2026-08-22 08:26:11.203418400,0.000418400,0
'2026-08-22 08:26:11.203424600,0.000424600,1
'2026-08-22 08:26:11.203439300,0.000439300,0
'2026-08-22 08:26:11.203439500,0.000439500,1
'2026-08-22 08:26:11.203439700,0.000439700,0
'2026-08-22 08:26:11.203446000,0.000446000,1
'2026-08-22 08:26:11.203446100,0.000446100,0
'2026-08-22 08:26:11.203447700,0.000447700,1
'2026-08-22 08:26:11.203447800,0.000447800,0
'2026-08-22 08:26:11.203450700,0.000450700,1
'2026-08-22 08:26:11.203465600,0.000465600,0
'2026-08-22 08:26:11.203465700,0.000465700,1
'2026-08-22 08:26:11.203466000,0.000466000,0
'2026-08-22 08:26:11.203476800,0.000476800,1
'2026-08-22 08:26:11.203491700,0.000491700,0
'2026-08-22 08:26:11.203491900,0.000491900,1
'2026-08-22 08:26:11.203492000,0.000492000,0
'2026-08-22 08:26:11.203492800,0.000492800,1
'2026-08-22 08:26:11.203492900,0.000492900,0
'2026-08-22 08:26:11.203499700,0.000499700,1
'2026-08-22 08:26:11.203499800,0.000499800,0
'2026-08-22 08:26:11.203502800,0.000502800,1
'2026-08-22 08:26:11.203517700,0.000517700,0
'2026-08-22 08:26:11.203517800,0.000517800,1
'2026-08-22 08:26:11.203517900,0.000517900,0
'2026-08-22 08:26:11.203518100,0.000518100,1
'2026-08-22 08:26:11.203518200,0.000518200,0
'2026-08-22 08:26:11.203518300,0.000518300,1
'2026-08-22 08:26:11.203518400,0.000518400,0
'2026-08-22 08:26:11.203518900,0.000518900,1
'2026-08-22 08:26:11.203519100,0.000519100,0
'2026-08-22 08:26:11.203528900,0.000528900,1
'2026-08-22 08:26:11.203543700,0.000543700,0
'2026-08-22 08:26:11.203544600,0.000544600,1
'2026-08-22 08:26:11.203544700,0.000544700,0
'2026-08-22 08:26:11.203548700,0.000548700,1
'2026-08-22 08:26:11.203548800,0.000548800,0
'2026-08-22 08:26:11.203552200,0.000552200,1
'2026-08-22 08:26:11.203552300,0.000552300,0
'2026-08-22 08:26:11.203554500,0.000554500,1
'2026-08-22 08:26:11.203554600,0.000554600,0
'2026-08-22 08:26:11.203555000,0.000555000,1
'2026-08-22 08:26:11.203569900,0.000569900,0
'2026-08-22 08:26:11.203572100,0.000572100,1
'2026-08-22 08:26:11.203572200,0.000572200,0
'2026-08-22 08:26:11.203573000,0.000573000,1
'2026-08-22 08:26:11.203573100,0.000573100,0
'2026-08-22 08:26:11.203574400,0.000574400,1
'2026-08-22 08:26:11.203574500,0.000574500,0
'2026-08-22 08:26:11.203576700,0.000576700,1
'2026-08-22 08:26:11.203576800,0.000576800,0
'2026-08-22 08:26:11.203577900,0.000577900,1
