; CSV, generated by atk_libsigrok4 1.0.0 on 2026-08-22 08:28:51
; Channels (1/16)
; ChannelsType: 1
; Sample rate: 10 MHz
; Sample count: 1.907349 M
; Sampling time: 2026-08-22 08:28:41.742
SystemTime, Time(s), meow
'2026-08-22 08:28:41.742000000,0.000000000,1
'2026-08-22 08:28:41.742002100,0.000002100,0
'2026-08-22 08:28:41.742007500,0.000007500,1
'2026-08-22 08:28:41.742022000,0.000022000,0
'2026-08-22 08:28:41.742033600,0.000033600,1
'2026-08-22 08:28:41.742048100,0.000048100,0
'2026-08-22 08:28:41.742059700,0.000059700,1
'2026-08-22 08:28:41.742074300,0.000074300,0
'2026-08-22 08:28:41.742085800,0.000085800,1
'2026-08-22 08:28:41.742100400,0.000100400,0
'2026-08-22 08:28:41.742100800,0.000100800,1
'2026-08-22 08:28:41.742100900,0.000100900,0
'2026-08-22 08:28:41.742111900,0.000111900,1
'2026-08-22 08:28:41.742126400,0.000126400,0
'2026-08-22 08:28:41.742137900,0.000137900,1
'2026-08-22 08:28:41.742152600,0.000152600,0
'2026-08-22 08:28:41.742164000,0.000164000,1
'2026-08-22 08:28:41.742178500,0.000178500,0
'2026-08-22 08:28:41.742190100,0.000190100,1
'2026-08-22 08:28:41.742204800,0.000204800,0
'2026-08-22 08:28:41.742216200,0.000216200,1
'2026-08-22 08:28:41.742230900,0.000230900,0
'2026-08-22 08:28:41.742242300,0.000242300,1
'2026-08-22 08:28:41.742256900,0.000256900,0
'2026-08-22 08:28:41.742261300,0.000261300,1
'2026-08-22 08:28:41.742261400,0.000261400,0
'2026-08-22 08:28:41.742268400,0.000268400,1
'2026-08-22 08:28:41.742282900,0.000282900,0
'2026-08-22 08:28:41.742294400,0.000294400,1
'2026-08-22 08:28:41.742309000,0.000309000,0
'2026-08-22 08:28:41.742320500,0.000320500,1
'2026-08-22 08:28:41.742335300,0.000335300,0
'2026-08-22 08:28:41.742346600,0.000346600,1
'2026-08-22 08:28:41.742361200,0.000361200,0
'2026-08-22 08:28:41.742372700,0.000372700,1
'2026-08-22 08:28:41.742387400,0.000387400,0
'2026-08-22 08:28:41.742387700,0.000387700,1
'2026-08-22 08:28:41.742387800,0.000387800,0
'2026-08-22 08:28:41.742398800,0.000398800,1
'2026-08-22 08:28:41.742413500,0.000413500,0
'2026-08-22 08:28:41.742424800,0.000424800,1
'2026-08-22 08:28:41.742439300,0.000439300,0
'2026-08-22 08:28:41.742450900,0.000450900,1
'2026-08-22 08:28:41.742465600,0.000465600,0
'2026-08-22 08:28:41.742465700,0.000465700,1
'2026-08-22 08:28:41.742465800,0.000465800,0
'2026-08-22 08:28:41.742467100,0.000467100,1
'2026-08-22 08:28:41.742467200,0.000467200,0
'2026-08-22 08:28:41.742477000,0.000477000,1
'2026-08-22 08:28:41.742491800,0.000491800,0
'2026-08-22 08:28:41.742503100,0.000503100,1
'2026-08-22 08:28:41.742517700,0.000517700,0
'2026-08-22 08:28:41.742517900,0.000517900,1
'2026-08-22 08:28:41.742518000,0.000518000,0
'2026-08-22 08:28:41.742518500,0.000518500,1
'2026-08-22 08:28:41.742518600,0.000518600,0
'2026-08-22 08:28:41.742529200,0.000529200,1
'2026-08-22 08:28:41.742543800,0.000543800,0
'2026-08-22 08:28:41.742551700,0.000551700,1
'2026-08-22 08:28:41.742551800,0.000551800,0
'2026-08-22 08:28:41.742555200,0.000555200,1
'2026-08-22 08:28:41.742569900,0.000569900,0
'2026-08-22 08:28:41.742581300,0.000581300,1
'2026-08-22 08:28:41.742596000,0.000596000,0
'2026-08-22 08:28:41.742607400,0.000607400,1
'2026-08-22 08:28:41.742622000,0.000622000,0
'2026-08-22 08:28:41.742622100,0.000622100,1
'2026-08-22 08:28:41.742622200,0.000622200,0
'2026-08-22 08:28:41.742633500,0.000633500,1
'2026-08-22 08:28:41.742648300,0.000648300,0
'2026-08-22 08:28:41.742659600,0.000659600,1
'2026-08-22 08:28:41.742674400,0.000674400,0
'2026-08-22 08:28:41.742685600,0.000685600,1
'2026-08-22 08:28:41.742700300,0.000700300,0
'2026-08-22 08:28:41.742711700,0.000711700,1
'2026-08-22 08:28:41.742726400,0.000726400,0
'2026-08-22 08:28:41.742737800,0.000737800,1
'2026-08-22 08:28:41.742752700,0.000752700,0
'2026-08-22 08:28:41.742763900,0.000763900,1
'2026-08-22 08:28:41.742778500,0.000778500,0
'2026-08-22 08:28:41.742789900,0.000789900,1
'2026-08-22 08:28:41.742804600,0.000804600,0
'2026-08-22 08:28:41.742816000,0.000816000,1
'2026-08-22 08:28:41.742830700,0.000830700,0
'2026-08-22 08:28:41.742836500,0.000836500,1
'2026-08-22 08:28:41.742836600,0.000836600,0
'2026-08-22 08:28:41.742842100,0.000842100,1
'2026-08-22 08:28:41.742856800,0.000856800,0
'2026-08-22 08:28:41.742857000,0.000857000,1
'2026-08-22 08:28:41.742857100,0.000857100,0
'2026-08-22 08:28:41.742868200,0.000868200,1
'2026-08-22 08:28:41.742882900,0.000882900,0
'2026-08-22 08:28:41.742894300,0.000894300,1
'2026-08-22 08:28:41.742909200,0.000909200,0
'2026-08-22 08:28:41.742909500,0.000909500,1
'2026-08-22 08:28:41.742909600,0.000909600,0
'2026-08-22 08:28:41.742920300,0.000920300,1
'2026-08-22 08:28:41.742935000,0.000935000,0
'2026-08-22 08:28:41.742935100,0.000935100,1
'2026-08-22 08:28:41.742935200,0.000935200,0
'2026-08-22 08:28:41.742946400,0.000946400,1
'2026-08-22 08:28:41.742961200,0.000961200,0
'2026-08-22 08:28:41.742972500,0.000972500,1
'2026-08-22 08:28:41.742987300,0.000987300,0
'2026-08-22 08:28:41.742998600,0.000998600,1
'2026-08-22 08:28:41.743013200,0.001013200,0
'2026-08-22 08:28:41.743013500,0.001013500,1
'2026-08-22 08:28:41.743013600,0.001013600,0
'2026-08-22 08:28:41.743024700,0.001024700,1
'2026-08-22 08:28:41.743039400,0.001039400,0
'2026-08-22 08:28:41.743050700,0.001050700,1
'2026-08-22 08:28:41.743065400,0.001065400,0
'2026-08-22 08:28:41.743065500,0.001065500,1
'2026-08-22 08:28:41.743065600,0.001065600,0
'2026-08-22 08:28:41.743076800,0.001076800,1
