; CSV, generated by atk_libsigrok4 1.0.0 on 2026-08-22 08:29:42
; Channels (1/16)
; ChannelsType: 1
; Sample rate: 10 MHz
; Sample count: 1.907349 M
; Sampling time: 2026-08-22 08:29:38.137
SystemTime, Time(s), meow
'2026-08-22 08:29:38.137000000,0.000000000,1
'2026-08-22 08:29:38.137001800,0.000001800,0
'2026-08-22 08:29:38.137007200,0.000007200,1
'2026-08-22 08:29:38.137021600,0.000021600,0
'2026-08-22 08:29:38.137033300,0.000033300,1
'2026-08-22 08:29:38.137047900,0.000047900,0
'2026-08-22 08:29:38.137059400,0.000059400,1
'2026-08-22 08:29:38.137073900,0.000073900,0
'2026-08-22 08:29:38.137085400,0.000085400,1
'2026-08-22 08:29:38.137100000,0.000100000,0
'2026-08-22 08:29:38.137111500,0.000111500,1
'2026-08-22 08:29:38.137126300,0.000126300,0
'2026-08-22 08:29:38.137137600,0.000137600,1
'2026-08-22 08:29:38.137152100,0.000152100,0
'2026-08-22 08:29:38.137163700,0.000163700,1
'2026-08-22 08:29:38.137178400,0.000178400,0
'2026-08-22 08:29:38.137189800,0.000189800,1
'2026-08-22 08:29:38.137204400,0.000204400,0
'2026-08-22 08:29:38.137215900,0.000215900,1
'2026-08-22 08:29:38.137230300,0.000230300,0
'2026-08-22 08:29:38.137242000,0.000242000,1
'2026-08-22 08:29:38.137256700,0.000256700,0
'2026-08-22 08:29:38.137256900,0.000256900,1
'2026-08-22 08:29:38.137257000,0.000257000,0
'2026-08-22 08:29:38.137268000,0.000268000,1
'2026-08-22 08:29:38.137282500,0.000282500,0
'2026-08-22 08:29:38.137294100,0.000294100,1
'2026-08-22 08:29:38.137308600,0.000308600,0
'2026-08-22 08:29:38.137308700,0.000308700,1
'2026-08-22 08:29:38.137308800,0.000308800,0
'2026-08-22 08:29:38.137320200,0.000320200,1
'2026-08-22 08:29:38.137334800,0.000334800,0
'2026-08-22 08:29:38.137346300,0.000346300,1
'2026-08-22 08:29:38.137360800,0.000360800,0
'2026-08-22 08:29:38.137360900,0.000360900,1
'2026-08-22 08:29:38.137361000,0.000361000,0
'2026-08-22 08:29:38.137372400,0.000372400,1
'2026-08-22 08:29:38.137387000,0.000387000,0
'2026-08-22 08:29:38.137387100,0.000387100,1
'2026-08-22 08:29:38.137387200,0.000387200,0
'2026-08-22 08:29:38.137398500,0.000398500,1
'2026-08-22 08:29:38.137413100,0.000413100,0
'2026-08-22 08:29:38.137424600,0.000424600,1
'2026-08-22 08:29:38.137439100,0.000439100,0
'2026-08-22 08:29:38.137439200,0.000439200,1
'2026-08-22 08:29:38.137439400,0.000439400,0
'2026-08-22 08:29:38.137450600,0.000450600,1
'2026-08-22 08:29:38.137465300,0.000465300,0
'2026-08-22 08:29:38.137476700,0.000476700,1
'2026-08-22 08:29:38.137491300,0.000491300,0
'2026-08-22 08:29:38.137502800,0.000502800,1
'2026-08-22 08:29:38.137517500,0.000517500,0
'2026-08-22 08:29:38.137528900,0.000528900,1
'2026-08-22 08:29:38.137543400,0.000543400,0
'2026-08-22 08:29:38.137555000,0.000555000,1
'2026-08-22 08:29:38.137569600,0.000569600,0
'2026-08-22 08:29:38.137569700,0.000569700,1
'2026-08-22 08:29:38.137569800,0.000569800,0
'2026-08-22 08:29:38.137581000,0.000581000,1
'2026-08-22 08:29:38.137595600,0.000595600,0
'2026-08-22 08:29:38.137595700,0.000595700,1
'2026-08-22 08:29:38.137595800,0.000595800,0
'2026-08-22 08:29:38.137607100,0.000607100,1
'2026-08-22 08:29:38.137621600,0.000621600,0
'2026-08-22 08:29:38.137621700,0.000621700,1
'2026-08-22 08:29:38.137622000,0.000622000,0
'2026-08-22 08:29:38.137633200,0.000633200,1
'2026-08-22 08:29:38.137647800,0.000647800,0
'2026-08-22 08:29:38.137659300,0.000659300,1
'2026-08-22 08:29:38.137674000,0.000674000,0
'2026-08-22 08:29:38.137685400,0.000685400,1
'2026-08-22 08:29:38.137699900,0.000699900,0
'2026-08-22 08:29:38.137711500,0.000711500,1
'2026-08-22 08:29:38.137726000,0.000726000,0
'2026-08-22 08:29:38.137727600,0.000727600,1
'2026-08-22 08:29:38.137727700,0.000727700,0
'2026-08-22 08:29:38.137737500,0.000737500,1
'2026-08-22 08:29:38.137752300,0.000752300,0
'2026-08-22 08:29:38.137763600,0.000763600,1
'2026-08-22 08:29:38.137778100,0.000778100,0
'2026-08-22 08:29:38.137778200,0.000778200,1
'2026-08-22 08:29:38.137778300,0.000778300,0
'2026-08-22 08:29:38.137778400,0.000778400,1
'2026-08-22 08:29:38.137778500,0.000778500,0
'2026-08-22 08:29:38.137779000,0.000779000,1
'2026-08-22 08:29:38.137779100,0.000779100,0
'2026-08-22 08:29:38.137789700,0.000789700,1
'2026-08-22 08:29:38.137804300,0.000804300,0
'2026-08-22 08:29:38.137815800,0.000815800,1
'2026-08-22 08:29:38.137830600,0.000830600,0
'2026-08-22 08:29:38.137841900,0.000841900,1
'2026-08-22 08:29:38.137856500,0.000856500,0
'2026-08-22 08:29:38.137868000,0.000868000,1
'2026-08-22 08:29:38.137882700,0.000882700,0
'2026-08-22 08:29:38.137894000,0.000894000,1
'2026-08-22 08:29:38.137908700,0.000908700,0
'2026-08-22 08:29:38.137920100,0.000920100,1
'2026-08-22 08:29:38.137934700,0.000934700,0
'2026-08-22 08:29:38.137946200,0.000946200,1
'2026-08-22 08:29:38.137960900,0.000960900,0
'2026-08-22 08:29:38.137961100,0.000961100,1
'2026-08-22 08:29:38.137961200,0.000961200,0
'2026-08-22 08:29:38.137972300,0.000972300,1
'2026-08-22 08:29:38.137987100,0.000987100,0
'2026-08-22 08:29:38.137987600,0.000987600,1
'2026-08-22 08:29:38.137987700,0.000987700,0
'2026-08-22 08:29:38.137998400,0.000998400,1
'2026-08-22 08:29:38.138013000,0.001013000,0
'2026-08-22 08:29:38.138013100,0.001013100,1
'2026-08-22 08:29:38.138013200,0.001013200,0
'2026-08-22 08:29:38.138024500,0.001024500,1
'2026-08-22 08:29:38.138039600,0.001039600,0
'2026-08-22 08:29:38.138040200,0.001040200,1
'2026-08-22 08:29:38.138040300,0.001040300,0
'2026-08-22 08:29:38.138050500,0.001050500,1
'2026-08-22 08:29:38.138065200,0.001065200,0
'2026-08-22 08:29:38.138076600,0.001076600,1
'2026-08-22 08:29:38.138091500,0.001091500,0
'2026-08-22 08:29:38.138102700,0.001102700,1
'2026-08-22 08:29:38.138117300,0.001117300,0
'2026-08-22 08:29:38.138128800,0.001128800,1
'2026-08-22 08:29:38.138143500,0.001143500,0
'2026-08-22 08:29:38.138154900,0.001154900,1
'2026-08-22 08:29:38.138169600,0.001169600,0
'2026-08-22 08:29:38.138176700,0.001176700,1
'2026-08-22 08:29:38.138176800,0.001176800,0
'2026-08-22 08:29:38.138181000,0.001181000,1
'2026-08-22 08:29:38.138195600,0.001195600,0
'2026-08-22 08:29:38.138207000,0.001207000,1
'2026-08-22 08:29:38.138221700,0.001221700,0
'2026-08-22 08:29:38.138233100,0.001233100,1
'2026-08-22 08:29:38.138247900,0.001247900,0
'2026-08-22 08:29:38.138259200,0.001259200,1
'2026-08-22 08:29:38.138273800,0.001273800,0
'2026-08-22 08:29:38.138274100,0.001274100,1
'2026-08-22 08:29:38.138274200,0.001274200,0
'2026-08-22 08:29:38.138285300,0.001285300,1
'2026-08-22 08:29:38.138299900,0.001299900,0
'2026-08-22 08:29:38.138311400,0.001311400,1
'2026-08-22 08:29:38.138326200,0.001326200,0
'2026-08-22 08:29:38.138327600,0.001327600,1
'2026-08-22 08:29:38.138327700,0.001327700,0
'2026-08-22 08:29:38.138337500,0.001337500,1
'2026-08-22 08:29:38.138352000,0.001352000,0
'2026-08-22 08:29:38.138363500,0.001363500,1
'2026-08-22 08:29:38.138378400,0.001378400,0
'2026-08-22 08:29:38.138378700,0.001378700,1
'2026-08-22 08:29:38.138378800,0.001378800,0
'2026-08-22 08:29:38.138389600,0.001389600,1
'2026-08-22 08:29:38.138404200,0.001404200,0
'2026-08-22 08:29:38.138404300,0.001404300,1
'2026-08-22 08:29:38.138404600,0.001404600,0
'2026-08-22 08:29:38.138415700,0.001415700,1
'2026-08-22 08:29:38.138430400,0.001430400,0
'2026-08-22 08:29:38.138441800,0.001441800,1
'2026-08-22 08:29:38.138456400,0.001456400,0
'2026-08-22 08:29:38.138467900,0.001467900,1
'2026-08-22 08:29:38.138482700,0.001482700,0
'2026-08-22 08:29:38.138484400,0.001484400,1
'2026-08-22 08:29:38.138484500,0.001484500,0
'2026-08-22 08:29:38.138494000,0.001494000,1
'2026-08-22 08:29:38.138508500,0.001508500,0
'2026-08-22 08:29:38.138520100,0.001520100,1
