; CSV, generated by atk_libsigrok4 1.0.0 on 2026-08-22 08:30:48
; Channels (1/16)
; ChannelsType: 1
; Sample rate: 10 MHz
; Sample count: 1.907349 M
; Sampling time: 2026-08-22 08:30:42.490
SystemTime, Time(s), meow
'2026-08-22 08:30:42.490000000,0.000000000,1
'2026-08-22 08:30:42.490001800,0.000001800,0
'2026-08-22 08:30:42.490002000,0.000002000,1
'2026-08-22 08:30:42.490002100,0.000002100,0
'2026-08-22 08:30:42.490007200,0.000007200,1
'2026-08-22 08:30:42.490022000,0.000022000,0
'2026-08-22 08:30:42.490023000,0.000023000,1
'2026-08-22 08:30:42.490023100,0.000023100,0
'2026-08-22 08:30:42.490033300,0.000033300,1
'2026-08-22 08:30:42.490047900,0.000047900,0
'2026-08-22 08:30:42.490059400,0.000059400,1
'2026-08-22 08:30:42.490074100,0.000074100,0
'2026-08-22 08:30:42.490085500,0.000085500,1
'2026-08-22 08:30:42.490100100,0.000100100,0
'2026-08-22 08:30:42.490111600,0.000111600,1
'2026-08-22 08:30:42.490126300,0.000126300,0
'2026-08-22 08:30:42.490126400,0.000126400,1
'2026-08-22 08:30:42.490126500,0.000126500,0
'2026-08-22 08:30:42.490137600,0.000137600,1
'2026-08-22 08:30:42.490152300,0.000152300,0
'2026-08-22 08:30:42.490163700,0.000163700,1
'2026-08-22 08:30:42.490178200,0.000178200,0
'2026-08-22 08:30:42.490189800,0.000189800,1
'2026-08-22 08:30:42.490204700,0.000204700,0
'2026-08-22 08:30:42.490205200,0.000205200,1
'2026-08-22 08:30:42.490205300,0.000205300,0
'2026-08-22 08:30:42.490215900,0.000215900,1
'2026-08-22 08:30:42.490230400,0.000230400,0
'2026-08-22 08:30:42.490242000,0.000242000,1
'2026-08-22 08:30:42.490256700,0.000256700,0
'2026-08-22 08:30:42.490268000,0.000268000,1
'2026-08-22 08:30:42.490282700,0.000282700,0
'2026-08-22 08:30:42.490282800,0.000282800,1
'2026-08-22 08:30:42.490283000,0.000283000,0
'2026-08-22 08:30:42.490294100,0.000294100,1
'2026-08-22 08:30:42.490308800,0.000308800,0
'2026-08-22 08:30:42.490320200,0.000320200,1
'2026-08-22 08:30:42.490335000,0.000335000,0
'2026-08-22 08:30:42.490346300,0.000346300,1
'2026-08-22 08:30:42.490361000,0.000361000,0
'2026-08-22 08:30:42.490366300,0.000366300,1
'2026-08-22 08:30:42.490366400,0.000366400,0
'2026-08-22 08:30:42.490372400,0.000372400,1
'2026-08-22 08:30:42.490387200,0.000387200,0
'2026-08-22 08:30:42.490398400,0.000398400,1
'2026-08-22 08:30:42.490413200,0.000413200,0
'2026-08-22 08:30:42.490424500,0.000424500,1
'2026-08-22 08:30:42.490439100,0.000439100,0
'2026-08-22 08:30:42.490450600,0.000450600,1
'2026-08-22 08:30:42.490465300,0.000465300,0
'2026-08-22 08:30:42.490465500,0.000465500,1
'2026-08-22 08:30:42.490465700,0.000465700,0
'2026-08-22 08:30:42.490476700,0.000476700,1
'2026-08-22 08:30:42.490491600,0.000491600,0
'2026-08-22 08:30:42.490502800,0.000502800,1
'2026-08-22 08:30:42.490517800,0.000517800,0
'2026-08-22 08:30:42.490528800,0.000528800,1
'2026-08-22 08:30:42.490543500,0.000543500,0
'2026-08-22 08:30:42.490554900,0.000554900,1
'2026-08-22 08:30:42.490569800,0.000569800,0
'2026-08-22 08:30:42.490570100,0.000570100,1
'2026-08-22 08:30:42.490570200,0.000570200,0
'2026-08-22 08:30:42.490581000,0.000581000,1
'2026-08-22 08:30:42.490595900,0.000595900,0
'2026-08-22 08:30:42.490607100,0.000607100,1
'2026-08-22 08:30:42.490621800,0.000621800,0
'2026-08-22 08:30:42.490629800,0.000629800,1
'2026-08-22 08:30:42.490629900,0.000629900,0
'2026-08-22 08:30:42.490633200,0.000633200,1
'2026-08-22 08:30:42.490648000,0.000648000,0
'2026-08-22 08:30:42.490659200,0.000659200,1
'2026-08-22 08:30:42.490674200,0.000674200,0
'2026-08-22 08:30:42.490685300,0.000685300,1
'2026-08-22 08:30:42.490700000,0.000700000,0
'2026-08-22 08:30:42.490711400,0.000711400,1
'2026-08-22 08:30:42.490726200,0.000726200,0
'2026-08-22 08:30:42.490737500,0.000737500,1
'2026-08-22 08:30:42.490752200,0.000752200,0
'2026-08-22 08:30:42.490752300,0.000752300,1
'2026-08-22 08:30:42.490752400,0.000752400,0
'2026-08-22 08:30:42.490763600,0.000763600,1
'2026-08-22 08:30:42.490778200,0.000778200,0
'2026-08-22 08:30:42.490789600,0.000789600,1
