; CSV, generated by atk_libsigrok4 1.0.0 on 2026-08-22 08:29:15
; Channels (1/16)
; ChannelsType: 1
; Sample rate: 10 MHz
; Sample count: 1.907349 M
; Sampling time: 2026-08-22 08:29:02.320
SystemTime, Time(s), meow
'2026-08-22 08:29:02.320000000,0.000000000,1
'2026-08-22 08:29:02.320001800,0.000001800,0
'2026-08-22 08:29:02.320007300,0.000007300,1
'2026-08-22 08:29:02.320021700,0.000021700,0
'2026-08-22 08:29:02.320033300,0.000033300,1
'2026-08-22 08:29:02.320047800,0.000047800,0
'2026-08-22 08:29:02.320059400,0.000059400,1
'2026-08-22 08:29:02.320074000,0.000074000,0
'2026-08-22 08:29:02.320074100,0.000074100,1
'2026-08-22 08:29:02.320074200,0.000074200,0
'2026-08-22 08:29:02.320085500,0.000085500,1
'2026-08-22 08:29:02.320100100,0.000100100,0
'2026-08-22 08:29:02.320111600,0.000111600,1
'2026-08-22 08:29:02.320126200,0.000126200,0
'2026-08-22 08:29:02.320137600,0.000137600,1
'2026-08-22 08:29:02.320152100,0.000152100,0
'2026-08-22 08:29:02.320163700,0.000163700,1
'2026-08-22 08:29:02.320178300,0.000178300,0
'2026-08-22 08:29:02.320189800,0.000189800,1
'2026-08-22 08:29:02.320204400,0.000204400,0
'2026-08-22 08:29:02.320215900,0.000215900,1
'2026-08-22 08:29:02.320230400,0.000230400,0
'2026-08-22 08:29:02.320241900,0.000241900,1
'2026-08-22 08:29:02.320256600,0.000256600,0
'2026-08-22 08:29:02.320268000,0.000268000,1
'2026-08-22 08:29:02.320282500,0.000282500,0
'2026-08-22 08:29:02.320283300,0.000283300,1
'2026-08-22 08:29:02.320283400,0.000283400,0
'2026-08-22 08:29:02.320294100,0.000294100,1
'2026-08-22 08:29:02.320308600,0.000308600,0
'2026-08-22 08:29:02.320320200,0.000320200,1
'2026-08-22 08:29:02.320335000,0.000335000,0
'2026-08-22 08:29:02.320346200,0.000346200,1
'2026-08-22 08:29:02.320360600,0.000360600,0
'2026-08-22 08:29:02.320372300,0.000372300,1
'2026-08-22 08:29:02.320387000,0.000387000,0
'2026-08-22 08:29:02.320398400,0.000398400,1
'2026-08-22 08:29:02.320413200,0.000413200,0
'2026-08-22 08:29:02.320424500,0.000424500,1
'2026-08-22 08:29:02.320439000,0.000439000,0
'2026-08-22 08:29:02.320450500,0.000450500,1
'2026-08-22 08:29:02.320465200,0.000465200,0
'2026-08-22 08:29:02.320467400,0.000467400,1
'2026-08-22 08:29:02.320467500,0.000467500,0
'2026-08-22 08:29:02.320476600,0.000476600,1
'2026-08-22 08:29:02.320491100,0.000491100,0
'2026-08-22 08:29:02.320502700,0.000502700,1
'2026-08-22 08:29:02.320517400,0.000517400,0
'2026-08-22 08:29:02.320528800,0.000528800,1
'2026-08-22 08:29:02.320543500,0.000543500,0
'2026-08-22 08:29:02.320554800,0.000554800,1
'2026-08-22 08:29:02.320569300,0.000569300,0
'2026-08-22 08:29:02.320580900,0.000580900,1
'2026-08-22 08:29:02.320596000,0.000596000,0
'2026-08-22 08:29:02.320607000,0.000607000,1
'2026-08-22 08:29:02.320621400,0.000621400,0
'2026-08-22 08:29:02.320626900,0.000626900,1
'2026-08-22 08:29:02.320627000,0.000627000,0
'2026-08-22 08:29:02.320627500,0.000627500,1
'2026-08-22 08:29:02.320627600,0.000627600,0
'2026-08-22 08:29:02.320633000,0.000633000,1
'2026-08-22 08:29:02.320647600,0.000647600,0
'2026-08-22 08:29:02.320647700,0.000647700,1
'2026-08-22 08:29:02.320648000,0.000648000,0
'2026-08-22 08:29:02.320659100,0.000659100,1
'2026-08-22 08:29:02.320673700,0.000673700,0
'2026-08-22 08:29:02.320685200,0.000685200,1
'2026-08-22 08:29:02.320699800,0.000699800,0
'2026-08-22 08:29:02.320711300,0.000711300,1
'2026-08-22 08:29:02.320725900,0.000725900,0
'2026-08-22 08:29:02.320726200,0.000726200,1
'2026-08-22 08:29:02.320726300,0.000726300,0
'2026-08-22 08:29:02.320737300,0.000737300,1
'2026-08-22 08:29:02.320751800,0.000751800,0
'2026-08-22 08:29:02.320751900,0.000751900,1
'2026-08-22 08:29:02.320752000,0.000752000,0
'2026-08-22 08:29:02.320763400,0.000763400,1
'2026-08-22 08:29:02.320778000,0.000778000,0
'2026-08-22 08:29:02.320778100,0.000778100,1
'2026-08-22 08:29:02.320778400,0.000778400,0
'2026-08-22 08:29:02.320789500,0.000789500,1
'2026-08-22 08:29:02.320804000,0.000804000,0
'2026-08-22 08:29:02.320815600,0.000815600,1
'2026-08-22 08:29:02.320830300,0.000830300,0
'2026-08-22 08:29:02.320834300,0.000834300,1
'2026-08-22 08:29:02.320834400,0.000834400,0
'2026-08-22 08:29:02.320841600,0.000841600,1
'2026-08-22 08:29:02.320856200,0.000856200,0
'2026-08-22 08:29:02.320867700,0.000867700,1
'2026-08-22 08:29:02.320882300,0.000882300,0
'2026-08-22 08:29:02.320893800,0.000893800,1
'2026-08-22 08:29:02.320908400,0.000908400,0
'2026-08-22 08:29:02.320908500,0.000908500,1
'2026-08-22 08:29:02.320908600,0.000908600,0
'2026-08-22 08:29:02.320909600,0.000909600,1
'2026-08-22 08:29:02.320909700,0.000909700,0
'2026-08-22 08:29:02.320919900,0.000919900,1
'2026-08-22 08:29:02.320934300,0.000934300,0
'2026-08-22 08:29:02.320945900,0.000945900,1
'2026-08-22 08:29:02.320960800,0.000960800,0
'2026-08-22 08:29:02.320972000,0.000972000,1
'2026-08-22 08:29:02.320986600,0.000986600,0
'2026-08-22 08:29:02.320986700,0.000986700,1
'2026-08-22 08:29:02.320986800,0.000986800,0
'2026-08-22 08:29:02.320989000,0.000989000,1
'2026-08-22 08:29:02.320989100,0.000989100,0
'2026-08-22 08:29:02.320990200,0.000990200,1
'2026-08-22 08:29:02.320990300,0.000990300,0
'2026-08-22 08:29:02.320998100,0.000998100,1
'2026-08-22 08:29:02.321012700,0.001012700,0
'2026-08-22 08:29:02.321024100,0.001024100,1
'2026-08-22 08:29:02.321038900,0.001038900,0
'2026-08-22 08:29:02.321039300,0.001039300,1
'2026-08-22 08:29:02.321039400,0.001039400,0
'2026-08-22 08:29:02.321050200,0.001050200,1
'2026-08-22 08:29:02.321064700,0.001064700,0
'2026-08-22 08:29:02.321076300,0.001076300,1
'2026-08-22 08:29:02.321091100,0.001091100,0
'2026-08-22 08:29:02.321102400,0.001102400,1
'2026-08-22 08:29:02.321117200,0.001117200,0
'2026-08-22 08:29:02.321128400,0.001128400,1
'2026-08-22 08:29:02.321143000,0.001143000,0
'2026-08-22 08:29:02.321148500,0.001148500,1
'2026-08-22 08:29:02.321148600,0.001148600,0
'2026-08-22 08:29:02.321154500,0.001154500,1
'2026-08-22 08:29:02.321169200,0.001169200,0
'2026-08-22 08:29:02.321180600,0.001180600,1
'2026-08-22 08:29:02.321195300,0.001195300,0
'2026-08-22 08:29:02.321206700,0.001206700,1
'2026-08-22 08:29:02.321221600,0.001221600,0
'2026-08-22 08:29:02.321232700,0.001232700,1
'2026-08-22 08:29:02.321247300,0.001247300,0
'2026-08-22 08:29:02.321247400,0.001247400,1
'2026-08-22 08:29:02.321247500,0.001247500,0
'2026-08-22 08:29:02.321248900,0.001248900,1
'2026-08-22 08:29:02.321249000,0.001249000,0
'2026-08-22 08:29:02.321258800,0.001258800,1
'2026-08-22 08:29:02.321273300,0.001273300,0
'2026-08-22 08:29:02.321277500,0.001277500,1
'2026-08-22 08:29:02.321277600,0.001277600,0
'2026-08-22 08:29:02.321284900,0.001284900,1
'2026-08-22 08:29:02.321299600,0.001299600,0
'2026-08-22 08:29:02.321299700,0.001299700,1
'2026-08-22 08:29:02.321299800,0.001299800,0
'2026-08-22 08:29:02.321310500,0.001310500,1
'2026-08-22 08:29:02.321310600,0.001310600,0
'2026-08-22 08:29:02.321311000,0.001311000,1
'2026-08-22 08:29:02.321325500,0.001325500,0
'2026-08-22 08:29:02.321328100,0.001328100,1
'2026-08-22 08:29:02.321328200,0.001328200,0
'2026-08-22 08:29:02.321330700,0.001330700,1
'2026-08-22 08:29:02.321330800,0.001330800,0
'2026-08-22 08:29:02.321331300,0.001331300,1
'2026-08-22 08:29:02.321331400,0.001331400,0
'2026-08-22 08:29:02.321337000,0.001337000,1
'2026-08-22 08:29:02.321352500,0.001352500,0
'2026-08-22 08:29:02.321360500,0.001360500,1
'2026-08-22 08:29:02.321360600,0.001360600,0
'2026-08-22 08:29:02.321361600,0.001361600,1
'2026-08-22 08:29:02.321361700,0.001361700,0
'2026-08-22 08:29:02.321363100,0.001363100,1
'2026-08-22 08:29:02.321377600,0.001377600,0
'2026-08-22 08:29:02.321380900,0.001380900,1
'2026-08-22 08:29:02.321381000,0.001381000,0
'2026-08-22 08:29:02.321389200,0.001389200,1
'2026-08-22 08:29:02.321403800,0.001403800,0
'2026-08-22 08:29:02.321415300,0.001415300,1
'2026-08-22 08:29:02.321430000,0.001430000,0
'2026-08-22 08:29:02.321441300,0.001441300,1
'2026-08-22 08:29:02.321455800,0.001455800,0
'2026-08-22 08:29:02.321467400,0.001467400,1
'2026-08-22 08:29:02.321482700,0.001482700,0
'2026-08-22 08:29:02.321493500,0.001493500,1
'2026-08-22 08:29:02.321507900,0.001507900,0
'2026-08-22 08:29:02.321519500,0.001519500,1
'2026-08-22 08:29:02.321534200,0.001534200,0
'2026-08-22 08:29:02.321545600,0.001545600,1
'2026-08-22 08:29:02.321560400,0.001560400,0
'2026-08-22 08:29:02.321560500,0.001560500,1
'2026-08-22 08:29:02.321560600,0.001560600,0
'2026-08-22 08:29:02.321571700,0.001571700,1
'2026-08-22 08:29:02.321586300,0.001586300,0
'2026-08-22 08:29:02.321586400,0.001586400,1
'2026-08-22 08:29:02.321586500,0.001586500,0
'2026-08-22 08:29:02.321588300,0.001588300,1
'2026-08-22 08:29:02.321588400,0.001588400,0
'2026-08-22 08:29:02.321597700,0.001597700,1
'2026-08-22 08:29:02.321612500,0.001612500,0
'2026-08-22 08:29:02.321612600,0.001612600,1
'2026-08-22 08:29:02.321612700,0.001612700,0
'2026-08-22 08:29:02.321623800,0.001623800,1
'2026-08-22 08:29:02.321638300,0.001638300,0
'2026-08-22 08:29:02.321642100,0.001642100,1
'2026-08-22 08:29:02.321642200,0.001642200,0
