; CSV, generated by atk_libsigrok4 1.0.0 on 2026-08-22 08:27:12
; Channels (1/16)
; ChannelsType: 1
; Sample rate: 10 MHz
; Sample count: 1.907349 M
; Sampling time: 2026-08-22 08:27:06.670
SystemTime, Time(s), meow
'2026-08-22 08:27:06.670000000,0.000000000,1
'2026-08-22 08:27:06.670001900,0.000001900,0
'2026-08-22 08:27:06.670006900,0.000006900,1
'2026-08-22 08:27:06.670021800,0.000021800,0
'2026-08-22 08:27:06.670022200,0.000022200,1
'2026-08-22 08:27:06.670022300,0.000022300,0
'2026-08-22 08:27:06.670031800,0.000031800,1
'2026-08-22 08:27:06.670031900,0.000031900,0
'2026-08-22 08:27:06.670033000,0.000033000,1
'2026-08-22 08:27:06.670047700,0.000047700,0
'2026-08-22 08:27:06.670047900,0.000047900,1
'2026-08-22 08:27:06.670048100,0.000048100,0
'2026-08-22 08:27:06.670059100,0.000059100,1
'2026-08-22 08:27:06.670074200,0.000074200,0
'2026-08-22 08:27:06.670085100,0.000085100,1
'2026-08-22 08:27:06.670100000,0.000100000,0
'2026-08-22 08:27:06.670100100,0.000100100,1
'2026-08-22 08:27:06.670100200,0.000100200,0
'2026-08-22 08:27:06.670100500,0.000100500,1
'2026-08-22 08:27:06.670100600,0.000100600,0
'2026-08-22 08:27:06.670101700,0.000101700,1
'2026-08-22 08:27:06.670101800,0.000101800,0
'2026-08-22 08:27:06.670102600,0.000102600,1
'2026-08-22 08:27:06.670102700,0.000102700,0
'2026-08-22 08:27:06.670102800,0.000102800,1
'2026-08-22 08:27:06.670103000,0.000103000,0
'2026-08-22 08:27:06.670105700,0.000105700,1
'2026-08-22 08:27:06.670105800,0.000105800,0
'2026-08-22 08:27:06.670109300,0.000109300,1
'2026-08-22 08:27:06.670109400,0.000109400,0
'2026-08-22 08:27:06.670110500,0.000110500,1
'2026-08-22 08:27:06.670110600,0.000110600,0
'2026-08-22 08:27:06.670111200,0.000111200,1
'2026-08-22 08:27:06.670126800,0.000126800,0
'2026-08-22 08:27:06.670126900,0.000126900,1
'2026-08-22 08:27:06.670127000,0.000127000,0
'2026-08-22 08:27:06.670128500,0.000128500,1
'2026-08-22 08:27:06.670128600,0.000128600,0
'2026-08-22 08:27:06.670129100,0.000129100,1
'2026-08-22 08:27:06.670129200,0.000129200,0
'2026-08-22 08:27:06.670129500,0.000129500,1
'2026-08-22 08:27:06.670129600,0.000129600,0
'2026-08-22 08:27:06.670129700,0.000129700,1
'2026-08-22 08:27:06.670129800,0.000129800,0
'2026-08-22 08:27:06.670130300,0.000130300,1
'2026-08-22 08:27:06.670130400,0.000130400,0
'2026-08-22 08:27:06.670130900,0.000130900,1
'2026-08-22 08:27:06.670131000,0.000131000,0
'2026-08-22 08:27:06.670132000,0.000132000,1
'2026-08-22 08:27:06.670132100,0.000132100,0
'2026-08-22 08:27:06.670133800,0.000133800,1
'2026-08-22 08:27:06.670134000,0.000134000,0
'2026-08-22 08:27:06.670134300,0.000134300,1
'2026-08-22 08:27:06.670134400,0.000134400,0
'2026-08-22 08:27:06.670137300,0.000137300,1
'2026-08-22 08:27:06.670152700,0.000152700,0
'2026-08-22 08:27:06.670152900,0.000152900,1
'2026-08-22 08:27:06.670153100,0.000153100,0
'2026-08-22 08:27:06.670153500,0.000153500,1
'2026-08-22 08:27:06.670153800,0.000153800,0
'2026-08-22 08:27:06.670153900,0.000153900,1
'2026-08-22 08:27:06.670154000,0.000154000,0
'2026-08-22 08:27:06.670154200,0.000154200,1
'2026-08-22 08:27:06.670154300,0.000154300,0
'2026-08-22 08:27:06.670154700,0.000154700,1
'2026-08-22 08:27:06.670154900,0.000154900,0
'2026-08-22 08:27:06.670155300,0.000155300,1
'2026-08-22 08:27:06.670155500,0.000155500,0
'2026-08-22 08:27:06.670156000,0.000156000,1
'2026-08-22 08:27:06.670156100,0.000156100,0
'2026-08-22 08:27:06.670156400,0.000156400,1
'2026-08-22 08:27:06.670156700,0.000156700,0
'2026-08-22 08:27:06.670157100,0.000157100,1
'2026-08-22 08:27:06.670157200,0.000157200,0
'2026-08-22 08:27:06.670158900,0.000158900,1
'2026-08-22 08:27:06.670159000,0.000159000,0
