; CSV, generated by atk_libsigrok4 1.0.0 on 2026-08-22 08:27:24
; Channels (1/16)
; ChannelsType: 1
; Sample rate: 10 MHz
; Sample count: 1.907349 M
; Sampling time: 2026-08-22 08:27:20.173
SystemTime, Time(s), meow
'2026-08-22 08:27:20.173000000,0.000000000,1
'2026-08-22 08:27:20.173001600,0.000001600,0
'2026-08-22 08:27:20.173006900,0.000006900,1
'2026-08-22 08:27:20.173021400,0.000021400,0
'2026-08-22 08:27:20.173021700,0.000021700,1
'2026-08-22 08:27:20.173021800,0.000021800,0
'2026-08-22 08:27:20.173033000,0.000033000,1
'2026-08-22 08:27:20.173047600,0.000047600,0
'2026-08-22 08:27:20.173059000,0.000059000,1
'2026-08-22 08:27:20.173073800,0.000073800,0
'2026-08-22 08:27:20.173074300,0.000074300,1
'2026-08-22 08:27:20.173074400,0.000074400,0
'2026-08-22 08:27:20.173085100,0.000085100,1
'2026-08-22 08:27:20.173099800,0.000099800,0
'2026-08-22 08:27:20.173111100,0.000111100,1
'2026-08-22 08:27:20.173125800,0.000125800,0
'2026-08-22 08:27:20.173137100,0.000137100,1
'2026-08-22 08:27:20.173151900,0.000151900,0
'2026-08-22 08:27:20.173156700,0.000156700,1
'2026-08-22 08:27:20.173156800,0.000156800,0
'2026-08-22 08:27:20.173163200,0.000163200,1
'2026-08-22 08:27:20.173178000,0.000178000,0
'2026-08-22 08:27:20.173178300,0.000178300,1
'2026-08-22 08:27:20.173178400,0.000178400,0
'2026-08-22 08:27:20.173179400,0.000179400,1
'2026-08-22 08:27:20.173179500,0.000179500,0
'2026-08-22 08:27:20.173183700,0.000183700,1
'2026-08-22 08:27:20.173183800,0.000183800,0
'2026-08-22 08:27:20.173189200,0.000189200,1
'2026-08-22 08:27:20.173204300,0.000204300,0
'2026-08-22 08:27:20.173204400,0.000204400,1
'2026-08-22 08:27:20.173204600,0.000204600,0
'2026-08-22 08:27:20.173205100,0.000205100,1
'2026-08-22 08:27:20.173205300,0.000205300,0
'2026-08-22 08:27:20.173205700,0.000205700,1
'2026-08-22 08:27:20.173205800,0.000205800,0
'2026-08-22 08:27:20.173206900,0.000206900,1
'2026-08-22 08:27:20.173207000,0.000207000,0
'2026-08-22 08:27:20.173214500,0.000214500,1
'2026-08-22 08:27:20.173214600,0.000214600,0
'2026-08-22 08:27:20.173215300,0.000215300,1
'2026-08-22 08:27:20.173230100,0.000230100,0
'2026-08-22 08:27:20.173241300,0.000241300,1
'2026-08-22 08:27:20.173256600,0.000256600,0
'2026-08-22 08:27:20.173257700,0.000257700,1
'2026-08-22 08:27:20.173257800,0.000257800,0
'2026-08-22 08:27:20.173264100,0.000264100,1
'2026-08-22 08:27:20.173264200,0.000264200,0
'2026-08-22 08:27:20.173265300,0.000265300,1
'2026-08-22 08:27:20.173265400,0.000265400,0
'2026-08-22 08:27:20.173267400,0.000267400,1
'2026-08-22 08:27:20.173282100,0.000282100,0
'2026-08-22 08:27:20.173282200,0.000282200,1
'2026-08-22 08:27:20.173282300,0.000282300,0
'2026-08-22 08:27:20.173282800,0.000282800,1
'2026-08-22 08:27:20.173282900,0.000282900,0
'2026-08-22 08:27:20.173283900,0.000283900,1
'2026-08-22 08:27:20.173284000,0.000284000,0
'2026-08-22 08:27:20.173284500,0.000284500,1
'2026-08-22 08:27:20.173284600,0.000284600,0
'2026-08-22 08:27:20.173285700,0.000285700,1
'2026-08-22 08:27:20.173285800,0.000285800,0
'2026-08-22 08:27:20.173289100,0.000289100,1
'2026-08-22 08:27:20.173289200,0.000289200,0
'2026-08-22 08:27:20.173293400,0.000293400,1
'2026-08-22 08:27:20.173308600,0.000308600,0
'2026-08-22 08:27:20.173309100,0.000309100,1
'2026-08-22 08:27:20.173309200,0.000309200,0
'2026-08-22 08:27:20.173313700,0.000313700,1
'2026-08-22 08:27:20.173313800,0.000313800,0
'2026-08-22 08:27:20.173319400,0.000319400,1
'2026-08-22 08:27:20.173334400,0.000334400,0
'2026-08-22 08:27:20.173334600,0.000334600,1
'2026-08-22 08:27:20.173334900,0.000334900,0
'2026-08-22 08:27:20.173335300,0.000335300,1
'2026-08-22 08:27:20.173335500,0.000335500,0
'2026-08-22 08:27:20.173335900,0.000335900,1
'2026-08-22 08:27:20.173336000,0.000336000,0
'2026-08-22 08:27:20.173336500,0.000336500,1
'2026-08-22 08:27:20.173336600,0.000336600,0
'2026-08-22 08:27:20.173337100,0.000337100,1
'2026-08-22 08:27:20.173337200,0.000337200,0
'2026-08-22 08:27:20.173337400,0.000337400,1
'2026-08-22 08:27:20.173337500,0.000337500,0
'2026-08-22 08:27:20.173344100,0.000344100,1
'2026-08-22 08:27:20.173344200,0.000344200,0
'2026-08-22 08:27:20.173344700,0.000344700,1
'2026-08-22 08:27:20.173344800,0.000344800,0
'2026-08-22 08:27:20.173345100,0.000345100,1
'2026-08-22 08:27:20.173345300,0.000345300,0
'2026-08-22 08:27:20.173345500,0.000345500,1
'2026-08-22 08:27:20.173360600,0.000360600,0
'2026-08-22 08:27:20.173361100,0.000361100,1
'2026-08-22 08:27:20.173361200,0.000361200,0
'2026-08-22 08:27:20.173365100,0.000365100,1
'2026-08-22 08:27:20.173365200,0.000365200,0
'2026-08-22 08:27:20.173365700,0.000365700,1
'2026-08-22 08:27:20.173365800,0.000365800,0
'2026-08-22 08:27:20.173366900,0.000366900,1
'2026-08-22 08:27:20.173367000,0.000367000,0
'2026-08-22 08:27:20.173368100,0.000368100,1
'2026-08-22 08:27:20.173368200,0.000368200,0
'2026-08-22 08:27:20.173371500,0.000371500,1
'2026-08-22 08:27:20.173386900,0.000386900,0
'2026-08-22 08:27:20.173387300,0.000387300,1
'2026-08-22 08:27:20.173387500,0.000387500,0
'2026-08-22 08:27:20.173388500,0.000388500,1
'2026-08-22 08:27:20.173388600,0.000388600,0
'2026-08-22 08:27:20.173394900,0.000394900,1
'2026-08-22 08:27:20.173395000,0.000395000,0
'2026-08-22 08:27:20.173396100,0.000396100,1
'2026-08-22 08:27:20.173396200,0.000396200,0
'2026-08-22 08:27:20.173397600,0.000397600,1
'2026-08-22 08:27:20.173412600,0.000412600,0
'2026-08-22 08:27:20.173413600,0.000413600,1
'2026-08-22 08:27:20.173413700,0.000413700,0
'2026-08-22 08:27:20.173414100,0.000414100,1
'2026-08-22 08:27:20.173414300,0.000414300,0
'2026-08-22 08:27:20.173414500,0.000414500,1
'2026-08-22 08:27:20.173414600,0.000414600,0
'2026-08-22 08:27:20.173414700,0.000414700,1
'2026-08-22 08:27:20.173414900,0.000414900,0
'2026-08-22 08:27:20.173415900,0.000415900,1
'2026-08-22 08:27:20.173416000,0.000416000,0
'2026-08-22 08:27:20.173416500,0.000416500,1
'2026-08-22 08:27:20.173416600,0.000416600,0
'2026-08-22 08:27:20.173417700,0.000417700,1
'2026-08-22 08:27:20.173417800,0.000417800,0
'2026-08-22 08:27:20.173423600,0.000423600,1
'2026-08-22 08:27:20.173438600,0.000438600,0
'2026-08-22 08:27:20.173438700,0.000438700,1
'2026-08-22 08:27:20.173438800,0.000438800,0
'2026-08-22 08:27:20.173439100,0.000439100,1
'2026-08-22 08:27:20.173439200,0.000439200,0
'2026-08-22 08:27:20.173439300,0.000439300,1
'2026-08-22 08:27:20.173439400,0.000439400,0
'2026-08-22 08:27:20.173439900,0.000439900,1
'2026-08-22 08:27:20.173440000,0.000440000,0
'2026-08-22 08:27:20.173440500,0.000440500,1
'2026-08-22 08:27:20.173440600,0.000440600,0
'2026-08-22 08:27:20.173441100,0.000441100,1
'2026-08-22 08:27:20.173441200,0.000441200,0
'2026-08-22 08:27:20.173442800,0.000442800,1
'2026-08-22 08:27:20.173443000,0.000443000,0
'2026-08-22 08:27:20.173443900,0.000443900,1
'2026-08-22 08:27:20.173444100,0.000444100,0
'2026-08-22 08:27:20.173444600,0.000444600,1
'2026-08-22 08:27:20.173444800,0.000444800,0
'2026-08-22 08:27:20.173444900,0.000444900,1
'2026-08-22 08:27:20.173445000,0.000445000,0
'2026-08-22 08:27:20.173445100,0.000445100,1
'2026-08-22 08:27:20.173445200,0.000445200,0
'2026-08-22 08:27:20.173445700,0.000445700,1
'2026-08-22 08:27:20.173445900,0.000445900,0
'2026-08-22 08:27:20.173446300,0.000446300,1
'2026-08-22 08:27:20.173446400,0.000446400,0
'2026-08-22 08:27:20.173449700,0.000449700,1
'2026-08-22 08:27:20.173464800,0.000464800,0
'2026-08-22 08:27:20.173464900,0.000464900,1
'2026-08-22 08:27:20.173465800,0.000465800,0
'2026-08-22 08:27:20.173466100,0.000466100,1
'2026-08-22 08:27:20.173466300,0.000466300,0
'2026-08-22 08:27:20.173466700,0.000466700,1
'2026-08-22 08:27:20.173466900,0.000466900,0
'2026-08-22 08:27:20.173467900,0.000467900,1
'2026-08-22 08:27:20.173468000,0.000468000,0
'2026-08-22 08:27:20.173470800,0.000470800,1
'2026-08-22 08:27:20.173470900,0.000470900,0
'2026-08-22 08:27:20.173473300,0.000473300,1
'2026-08-22 08:27:20.173473400,0.000473400,0
'2026-08-22 08:27:20.173474300,0.000474300,1
'2026-08-22 08:27:20.173474500,0.000474500,0
'2026-08-22 08:27:20.173474900,0.000474900,1
'2026-08-22 08:27:20.173475000,0.000475000,0
'2026-08-22 08:27:20.173475200,0.000475200,1
'2026-08-22 08:27:20.173475300,0.000475300,0
'2026-08-22 08:27:20.173475400,0.000475400,1
'2026-08-22 08:27:20.173475600,0.000475600,0
'2026-08-22 08:27:20.173475700,0.000475700,1
'2026-08-22 08:27:20.173491000,0.000491000,0
'2026-08-22 08:27:20.173491100,0.000491100,1
'2026-08-22 08:27:20.173491200,0.000491200,0
'2026-08-22 08:27:20.173491300,0.000491300,1
'2026-08-22 08:27:20.173491400,0.000491400,0
'2026-08-22 08:27:20.173491600,0.000491600,1
'2026-08-22 08:27:20.173491700,0.000491700,0
'2026-08-22 08:27:20.173493600,0.000493600,1
'2026-08-22 08:27:20.173493700,0.000493700,0
'2026-08-22 08:27:20.173494000,0.000494000,1
'2026-08-22 08:27:20.173494100,0.000494100,0
'2026-08-22 08:27:20.173494500,0.000494500,1
'2026-08-22 08:27:20.173494600,0.000494600,0
'2026-08-22 08:27:20.173494800,0.000494800,1
'2026-08-22 08:27:20.173494900,0.000494900,0
'2026-08-22 08:27:20.173495800,0.000495800,1
'2026-08-22 08:27:20.173496100,0.000496100,0
'2026-08-22 08:27:20.173496500,0.000496500,1
'2026-08-22 08:27:20.173496600,0.000496600,0
'2026-08-22 08:27:20.173497100,0.000497100,1
'2026-08-22 08:27:20.173497200,0.000497200,0
'2026-08-22 08:27:20.173497700,0.000497700,1
'2026-08-22 08:27:20.173497800,0.000497800,0
'2026-08-22 08:27:20.173498900,0.000498900,1
'2026-08-22 08:27:20.173499000,0.000499000,0
'2026-08-22 08:27:20.173501800,0.000501800,1
'2026-08-22 08:27:20.173517700,0.000517700,0
'2026-08-22 08:27:20.173518100,0.000518100,1
'2026-08-22 08:27:20.173518400,0.000518400,0
'2026-08-22 08:27:20.173518700,0.000518700,1
'2026-08-22 08:27:20.173518800,0.000518800,0
'2026-08-22 08:27:20.173519300,0.000519300,1
'2026-08-22 08:27:20.173519400,0.000519400,0
'2026-08-22 08:27:20.173525100,0.000525100,1
'2026-08-22 08:27:20.173525300,0.000525300,0
'2026-08-22 08:27:20.173525800,0.000525800,1
'2026-08-22 08:27:20.173525900,0.000525900,0
'2026-08-22 08:27:20.173526300,0.000526300,1
'2026-08-22 08:27:20.173526400,0.000526400,0
'2026-08-22 08:27:20.173526900,0.000526900,1
'2026-08-22 08:27:20.173527000,0.000527000,0
'2026-08-22 08:27:20.173527500,0.000527500,1
'2026-08-22 08:27:20.173527600,0.000527600,0
'2026-08-22 08:27:20.173527800,0.000527800,1
'2026-08-22 08:27:20.173542800,0.000542800,0
