; CSV, generated by atk_libsigrok4 1.0.0 on 2026-08-22 08:23:18
; Channels (1/16)
; ChannelsType: 1
; Sample rate: 10 MHz
; Sample count: 1.907349 M
; Sampling time: 2026-08-22 08:23:13.534
SystemTime, Time(s), meow
'2026-08-22 08:23:13.534000000,0.000000000,1
'2026-08-22 08:23:13.534002100,0.000002100,0
'2026-08-22 08:23:13.534007900,0.000007900,1
'2026-08-22 08:23:13.534022100,0.000022100,0
'2026-08-22 08:23:13.534034000,0.000034000,1
'2026-08-22 08:23:13.534048000,0.000048000,0
'2026-08-22 08:23:13.534060000,0.000060000,1
'2026-08-22 08:23:13.534074000,0.000074000,0
'2026-08-22 08:23:13.534086000,0.000086000,1
'2026-08-22 08:23:13.534100000,0.000100000,0
'2026-08-22 08:23:13.534112000,0.000112000,1
'2026-08-22 08:23:13.534126000,0.000126000,0
'2026-08-22 08:23:13.534138000,0.000138000,1
'2026-08-22 08:23:13.534152000,0.000152000,0
'2026-08-22 08:23:13.534164000,0.000164000,1
'2026-08-22 08:23:13.534178000,0.000178000,0
'2026-08-22 08:23:13.534190000,0.000190000,1
'2026-08-22 08:23:13.534204000,0.000204000,0
'2026-08-22 08:23:13.534216000,0.000216000,1
'2026-08-22 08:23:13.534230000,0.000230000,0
'2026-08-22 08:23:13.534242000,0.000242000,1
'2026-08-22 08:23:13.534256200,0.000256200,0
'2026-08-22 08:23:13.534268000,0.000268000,1
'2026-08-22 08:23:13.534282000,0.000282000,0
'2026-08-22 08:23:13.534294000,0.000294000,1
'2026-08-22 08:23:13.534308000,0.000308000,0
'2026-08-22 08:23:13.534320000,0.000320000,1
'2026-08-22 08:23:13.534334100,0.000334100,0
'2026-08-22 08:23:13.534346000,0.000346000,1
'2026-08-22 08:23:13.534360100,0.000360100,0
'2026-08-22 08:23:13.534372000,0.000372000,1
'2026-08-22 08:23:13.534386000,0.000386000,0
'2026-08-22 08:23:13.534398000,0.000398000,1
'2026-08-22 08:23:13.534412000,0.000412000,0
'2026-08-22 08:23:13.534424000,0.000424000,1
'2026-08-22 08:23:13.534438000,0.000438000,0
'2026-08-22 08:23:13.534450000,0.000450000,1
'2026-08-22 08:23:13.534464200,0.000464200,0
'2026-08-22 08:23:13.534476000,0.000476000,1
'2026-08-22 08:23:13.534490000,0.000490000,0
'2026-08-22 08:23:13.534502000,0.000502000,1
'2026-08-22 08:23:13.534516200,0.000516200,0
'2026-08-22 08:23:13.534528000,0.000528000,1
'2026-08-22 08:23:13.534542100,0.000542100,0
'2026-08-22 08:23:13.534554000,0.000554000,1
'2026-08-22 08:23:13.534568200,0.000568200,0
'2026-08-22 08:23:13.534580000,0.000580000,1
'2026-08-22 08:23:13.534594100,0.000594100,0
'2026-08-22 08:23:13.534606100,0.000606100,1
'2026-08-22 08:23:13.534620100,0.000620100,0
'2026-08-22 08:23:13.534632100,0.000632100,1
'2026-08-22 08:23:13.534646100,0.000646100,0
'2026-08-22 08:23:13.534658100,0.000658100,1
'2026-08-22 08:23:13.534672200,0.000672200,0
'2026-08-22 08:23:13.534684100,0.000684100,1
'2026-08-22 08:23:13.534698200,0.000698200,0
'2026-08-22 08:23:13.534710100,0.000710100,1
'2026-08-22 08:23:13.534724200,0.000724200,0
'2026-08-22 08:23:13.534736100,0.000736100,1
'2026-08-22 08:23:13.534750100,0.000750100,0
'2026-08-22 08:23:13.534762100,0.000762100,1
'2026-08-22 08:23:13.534776200,0.000776200,0
'2026-08-22 08:23:13.534788100,0.000788100,1
'2026-08-22 08:23:13.534802100,0.000802100,0
'2026-08-22 08:23:13.534814100,0.000814100,1
'2026-08-22 08:23:13.534828200,0.000828200,0
'2026-08-22 08:23:13.534840100,0.000840100,1
'2026-08-22 08:23:13.534854100,0.000854100,0
'2026-08-22 08:23:13.534866100,0.000866100,1
'2026-08-22 08:23:13.534880200,0.000880200,0
'2026-08-22 08:23:13.534886500,0.000886500,1
'2026-08-22 08:23:13.534886600,0.000886600,0
'2026-08-22 08:23:13.534892100,0.000892100,1
'2026-08-22 08:23:13.534906200,0.000906200,0
'2026-08-22 08:23:13.534918100,0.000918100,1
