; CSV, generated by atk_libsigrok4 1.0.0 on 2026-08-22 08:29:56
; Channels (1/16)
; ChannelsType: 1
; Sample rate: 10 MHz
; Sample count: 1.907349 M
; Sampling time: 2026-08-22 08:29:53.416
SystemTime, Time(s), meow
'2026-08-22 08:29:53.416000000,0.000000000,1
'2026-08-22 08:29:53.416001600,0.000001600,0
'2026-08-22 08:29:53.416007000,0.000007000,1
'2026-08-22 08:29:53.416021400,0.000021400,0
'2026-08-22 08:29:53.416033100,0.000033100,1
'2026-08-22 08:29:53.416047700,0.000047700,0
'2026-08-22 08:29:53.416059200,0.000059200,1
'2026-08-22 08:29:53.416073700,0.000073700,0
'2026-08-22 08:29:53.416073900,0.000073900,1
'2026-08-22 08:29:53.416074000,0.000074000,0
'2026-08-22 08:29:53.416085300,0.000085300,1
'2026-08-22 08:29:53.416099700,0.000099700,0
'2026-08-22 08:29:53.416107500,0.000107500,1
'2026-08-22 08:29:53.416107600,0.000107600,0
'2026-08-22 08:29:53.416111400,0.000111400,1
'2026-08-22 08:29:53.416126100,0.000126100,0
'2026-08-22 08:29:53.416137400,0.000137400,1
'2026-08-22 08:29:53.416151800,0.000151800,0
'2026-08-22 08:29:53.416163500,0.000163500,1
'2026-08-22 08:29:53.416178200,0.000178200,0
'2026-08-22 08:29:53.416178500,0.000178500,1
'2026-08-22 08:29:53.416178600,0.000178600,0
'2026-08-22 08:29:53.416189600,0.000189600,1
'2026-08-22 08:29:53.416204300,0.000204300,0
'2026-08-22 08:29:53.416215700,0.000215700,1
'2026-08-22 08:29:53.416230200,0.000230200,0
'2026-08-22 08:29:53.416241800,0.000241800,1
'2026-08-22 08:29:53.416256300,0.000256300,0
'2026-08-22 08:29:53.416256400,0.000256400,1
'2026-08-22 08:29:53.416256500,0.000256500,0
'2026-08-22 08:29:53.416267900,0.000267900,1
'2026-08-22 08:29:53.416282400,0.000282400,0
'2026-08-22 08:29:53.416294000,0.000294000,1
'2026-08-22 08:29:53.416308800,0.000308800,0
'2026-08-22 08:29:53.416320000,0.000320000,1
'2026-08-22 08:29:53.416334600,0.000334600,0
'2026-08-22 08:29:53.416346100,0.000346100,1
'2026-08-22 08:29:53.416360800,0.000360800,0
'2026-08-22 08:29:53.416372200,0.000372200,1
'2026-08-22 08:29:53.416386800,0.000386800,0
'2026-08-22 08:29:53.416398300,0.000398300,1
'2026-08-22 08:29:53.416412800,0.000412800,0
'2026-08-22 08:29:53.416420300,0.000420300,1
'2026-08-22 08:29:53.416420400,0.000420400,0
'2026-08-22 08:29:53.416424400,0.000424400,1
'2026-08-22 08:29:53.416439200,0.000439200,0
'2026-08-22 08:29:53.416439500,0.000439500,1
'2026-08-22 08:29:53.416439600,0.000439600,0
'2026-08-22 08:29:53.416450500,0.000450500,1
'2026-08-22 08:29:53.416464900,0.000464900,0
'2026-08-22 08:29:53.416476600,0.000476600,1
'2026-08-22 08:29:53.416491300,0.000491300,0
'2026-08-22 08:29:53.416491500,0.000491500,1
'2026-08-22 08:29:53.416491600,0.000491600,0
'2026-08-22 08:29:53.416502700,0.000502700,1
'2026-08-22 08:29:53.416517300,0.000517300,0
