; CSV, generated by atk_libsigrok4 1.0.0 on 2026-08-22 08:23:36
; Channels (1/16)
; ChannelsType: 1
; Sample rate: 10 MHz
; Sample count: 1.907349 M
; Sampling time: 2026-08-22 08:23:32.866
SystemTime, Time(s), meow
'2026-08-22 08:23:32.866000000,0.000000000,1
'2026-08-22 08:23:32.866001600,0.000001600,0
'2026-08-22 08:23:32.866007200,0.000007200,1
'2026-08-22 08:23:32.866021600,0.000021600,0
'2026-08-22 08:23:32.866033300,0.000033300,1
'2026-08-22 08:23:32.866047800,0.000047800,0
'2026-08-22 08:23:32.866059400,0.000059400,1
'2026-08-22 08:23:32.866073600,0.000073600,0
'2026-08-22 08:23:32.866085400,0.000085400,1
'2026-08-22 08:23:32.866099900,0.000099900,0
'2026-08-22 08:23:32.866100200,0.000100200,1
'2026-08-22 08:23:32.866100300,0.000100300,0
'2026-08-22 08:23:32.866100900,0.000100900,1
'2026-08-22 08:23:32.866101000,0.000101000,0
'2026-08-22 08:23:32.866101500,0.000101500,1
'2026-08-22 08:23:32.866101600,0.000101600,0
'2026-08-22 08:23:32.866102600,0.000102600,1
'2026-08-22 08:23:32.866102700,0.000102700,0
'2026-08-22 08:23:32.866108500,0.000108500,1
'2026-08-22 08:23:32.866108600,0.000108600,0
'2026-08-22 08:23:32.866111500,0.000111500,1
'2026-08-22 08:23:32.866125800,0.000125800,0
'2026-08-22 08:23:32.866130100,0.000130100,1
'2026-08-22 08:23:32.866130200,0.000130200,0
'2026-08-22 08:23:32.866130700,0.000130700,1
'2026-08-22 08:23:32.866130900,0.000130900,0
'2026-08-22 08:23:32.866131900,0.000131900,1
'2026-08-22 08:23:32.866132000,0.000132000,0
'2026-08-22 08:23:32.866132400,0.000132400,1
'2026-08-22 08:23:32.866132500,0.000132500,0
'2026-08-22 08:23:32.866137600,0.000137600,1
'2026-08-22 08:23:32.866152200,0.000152200,0
'2026-08-22 08:23:32.866152300,0.000152300,1
'2026-08-22 08:23:32.866152400,0.000152400,0
'2026-08-22 08:23:32.866152700,0.000152700,1
'2026-08-22 08:23:32.866153000,0.000153000,0
'2026-08-22 08:23:32.866153900,0.000153900,1
'2026-08-22 08:23:32.866154100,0.000154100,0
'2026-08-22 08:23:32.866154600,0.000154600,1
'2026-08-22 08:23:32.866154700,0.000154700,0
'2026-08-22 08:23:32.866159300,0.000159300,1
'2026-08-22 08:23:32.866159400,0.000159400,0
'2026-08-22 08:23:32.866161000,0.000161000,1
'2026-08-22 08:23:32.866161100,0.000161100,0
'2026-08-22 08:23:32.866161600,0.000161600,1
'2026-08-22 08:23:32.866161800,0.000161800,0
'2026-08-22 08:23:32.866162200,0.000162200,1
'2026-08-22 08:23:32.866162300,0.000162300,0
'2026-08-22 08:23:32.866163300,0.000163300,1
'2026-08-22 08:23:32.866163500,0.000163500,0
'2026-08-22 08:23:32.866163700,0.000163700,1
'2026-08-22 08:23:32.866178600,0.000178600,0
'2026-08-22 08:23:32.866178700,0.000178700,1
'2026-08-22 08:23:32.866178800,0.000178800,0
'2026-08-22 08:23:32.866179100,0.000179100,1
'2026-08-22 08:23:32.866179200,0.000179200,0
'2026-08-22 08:23:32.866179700,0.000179700,1
'2026-08-22 08:23:32.866179800,0.000179800,0
'2026-08-22 08:23:32.866180300,0.000180300,1
'2026-08-22 08:23:32.866180400,0.000180400,0
'2026-08-22 08:23:32.866180900,0.000180900,1
'2026-08-22 08:23:32.866181000,0.000181000,0
'2026-08-22 08:23:32.866181500,0.000181500,1
'2026-08-22 08:23:32.866181600,0.000181600,0
'2026-08-22 08:23:32.866182600,0.000182600,1
'2026-08-22 08:23:32.866182700,0.000182700,0
'2026-08-22 08:23:32.866183600,0.000183600,1
'2026-08-22 08:23:32.866183900,0.000183900,0
'2026-08-22 08:23:32.866184400,0.000184400,1
'2026-08-22 08:23:32.866184500,0.000184500,0
'2026-08-22 08:23:32.866184900,0.000184900,1
'2026-08-22 08:23:32.866185100,0.000185100,0
'2026-08-22 08:23:32.866185300,0.000185300,1
'2026-08-22 08:23:32.866185400,0.000185400,0
