; CSV, generated by atk_libsigrok4 1.0.0 on 2026-08-22 08:24:34
; Channels (1/16)
; ChannelsType: 1
; Sample rate: 10 MHz
; Sample count: 1.907349 M
; Sampling time: 2026-08-22 08:24:29.650
SystemTime, Time(s), meow
'2026-08-22 08:24:29.650000000,0.000000000,1
'2026-08-22 08:24:29.650002300,0.000002300,0
'2026-08-22 08:24:29.650006500,0.000006500,1
'2026-08-22 08:24:29.650006600,0.000006600,0
'2026-08-22 08:24:29.650010700,0.000010700,1
'2026-08-22 08:24:29.650024800,0.000024800,0
'2026-08-22 08:24:29.650036700,0.000036700,1
'2026-08-22 08:24:29.650051000,0.000051000,0
'2026-08-22 08:24:29.650062800,0.000062800,1
'2026-08-22 08:24:29.650077000,0.000077000,0
'2026-08-22 08:24:29.650077100,0.000077100,1
'2026-08-22 08:24:29.650077200,0.000077200,0
'2026-08-22 08:24:29.650088900,0.000088900,1
'2026-08-22 08:24:29.650103100,0.000103100,0
'2026-08-22 08:24:29.650115000,0.000115000,1
'2026-08-22 08:24:29.650129300,0.000129300,0
'2026-08-22 08:24:29.650141100,0.000141100,1
'2026-08-22 08:24:29.650155500,0.000155500,0
'2026-08-22 08:24:29.650167100,0.000167100,1
'2026-08-22 08:24:29.650181400,0.000181400,0
'2026-08-22 08:24:29.650187600,0.000187600,1
'2026-08-22 08:24:29.650187700,0.000187700,0
'2026-08-22 08:24:29.650193200,0.000193200,1
'2026-08-22 08:24:29.650207600,0.000207600,0
'2026-08-22 08:24:29.650211400,0.000211400,1
'2026-08-22 08:24:29.650211500,0.000211500,0
'2026-08-22 08:24:29.650219300,0.000219300,1
'2026-08-22 08:24:29.650233700,0.000233700,0
'2026-08-22 08:24:29.650234200,0.000234200,1
'2026-08-22 08:24:29.650234300,0.000234300,0
'2026-08-22 08:24:29.650245300,0.000245300,1
'2026-08-22 08:24:29.650259700,0.000259700,0
'2026-08-22 08:24:29.650259800,0.000259800,1
'2026-08-22 08:24:29.650259900,0.000259900,0
'2026-08-22 08:24:29.650260400,0.000260400,1
'2026-08-22 08:24:29.650260600,0.000260600,0
'2026-08-22 08:24:29.650263900,0.000263900,1
'2026-08-22 08:24:29.650264000,0.000264000,0
'2026-08-22 08:24:29.650264700,0.000264700,1
'2026-08-22 08:24:29.650264800,0.000264800,0
'2026-08-22 08:24:29.650266300,0.000266300,1
'2026-08-22 08:24:29.650266400,0.000266400,0
'2026-08-22 08:24:29.650271400,0.000271400,1
'2026-08-22 08:24:29.650285900,0.000285900,0
'2026-08-22 08:24:29.650287300,0.000287300,1
'2026-08-22 08:24:29.650287400,0.000287400,0
'2026-08-22 08:24:29.650287900,0.000287900,1
'2026-08-22 08:24:29.650288000,0.000288000,0
'2026-08-22 08:24:29.650291300,0.000291300,1
'2026-08-22 08:24:29.650291400,0.000291400,0
'2026-08-22 08:24:29.650294900,0.000294900,1
'2026-08-22 08:24:29.650295000,0.000295000,0
'2026-08-22 08:24:29.650297200,0.000297200,1
'2026-08-22 08:24:29.650297300,0.000297300,0
'2026-08-22 08:24:29.650297500,0.000297500,1
'2026-08-22 08:24:29.650312000,0.000312000,0
'2026-08-22 08:24:29.650312200,0.000312200,1
'2026-08-22 08:24:29.650312300,0.000312300,0
'2026-08-22 08:24:29.650313000,0.000313000,1
'2026-08-22 08:24:29.650313100,0.000313100,0
'2026-08-22 08:24:29.650313500,0.000313500,1
'2026-08-22 08:24:29.650313700,0.000313700,0
'2026-08-22 08:24:29.650314100,0.000314100,1
'2026-08-22 08:24:29.650314200,0.000314200,0
'2026-08-22 08:24:29.650316500,0.000316500,1
'2026-08-22 08:24:29.650316600,0.000316600,0
'2026-08-22 08:24:29.650317100,0.000317100,1
'2026-08-22 08:24:29.650317200,0.000317200,0
'2026-08-22 08:24:29.650317700,0.000317700,1
'2026-08-22 08:24:29.650317800,0.000317800,0
'2026-08-22 08:24:29.650320000,0.000320000,1
'2026-08-22 08:24:29.650320100,0.000320100,0
'2026-08-22 08:24:29.650321100,0.000321100,1
'2026-08-22 08:24:29.650321200,0.000321200,0
'2026-08-22 08:24:29.650321700,0.000321700,1
'2026-08-22 08:24:29.650321900,0.000321900,0
'2026-08-22 08:24:29.650323600,0.000323600,1
'2026-08-22 08:24:29.650338200,0.000338200,0
'2026-08-22 08:24:29.650338300,0.000338300,1
'2026-08-22 08:24:29.650338400,0.000338400,0
'2026-08-22 08:24:29.650340400,0.000340400,1
'2026-08-22 08:24:29.650340500,0.000340500,0
'2026-08-22 08:24:29.650342200,0.000342200,1
'2026-08-22 08:24:29.650342300,0.000342300,0
'2026-08-22 08:24:29.650343300,0.000343300,1
'2026-08-22 08:24:29.650343400,0.000343400,0
'2026-08-22 08:24:29.650344500,0.000344500,1
'2026-08-22 08:24:29.650344600,0.000344600,0
'2026-08-22 08:24:29.650345100,0.000345100,1
'2026-08-22 08:24:29.650345200,0.000345200,0
'2026-08-22 08:24:29.650348600,0.000348600,1
'2026-08-22 08:24:29.650348700,0.000348700,0
'2026-08-22 08:24:29.650349700,0.000349700,1
'2026-08-22 08:24:29.650364100,0.000364100,0
'2026-08-22 08:24:29.650364900,0.000364900,1
'2026-08-22 08:24:29.650365000,0.000365000,0
'2026-08-22 08:24:29.650365500,0.000365500,1
'2026-08-22 08:24:29.650365600,0.000365600,0
'2026-08-22 08:24:29.650366100,0.000366100,1
'2026-08-22 08:24:29.650366200,0.000366200,0
'2026-08-22 08:24:29.650367900,0.000367900,1
'2026-08-22 08:24:29.650368000,0.000368000,0
'2026-08-22 08:24:29.650368500,0.000368500,1
'2026-08-22 08:24:29.650368600,0.000368600,0
'2026-08-22 08:24:29.650372500,0.000372500,1
'2026-08-22 08:24:29.650372600,0.000372600,0
'2026-08-22 08:24:29.650373700,0.000373700,1
'2026-08-22 08:24:29.650373800,0.000373800,0
'2026-08-22 08:24:29.650374700,0.000374700,1
'2026-08-22 08:24:29.650374800,0.000374800,0
'2026-08-22 08:24:29.650374900,0.000374900,1
'2026-08-22 08:24:29.650375000,0.000375000,0
'2026-08-22 08:24:29.650375700,0.000375700,1
'2026-08-22 08:24:29.650390300,0.000390300,0
'2026-08-22 08:24:29.650390700,0.000390700,1
'2026-08-22 08:24:29.650390900,0.000390900,0
'2026-08-22 08:24:29.650391100,0.000391100,1
'2026-08-22 08:24:29.650391300,0.000391300,0
'2026-08-22 08:24:29.650391800,0.000391800,1
'2026-08-22 08:24:29.650391900,0.000391900,0
'2026-08-22 08:24:29.650392300,0.000392300,1
'2026-08-22 08:24:29.650392600,0.000392600,0
'2026-08-22 08:24:29.650393000,0.000393000,1
'2026-08-22 08:24:29.650393200,0.000393200,0
'2026-08-22 08:24:29.650393500,0.000393500,1
'2026-08-22 08:24:29.650393600,0.000393600,0
'2026-08-22 08:24:29.650394700,0.000394700,1
'2026-08-22 08:24:29.650394800,0.000394800,0
'2026-08-22 08:24:29.650395300,0.000395300,1
'2026-08-22 08:24:29.650395400,0.000395400,0
'2026-08-22 08:24:29.650395600,0.000395600,1
'2026-08-22 08:24:29.650395700,0.000395700,0
