; CSV, generated by atk_libsigrok4 1.0.0 on 2026-08-22 08:24:56
; Channels (1/16)
; ChannelsType: 1
; Sample rate: 10 MHz
; Sample count: 1.907349 M
; Sampling time: 2026-08-22 08:24:52.830
SystemTime, Time(s), meow
'2026-08-22 08:24:52.830000000,0.000000000,1
'2026-08-22 08:24:52.830001600,0.000001600,0
'2026-08-22 08:24:52.830006300,0.000006300,1
'2026-08-22 08:24:52.830006400,0.000006400,0
'2026-08-22 08:24:52.830007100,0.000007100,1
'2026-08-22 08:24:52.830021300,0.000021300,0
'2026-08-22 08:24:52.830021400,0.000021400,1
'2026-08-22 08:24:52.830021600,0.000021600,0
'2026-08-22 08:24:52.830033200,0.000033200,1
'2026-08-22 08:24:52.830047500,0.000047500,0
'2026-08-22 08:24:52.830048400,0.000048400,1
'2026-08-22 08:24:52.830048500,0.000048500,0
'2026-08-22 08:24:52.830049000,0.000049000,1
'2026-08-22 08:24:52.830049100,0.000049100,0
'2026-08-22 08:24:52.830049500,0.000049500,1
'2026-08-22 08:24:52.830049600,0.000049600,0
'2026-08-22 08:24:52.830052500,0.000052500,1
'2026-08-22 08:24:52.830052600,0.000052600,0
'2026-08-22 08:24:52.830052900,0.000052900,1
'2026-08-22 08:24:52.830053000,0.000053000,0
'2026-08-22 08:24:52.830054200,0.000054200,1
'2026-08-22 08:24:52.830054300,0.000054300,0
'2026-08-22 08:24:52.830055400,0.000055400,1
'2026-08-22 08:24:52.830055500,0.000055500,0
'2026-08-22 08:24:52.830056000,0.000056000,1
'2026-08-22 08:24:52.830056100,0.000056100,0
'2026-08-22 08:24:52.830056300,0.000056300,1
'2026-08-22 08:24:52.830056400,0.000056400,0
'2026-08-22 08:24:52.830057100,0.000057100,1
'2026-08-22 08:24:52.830057300,0.000057300,0
'2026-08-22 08:24:52.830057700,0.000057700,1
'2026-08-22 08:24:52.830057800,0.000057800,0
'2026-08-22 08:24:52.830059300,0.000059300,1
'2026-08-22 08:24:52.830073800,0.000073800,0
'2026-08-22 08:24:52.830073900,0.000073900,1
'2026-08-22 08:24:52.830074000,0.000074000,0
'2026-08-22 08:24:52.830074100,0.000074100,1
'2026-08-22 08:24:52.830074200,0.000074200,0
'2026-08-22 08:24:52.830074700,0.000074700,1
'2026-08-22 08:24:52.830074800,0.000074800,0
'2026-08-22 08:24:52.830075200,0.000075200,1
'2026-08-22 08:24:52.830075300,0.000075300,0
'2026-08-22 08:24:52.830078100,0.000078100,1
'2026-08-22 08:24:52.830078300,0.000078300,0
'2026-08-22 08:24:52.830078700,0.000078700,1
'2026-08-22 08:24:52.830078800,0.000078800,0
'2026-08-22 08:24:52.830080500,0.000080500,1
'2026-08-22 08:24:52.830080600,0.000080600,0
'2026-08-22 08:24:52.830083400,0.000083400,1
'2026-08-22 08:24:52.830083500,0.000083500,0
'2026-08-22 08:24:52.830085300,0.000085300,1
'2026-08-22 08:24:52.830099900,0.000099900,0
'2026-08-22 08:24:52.830100700,0.000100700,1
'2026-08-22 08:24:52.830100800,0.000100800,0
'2026-08-22 08:24:52.830100900,0.000100900,1
'2026-08-22 08:24:52.830101100,0.000101100,0
'2026-08-22 08:24:52.830101600,0.000101600,1
'2026-08-22 08:24:52.830101700,0.000101700,0
'2026-08-22 08:24:52.830102100,0.000102100,1
'2026-08-22 08:24:52.830102200,0.000102200,0
'2026-08-22 08:24:52.830103200,0.000103200,1
'2026-08-22 08:24:52.830103400,0.000103400,0
'2026-08-22 08:24:52.830103800,0.000103800,1
'2026-08-22 08:24:52.830104000,0.000104000,0
'2026-08-22 08:24:52.830104100,0.000104100,1
'2026-08-22 08:24:52.830104200,0.000104200,0
'2026-08-22 08:24:52.830104400,0.000104400,1
'2026-08-22 08:24:52.830104600,0.000104600,0
'2026-08-22 08:24:52.830105000,0.000105000,1
'2026-08-22 08:24:52.830105200,0.000105200,0
'2026-08-22 08:24:52.830105300,0.000105300,1
'2026-08-22 08:24:52.830105400,0.000105400,0
'2026-08-22 08:24:52.830105600,0.000105600,1
'2026-08-22 08:24:52.830105700,0.000105700,0
'2026-08-22 08:24:52.830106000,0.000106000,1
'2026-08-22 08:24:52.830106100,0.000106100,0
'2026-08-22 08:24:52.830106200,0.000106200,1
'2026-08-22 08:24:52.830106400,0.000106400,0
'2026-08-22 08:24:52.830106500,0.000106500,1
'2026-08-22 08:24:52.830106600,0.000106600,0
'2026-08-22 08:24:52.830106800,0.000106800,1
'2026-08-22 08:24:52.830107000,0.000107000,0
'2026-08-22 08:24:52.830107300,0.000107300,1
'2026-08-22 08:24:52.830107400,0.000107400,0
'2026-08-22 08:24:52.830107500,0.000107500,1
'2026-08-22 08:24:52.830107600,0.000107600,0
'2026-08-22 08:24:52.830108500,0.000108500,1
'2026-08-22 08:24:52.830108600,0.000108600,0
'2026-08-22 08:24:52.830109700,0.000109700,1
'2026-08-22 08:24:52.830109800,0.000109800,0
'2026-08-22 08:24:52.830111400,0.000111400,1
'2026-08-22 08:24:52.830126400,0.000126400,0
'2026-08-22 08:24:52.830126900,0.000126900,1
'2026-08-22 08:24:52.830127000,0.000127000,0
'2026-08-22 08:24:52.830127200,0.000127200,1
'2026-08-22 08:24:52.830127300,0.000127300,0
'2026-08-22 08:24:52.830127400,0.000127400,1
'2026-08-22 08:24:52.830127500,0.000127500,0
'2026-08-22 08:24:52.830127800,0.000127800,1
'2026-08-22 08:24:52.830127900,0.000127900,0
'2026-08-22 08:24:52.830128200,0.000128200,1
'2026-08-22 08:24:52.830128600,0.000128600,0
'2026-08-22 08:24:52.830128900,0.000128900,1
'2026-08-22 08:24:52.830129000,0.000129000,0
'2026-08-22 08:24:52.830129400,0.000129400,1
'2026-08-22 08:24:52.830129700,0.000129700,0
'2026-08-22 08:24:52.830129900,0.000129900,1
'2026-08-22 08:24:52.830130000,0.000130000,0
'2026-08-22 08:24:52.830130700,0.000130700,1
'2026-08-22 08:24:52.830130800,0.000130800,0
'2026-08-22 08:24:52.830131900,0.000131900,1
'2026-08-22 08:24:52.830132000,0.000132000,0
'2026-08-22 08:24:52.830133000,0.000133000,1
'2026-08-22 08:24:52.830133100,0.000133100,0
'2026-08-22 08:24:52.830133600,0.000133600,1
'2026-08-22 08:24:52.830133700,0.000133700,0
'2026-08-22 08:24:52.830134200,0.000134200,1
'2026-08-22 08:24:52.830134300,0.000134300,0
'2026-08-22 08:24:52.830135200,0.000135200,1
'2026-08-22 08:24:52.830135300,0.000135300,0
'2026-08-22 08:24:52.830135400,0.000135400,1
'2026-08-22 08:24:52.830135600,0.000135600,0
'2026-08-22 08:24:52.830136000,0.000136000,1
'2026-08-22 08:24:52.830136100,0.000136100,0
'2026-08-22 08:24:52.830136300,0.000136300,1
'2026-08-22 08:24:52.830136700,0.000136700,0
'2026-08-22 08:24:52.830136900,0.000136900,1
'2026-08-22 08:24:52.830152000,0.000152000,0
'2026-08-22 08:24:52.830152100,0.000152100,1
'2026-08-22 08:24:52.830152200,0.000152200,0
'2026-08-22 08:24:52.830152300,0.000152300,1
'2026-08-22 08:24:52.830152600,0.000152600,0
'2026-08-22 08:24:52.830152800,0.000152800,1
'2026-08-22 08:24:52.830154000,0.000154000,0
'2026-08-22 08:24:52.830154100,0.000154100,1
'2026-08-22 08:24:52.830154200,0.000154200,0
'2026-08-22 08:24:52.830154700,0.000154700,1
'2026-08-22 08:24:52.830154800,0.000154800,0
'2026-08-22 08:24:52.830154900,0.000154900,1
'2026-08-22 08:24:52.830155000,0.000155000,0
'2026-08-22 08:24:52.830155200,0.000155200,1
'2026-08-22 08:24:52.830155400,0.000155400,0
'2026-08-22 08:24:52.830155800,0.000155800,1
'2026-08-22 08:24:52.830155900,0.000155900,0
'2026-08-22 08:24:52.830156100,0.000156100,1
'2026-08-22 08:24:52.830156200,0.000156200,0
'2026-08-22 08:24:52.830157600,0.000157600,1
'2026-08-22 08:24:52.830157700,0.000157700,0
'2026-08-22 08:24:52.830158200,0.000158200,1
'2026-08-22 08:24:52.830158400,0.000158400,0
'2026-08-22 08:24:52.830158600,0.000158600,1
'2026-08-22 08:24:52.830158900,0.000158900,0
'2026-08-22 08:24:52.830159300,0.000159300,1
