; CSV, generated by atk_libsigrok4 1.0.0 on 2026-08-22 08:25:24
; Channels (1/16)
; ChannelsType: 1
; Sample rate: 10 MHz
; Sample count: 1.907349 M
; Sampling time: 2026-08-22 08:25:17.837
SystemTime, Time(s), meow
'2026-08-22 08:25:17.837000000,0.000000000,1
'2026-08-22 08:25:17.837001600,0.000001600,0
'2026-08-22 08:25:17.837006700,0.000006700,1
'2026-08-22 08:25:17.837021400,0.000021400,0
'2026-08-22 08:25:17.837032700,0.000032700,1
'2026-08-22 08:25:17.837047400,0.000047400,0
'2026-08-22 08:25:17.837058800,0.000058800,1
'2026-08-22 08:25:17.837073400,0.000073400,0
'2026-08-22 08:25:17.837084800,0.000084800,1
'2026-08-22 08:25:17.837099400,0.000099400,0
'2026-08-22 08:25:17.837110800,0.000110800,1
'2026-08-22 08:25:17.837125500,0.000125500,0
'2026-08-22 08:25:17.837136800,0.000136800,1
'2026-08-22 08:25:17.837151600,0.000151600,0
'2026-08-22 08:25:17.837162800,0.000162800,1
'2026-08-22 08:25:17.837177400,0.000177400,0
'2026-08-22 08:25:17.837188800,0.000188800,1
'2026-08-22 08:25:17.837203400,0.000203400,0
'2026-08-22 08:25:17.837203500,0.000203500,1
'2026-08-22 08:25:17.837203600,0.000203600,0
'2026-08-22 08:25:17.837214800,0.000214800,1
'2026-08-22 08:25:17.837229600,0.000229600,0
'2026-08-22 08:25:17.837240800,0.000240800,1
'2026-08-22 08:25:17.837255600,0.000255600,0
'2026-08-22 08:25:17.837266800,0.000266800,1
'2026-08-22 08:25:17.837281700,0.000281700,0
'2026-08-22 08:25:17.837292800,0.000292800,1
'2026-08-22 08:25:17.837307600,0.000307600,0
'2026-08-22 08:25:17.837318800,0.000318800,1
'2026-08-22 08:25:17.837333800,0.000333800,0
'2026-08-22 08:25:17.837344900,0.000344900,1
'2026-08-22 08:25:17.837359600,0.000359600,0
'2026-08-22 08:25:17.837369100,0.000369100,1
'2026-08-22 08:25:17.837369200,0.000369200,0
'2026-08-22 08:25:17.837370900,0.000370900,1
'2026-08-22 08:25:17.837385500,0.000385500,0
'2026-08-22 08:25:17.837385600,0.000385600,1
'2026-08-22 08:25:17.837385700,0.000385700,0
'2026-08-22 08:25:17.837386300,0.000386300,1
'2026-08-22 08:25:17.837386400,0.000386400,0
'2026-08-22 08:25:17.837396900,0.000396900,1
'2026-08-22 08:25:17.837411700,0.000411700,0
'2026-08-22 08:25:17.837412000,0.000412000,1
'2026-08-22 08:25:17.837412100,0.000412100,0
'2026-08-22 08:25:17.837422900,0.000422900,1
'2026-08-22 08:25:17.837437800,0.000437800,0
'2026-08-22 08:25:17.837438900,0.000438900,1
'2026-08-22 08:25:17.837439000,0.000439000,0
'2026-08-22 08:25:17.837448900,0.000448900,1
'2026-08-22 08:25:17.837463800,0.000463800,0
'2026-08-22 08:25:17.837463900,0.000463900,1
'2026-08-22 08:25:17.837464000,0.000464000,0
'2026-08-22 08:25:17.837465800,0.000465800,1
'2026-08-22 08:25:17.837465900,0.000465900,0
'2026-08-22 08:25:17.837474900,0.000474900,1
'2026-08-22 08:25:17.837489800,0.000489800,0
'2026-08-22 08:25:17.837489900,0.000489900,1
'2026-08-22 08:25:17.837490000,0.000490000,0
'2026-08-22 08:25:17.837492700,0.000492700,1
'2026-08-22 08:25:17.837492800,0.000492800,0
'2026-08-22 08:25:17.837500900,0.000500900,1
'2026-08-22 08:25:17.837515800,0.000515800,0
'2026-08-22 08:25:17.837515900,0.000515900,1
'2026-08-22 08:25:17.837516000,0.000516000,0
'2026-08-22 08:25:17.837516500,0.000516500,1
