; CSV, generated by atk_libsigrok4 1.0.0 on 2026-08-22 08:30:08
; Channels (1/16)
; ChannelsType: 1
; Sample rate: 10 MHz
; Sample count: 1.907349 M
; Sampling time: 2026-08-22 08:30:04.991
SystemTime, Time(s), meow
'2026-08-22 08:30:04.991000000,0.000000000,1
'2026-08-22 08:30:04.991001600,0.000001600,0
'2026-08-22 08:30:04.991001700,0.000001700,1
'2026-08-22 08:30:04.991001800,0.000001800,0
'2026-08-22 08:30:04.991007000,0.000007000,1
'2026-08-22 08:30:04.991021600,0.000021600,0
'2026-08-22 08:30:04.991033100,0.000033100,1
'2026-08-22 08:30:04.991047600,0.000047600,0
'2026-08-22 08:30:04.991059200,0.000059200,1
'2026-08-22 08:30:04.991074000,0.000074000,0
'2026-08-22 08:30:04.991085200,0.000085200,1
'2026-08-22 08:30:04.991099800,0.000099800,0
'2026-08-22 08:30:04.991111400,0.000111400,1
'2026-08-22 08:30:04.991126000,0.000126000,0
'2026-08-22 08:30:04.991137400,0.000137400,1
'2026-08-22 08:30:04.991152200,0.000152200,0
'2026-08-22 08:30:04.991154600,0.000154600,1
'2026-08-22 08:30:04.991154700,0.000154700,0
'2026-08-22 08:30:04.991163500,0.000163500,1
'2026-08-22 08:30:04.991178100,0.000178100,0
'2026-08-22 08:30:04.991189600,0.000189600,1
'2026-08-22 08:30:04.991204300,0.000204300,0
'2026-08-22 08:30:04.991215700,0.000215700,1
'2026-08-22 08:30:04.991230200,0.000230200,0
'2026-08-22 08:30:04.991241800,0.000241800,1
'2026-08-22 08:30:04.991256400,0.000256400,0
'2026-08-22 08:30:04.991267900,0.000267900,1
'2026-08-22 08:30:04.991282500,0.000282500,0
'2026-08-22 08:30:04.991293900,0.000293900,1
'2026-08-22 08:30:04.991308700,0.000308700,0
'2026-08-22 08:30:04.991320100,0.000320100,1
'2026-08-22 08:30:04.991334700,0.000334700,0
'2026-08-22 08:30:04.991346100,0.000346100,1
'2026-08-22 08:30:04.991360800,0.000360800,0
'2026-08-22 08:30:04.991372200,0.000372200,1
'2026-08-22 08:30:04.991386800,0.000386800,0
'2026-08-22 08:30:04.991398300,0.000398300,1
'2026-08-22 08:30:04.991413000,0.000413000,0
'2026-08-22 08:30:04.991424400,0.000424400,1
'2026-08-22 08:30:04.991439100,0.000439100,0
'2026-08-22 08:30:04.991449500,0.000449500,1
'2026-08-22 08:30:04.991449600,0.000449600,0
'2026-08-22 08:30:04.991450500,0.000450500,1
'2026-08-22 08:30:04.991464900,0.000464900,0
'2026-08-22 08:30:04.991465100,0.000465100,1
'2026-08-22 08:30:04.991465200,0.000465200,0
'2026-08-22 08:30:04.991476500,0.000476500,1
'2026-08-22 08:30:04.991491200,0.000491200,0
'2026-08-22 08:30:04.991502600,0.000502600,1
'2026-08-22 08:30:04.991517300,0.000517300,0
