; CSV, generated by atk_libsigrok4 1.0.0 on 2026-08-22 08:26:57
; Channels (1/16)
; ChannelsType: 1
; Sample rate: 10 MHz
; Sample count: 1.907349 M
; Sampling time: 2026-08-22 08:26:51.938
SystemTime, Time(s), meow
'2026-08-22 08:26:51.938000000,0.000000000,1
'2026-08-22 08:26:51.938002200,0.000002200,0
'2026-08-22 08:26:51.938007500,0.000007500,1
'2026-08-22 08:26:51.938022200,0.000022200,0
'2026-08-22 08:26:51.938022300,0.000022300,1
'2026-08-22 08:26:51.938022400,0.000022400,0
'2026-08-22 08:26:51.938033600,0.000033600,1
'2026-08-22 08:26:51.938048300,0.000048300,0
'2026-08-22 08:26:51.938048500,0.000048500,1
'2026-08-22 08:26:51.938048600,0.000048600,0
'2026-08-22 08:26:51.938049100,0.000049100,1
'2026-08-22 08:26:51.938049200,0.000049200,0
'2026-08-22 08:26:51.938059600,0.000059600,1
'2026-08-22 08:26:51.938074400,0.000074400,0
'2026-08-22 08:26:51.938074900,0.000074900,1
'2026-08-22 08:26:51.938075000,0.000075000,0
'2026-08-22 08:26:51.938076900,0.000076900,1
'2026-08-22 08:26:51.938077000,0.000077000,0
'2026-08-22 08:26:51.938079500,0.000079500,1
'2026-08-22 08:26:51.938079600,0.000079600,0
'2026-08-22 08:26:51.938085700,0.000085700,1
'2026-08-22 08:26:51.938100400,0.000100400,0
'2026-08-22 08:26:51.938100500,0.000100500,1
'2026-08-22 08:26:51.938100800,0.000100800,0
'2026-08-22 08:26:51.938101100,0.000101100,1
'2026-08-22 08:26:51.938101200,0.000101200,0
'2026-08-22 08:26:51.938102900,0.000102900,1
'2026-08-22 08:26:51.938103000,0.000103000,0
'2026-08-22 08:26:51.938110500,0.000110500,1
'2026-08-22 08:26:51.938110600,0.000110600,0
'2026-08-22 08:26:51.938111800,0.000111800,1
'2026-08-22 08:26:51.938126500,0.000126500,0
'2026-08-22 08:26:51.938126800,0.000126800,1
'2026-08-22 08:26:51.938126900,0.000126900,0
'2026-08-22 08:26:51.938130300,0.000130300,1
'2026-08-22 08:26:51.938130400,0.000130400,0
'2026-08-22 08:26:51.938131500,0.000131500,1
'2026-08-22 08:26:51.938131600,0.000131600,0
'2026-08-22 08:26:51.938133800,0.000133800,1
'2026-08-22 08:26:51.938133900,0.000133900,0
'2026-08-22 08:26:51.938137900,0.000137900,1
'2026-08-22 08:26:51.938152700,0.000152700,0
'2026-08-22 08:26:51.938153700,0.000153700,1
