; CSV, generated by atk_libsigrok4 1.0.0 on 2026-08-22 08:39:20
; Channels (1/16)
; ChannelsType: 1
; Sample rate: 10 MHz
; Sample count: 1.907349 M
; Sampling time: 2026-08-22 08:39:16.143
SystemTime, Time(s), meow
'2026-08-22 08:39:16.143000000,0.000000000,1
'2026-08-22 08:39:16.143002300,0.000002300,0
'2026-08-22 08:39:16.143007900,0.000007900,1
'2026-08-22 08:39:16.143022300,0.000022300,0
'2026-08-22 08:39:16.143034000,0.000034000,1
'2026-08-22 08:39:16.143048200,0.000048200,0
'2026-08-22 08:39:16.143060000,0.000060000,1
'2026-08-22 08:39:16.143074300,0.000074300,0
'2026-08-22 08:39:16.143086100,0.000086100,1
'2026-08-22 08:39:16.143100400,0.000100400,0
'2026-08-22 08:39:16.143104300,0.000104300,1
'2026-08-22 08:39:16.143104400,0.000104400,0
'2026-08-22 08:39:16.143112100,0.000112100,1
'2026-08-22 08:39:16.143126400,0.000126400,0
'2026-08-22 08:39:16.143138200,0.000138200,1
'2026-08-22 08:39:16.143152600,0.000152600,0
'2026-08-22 08:39:16.143164200,0.000164200,1
'2026-08-22 08:39:16.143178500,0.000178500,0
'2026-08-22 08:39:16.143190200,0.000190200,1
'2026-08-22 08:39:16.143204600,0.000204600,0
'2026-08-22 08:39:16.143216300,0.000216300,1
'2026-08-22 08:39:16.143230600,0.000230600,0
'2026-08-22 08:39:16.143242300,0.000242300,1
'2026-08-22 08:39:16.143256600,0.000256600,0
'2026-08-22 08:39:16.143268400,0.000268400,1
'2026-08-22 08:39:16.143282700,0.000282700,0
'2026-08-22 08:39:16.143294400,0.000294400,1
'2026-08-22 08:39:16.143308700,0.000308700,0
'2026-08-22 08:39:16.143320500,0.000320500,1
'2026-08-22 08:39:16.143334800,0.000334800,0
'2026-08-22 08:39:16.143346500,0.000346500,1
'2026-08-22 08:39:16.143361000,0.000361000,0
'2026-08-22 08:39:16.143372500,0.000372500,1
'2026-08-22 08:39:16.143386900,0.000386900,0
'2026-08-22 08:39:16.143398600,0.000398600,1
'2026-08-22 08:39:16.143413000,0.000413000,0
'2026-08-22 08:39:16.143424600,0.000424600,1
'2026-08-22 08:39:16.143439000,0.000439000,0
'2026-08-22 08:39:16.143439100,0.000439100,1
'2026-08-22 08:39:16.143439200,0.000439200,0
'2026-08-22 08:39:16.143450700,0.000450700,1
'2026-08-22 08:39:16.143465100,0.000465100,0
'2026-08-22 08:39:16.143467700,0.000467700,1
'2026-08-22 08:39:16.143467800,0.000467800,0
'2026-08-22 08:39:16.143473100,0.000473100,1
'2026-08-22 08:39:16.143473200,0.000473200,0
'2026-08-22 08:39:16.143476500,0.000476500,1
'2026-08-22 08:39:16.143476600,0.000476600,0
'2026-08-22 08:39:16.143476700,0.000476700,1
'2026-08-22 08:39:16.143491200,0.000491200,0
