; CSV, generated by atk_libsigrok4 1.0.0 on 2026-08-22 08:27:45
; Channels (1/16)
; ChannelsType: 1
; Sample rate: 10 MHz
; Sample count: 1.907349 M
; Sampling time: 2026-08-22 08:27:42.523
SystemTime, Time(s), meow
'2026-08-22 08:27:42.523000000,0.000000000,1
'2026-08-22 08:27:42.523001600,0.000001600,0
'2026-08-22 08:27:42.523001700,0.000001700,1
'2026-08-22 08:27:42.523001800,0.000001800,0
'2026-08-22 08:27:42.523005900,0.000005900,1
'2026-08-22 08:27:42.523006000,0.000006000,0
'2026-08-22 08:27:42.523007000,0.000007000,1
'2026-08-22 08:27:42.523021700,0.000021700,0
'2026-08-22 08:27:42.523033100,0.000033100,1
'2026-08-22 08:27:42.523047600,0.000047600,0
'2026-08-22 08:27:42.523059100,0.000059100,1
'2026-08-22 08:27:42.523073800,0.000073800,0
'2026-08-22 08:27:42.523074500,0.000074500,1
'2026-08-22 08:27:42.523074600,0.000074600,0
'2026-08-22 08:27:42.523085200,0.000085200,1
'2026-08-22 08:27:42.523099800,0.000099800,0
'2026-08-22 08:27:42.523111200,0.000111200,1
'2026-08-22 08:27:42.523125900,0.000125900,0
'2026-08-22 08:27:42.523134900,0.000134900,1
'2026-08-22 08:27:42.523135000,0.000135000,0
'2026-08-22 08:27:42.523137300,0.000137300,1
'2026-08-22 08:27:42.523152200,0.000152200,0
'2026-08-22 08:27:42.523163400,0.000163400,1
'2026-08-22 08:27:42.523178300,0.000178300,0
'2026-08-22 08:27:42.523185100,0.000185100,1
'2026-08-22 08:27:42.523185200,0.000185200,0
'2026-08-22 08:27:42.523189400,0.000189400,1
'2026-08-22 08:27:42.523204500,0.000204500,0
'2026-08-22 08:27:42.523205600,0.000205600,1
'2026-08-22 08:27:42.523205700,0.000205700,0
'2026-08-22 08:27:42.523207300,0.000207300,1
'2026-08-22 08:27:42.523207400,0.000207400,0
'2026-08-22 08:27:42.523210800,0.000210800,1
'2026-08-22 08:27:42.523210900,0.000210900,0
'2026-08-22 08:27:42.523215500,0.000215500,1
'2026-08-22 08:27:42.523230300,0.000230300,0
'2026-08-22 08:27:42.523241600,0.000241600,1
'2026-08-22 08:27:42.523256400,0.000256400,0
'2026-08-22 08:27:42.523257500,0.000257500,1
'2026-08-22 08:27:42.523257600,0.000257600,0
'2026-08-22 08:27:42.523266300,0.000266300,1
'2026-08-22 08:27:42.523266400,0.000266400,0
'2026-08-22 08:27:42.523267600,0.000267600,1
'2026-08-22 08:27:42.523282400,0.000282400,0
'2026-08-22 08:27:42.523293700,0.000293700,1
'2026-08-22 08:27:42.523308500,0.000308500,0
'2026-08-22 08:27:42.523308900,0.000308900,1
'2026-08-22 08:27:42.523309000,0.000309000,0
'2026-08-22 08:27:42.523319800,0.000319800,1
'2026-08-22 08:27:42.523334800,0.000334800,0
'2026-08-22 08:27:42.523335000,0.000335000,1
'2026-08-22 08:27:42.523335100,0.000335100,0
'2026-08-22 08:27:42.523336300,0.000336300,1
'2026-08-22 08:27:42.523336500,0.000336500,0
'2026-08-22 08:27:42.523337700,0.000337700,1
'2026-08-22 08:27:42.523337800,0.000337800,0
'2026-08-22 08:27:42.523345800,0.000345800,1
'2026-08-22 08:27:42.523361000,0.000361000,0
'2026-08-22 08:27:42.523371900,0.000371900,1
'2026-08-22 08:27:42.523386800,0.000386800,0
'2026-08-22 08:27:42.523386900,0.000386900,1
'2026-08-22 08:27:42.523387000,0.000387000,0
'2026-08-22 08:27:42.523387100,0.000387100,1
'2026-08-22 08:27:42.523387200,0.000387200,0
'2026-08-22 08:27:42.523387700,0.000387700,1
'2026-08-22 08:27:42.523387800,0.000387800,0
'2026-08-22 08:27:42.523388300,0.000388300,1
'2026-08-22 08:27:42.523388400,0.000388400,0
'2026-08-22 08:27:42.523388500,0.000388500,1
'2026-08-22 08:27:42.523388600,0.000388600,0
'2026-08-22 08:27:42.523388900,0.000388900,1
'2026-08-22 08:27:42.523389000,0.000389000,0
'2026-08-22 08:27:42.523390900,0.000390900,1
'2026-08-22 08:27:42.523391000,0.000391000,0
'2026-08-22 08:27:42.523397900,0.000397900,1
'2026-08-22 08:27:42.523412600,0.000412600,0
'2026-08-22 08:27:42.523417500,0.000417500,1
'2026-08-22 08:27:42.523417600,0.000417600,0
'2026-08-22 08:27:42.523418100,0.000418100,1
'2026-08-22 08:27:42.523418200,0.000418200,0
'2026-08-22 08:27:42.523418700,0.000418700,1
'2026-08-22 08:27:42.523418800,0.000418800,0
'2026-08-22 08:27:42.523419300,0.000419300,1
'2026-08-22 08:27:42.523419400,0.000419400,0
'2026-08-22 08:27:42.523419600,0.000419600,1
'2026-08-22 08:27:42.523420000,0.000420000,0
'2026-08-22 08:27:42.523420400,0.000420400,1
'2026-08-22 08:27:42.523420800,0.000420800,0
'2026-08-22 08:27:42.523424000,0.000424000,1
'2026-08-22 08:27:42.523439400,0.000439400,0
'2026-08-22 08:27:42.523439500,0.000439500,1
'2026-08-22 08:27:42.523440200,0.000440200,0
'2026-08-22 08:27:42.523447900,0.000447900,1
'2026-08-22 08:27:42.523448000,0.000448000,0
'2026-08-22 08:27:42.523448300,0.000448300,1
'2026-08-22 08:27:42.523448600,0.000448600,0
'2026-08-22 08:27:42.523449000,0.000449000,1
'2026-08-22 08:27:42.523449200,0.000449200,0
'2026-08-22 08:27:42.523449600,0.000449600,1
'2026-08-22 08:27:42.523449700,0.000449700,0
'2026-08-22 08:27:42.523450100,0.000450100,1
'2026-08-22 08:27:42.523464600,0.000464600,0
'2026-08-22 08:27:42.523464700,0.000464700,1
