; CSV, generated by atk_libsigrok4 1.0.0 on 2026-08-22 08:27:34
; Channels (1/16)
; ChannelsType: 1
; Sample rate: 10 MHz
; Sample count: 1.907349 M
; Sampling time: 2026-08-22 08:27:31.085
SystemTime, Time(s), meow
'2026-08-22 08:27:31.085000000,0.000000000,1
'2026-08-22 08:27:31.085001600,0.000001600,0
'2026-08-22 08:27:31.085006900,0.000006900,1
'2026-08-22 08:27:31.085021600,0.000021600,0
'2026-08-22 08:27:31.085032900,0.000032900,1
'2026-08-22 08:27:31.085047400,0.000047400,0
'2026-08-22 08:27:31.085059000,0.000059000,1
'2026-08-22 08:27:31.085073800,0.000073800,0
'2026-08-22 08:27:31.085073900,0.000073900,1
'2026-08-22 08:27:31.085074000,0.000074000,0
'2026-08-22 08:27:31.085085000,0.000085000,1
'2026-08-22 08:27:31.085099400,0.000099400,0
'2026-08-22 08:27:31.085099500,0.000099500,1
'2026-08-22 08:27:31.085099600,0.000099600,0
'2026-08-22 08:27:31.085111100,0.000111100,1
'2026-08-22 08:27:31.085125800,0.000125800,0
'2026-08-22 08:27:31.085137100,0.000137100,1
'2026-08-22 08:27:31.085151900,0.000151900,0
'2026-08-22 08:27:31.085158100,0.000158100,1
'2026-08-22 08:27:31.085158200,0.000158200,0
'2026-08-22 08:27:31.085163200,0.000163200,1
'2026-08-22 08:27:31.085177800,0.000177800,0
'2026-08-22 08:27:31.085177900,0.000177900,1
'2026-08-22 08:27:31.085178000,0.000178000,0
'2026-08-22 08:27:31.085189200,0.000189200,1
'2026-08-22 08:27:31.085204000,0.000204000,0
'2026-08-22 08:27:31.085204200,0.000204200,1
'2026-08-22 08:27:31.085204300,0.000204300,0
'2026-08-22 08:27:31.085215200,0.000215200,1
'2026-08-22 08:27:31.085230000,0.000230000,0
'2026-08-22 08:27:31.085241300,0.000241300,1
'2026-08-22 08:27:31.085256400,0.000256400,0
'2026-08-22 08:27:31.085258500,0.000258500,1
'2026-08-22 08:27:31.085258600,0.000258600,0
'2026-08-22 08:27:31.085267300,0.000267300,1
'2026-08-22 08:27:31.085282200,0.000282200,0
'2026-08-22 08:27:31.085293400,0.000293400,1
'2026-08-22 08:27:31.085308400,0.000308400,0
'2026-08-22 08:27:31.085308700,0.000308700,1
'2026-08-22 08:27:31.085308800,0.000308800,0
'2026-08-22 08:27:31.085319400,0.000319400,1
'2026-08-22 08:27:31.085334200,0.000334200,0
'2026-08-22 08:27:31.085334400,0.000334400,1
'2026-08-22 08:27:31.085334600,0.000334600,0
'2026-08-22 08:27:31.085336100,0.000336100,1
'2026-08-22 08:27:31.085336200,0.000336200,0
'2026-08-22 08:27:31.085345500,0.000345500,1
'2026-08-22 08:27:31.085360200,0.000360200,0
'2026-08-22 08:27:31.085371500,0.000371500,1
'2026-08-22 08:27:31.085386600,0.000386600,0
'2026-08-22 08:27:31.085386900,0.000386900,1
'2026-08-22 08:27:31.085387000,0.000387000,0
'2026-08-22 08:27:31.085397600,0.000397600,1
'2026-08-22 08:27:31.085412300,0.000412300,0
'2026-08-22 08:27:31.085416700,0.000416700,1
'2026-08-22 08:27:31.085416800,0.000416800,0
'2026-08-22 08:27:31.085423600,0.000423600,1
'2026-08-22 08:27:31.085438600,0.000438600,0
'2026-08-22 08:27:31.085443500,0.000443500,1
'2026-08-22 08:27:31.085443600,0.000443600,0
'2026-08-22 08:27:31.085449700,0.000449700,1
'2026-08-22 08:27:31.085464900,0.000464900,0
'2026-08-22 08:27:31.085465100,0.000465100,1
'2026-08-22 08:27:31.085465200,0.000465200,0
'2026-08-22 08:27:31.085465500,0.000465500,1
'2026-08-22 08:27:31.085465600,0.000465600,0
'2026-08-22 08:27:31.085465700,0.000465700,1
'2026-08-22 08:27:31.085465800,0.000465800,0
'2026-08-22 08:27:31.085466300,0.000466300,1
'2026-08-22 08:27:31.085466400,0.000466400,0
'2026-08-22 08:27:31.085474300,0.000474300,1
'2026-08-22 08:27:31.085474400,0.000474400,0
'2026-08-22 08:27:31.085475700,0.000475700,1
'2026-08-22 08:27:31.085490400,0.000490400,0
'2026-08-22 08:27:31.085493700,0.000493700,1
'2026-08-22 08:27:31.085493900,0.000493900,0
'2026-08-22 08:27:31.085496700,0.000496700,1
'2026-08-22 08:27:31.085496800,0.000496800,0
'2026-08-22 08:27:31.085501800,0.000501800,1
'2026-08-22 08:27:31.085517400,0.000517400,0
'2026-08-22 08:27:31.085518300,0.000518300,1
'2026-08-22 08:27:31.085518400,0.000518400,0
'2026-08-22 08:27:31.085524700,0.000524700,1
'2026-08-22 08:27:31.085524800,0.000524800,0
'2026-08-22 08:27:31.085525300,0.000525300,1
'2026-08-22 08:27:31.085525400,0.000525400,0
'2026-08-22 08:27:31.085527100,0.000527100,1
'2026-08-22 08:27:31.085527200,0.000527200,0
'2026-08-22 08:27:31.085527800,0.000527800,1
'2026-08-22 08:27:31.085542600,0.000542600,0
'2026-08-22 08:27:31.085542700,0.000542700,1
'2026-08-22 08:27:31.085542900,0.000542900,0
'2026-08-22 08:27:31.085546300,0.000546300,1
'2026-08-22 08:27:31.085546400,0.000546400,0
'2026-08-22 08:27:31.085546900,0.000546900,1
'2026-08-22 08:27:31.085547000,0.000547000,0
'2026-08-22 08:27:31.085547500,0.000547500,1
'2026-08-22 08:27:31.085547600,0.000547600,0
'2026-08-22 08:27:31.085547700,0.000547700,1
'2026-08-22 08:27:31.085547800,0.000547800,0
'2026-08-22 08:27:31.085553900,0.000553900,1
'2026-08-22 08:27:31.085569200,0.000569200,0
'2026-08-22 08:27:31.085569700,0.000569700,1
'2026-08-22 08:27:31.085569800,0.000569800,0
'2026-08-22 08:27:31.085576800,0.000576800,1
'2026-08-22 08:27:31.085576900,0.000576900,0
'2026-08-22 08:27:31.085577300,0.000577300,1
'2026-08-22 08:27:31.085577400,0.000577400,0
'2026-08-22 08:27:31.085577900,0.000577900,1
'2026-08-22 08:27:31.085578000,0.000578000,0
'2026-08-22 08:27:31.085579900,0.000579900,1
'2026-08-22 08:27:31.085594900,0.000594900,0
'2026-08-22 08:27:31.085595400,0.000595400,1
'2026-08-22 08:27:31.085595500,0.000595500,0
'2026-08-22 08:27:31.085596600,0.000596600,1
'2026-08-22 08:27:31.085596700,0.000596700,0
'2026-08-22 08:27:31.085597100,0.000597100,1
'2026-08-22 08:27:31.085597200,0.000597200,0
'2026-08-22 08:27:31.085599500,0.000599500,1
'2026-08-22 08:27:31.085599600,0.000599600,0
'2026-08-22 08:27:31.085606000,0.000606000,1
'2026-08-22 08:27:31.085620800,0.000620800,0
'2026-08-22 08:27:31.085621100,0.000621100,1
'2026-08-22 08:27:31.085621200,0.000621200,0
'2026-08-22 08:27:31.085627500,0.000627500,1
'2026-08-22 08:27:31.085627600,0.000627600,0
'2026-08-22 08:27:31.085632000,0.000632000,1
'2026-08-22 08:27:31.085647200,0.000647200,0
'2026-08-22 08:27:31.085647300,0.000647300,1
'2026-08-22 08:27:31.085647600,0.000647600,0
'2026-08-22 08:27:31.085647700,0.000647700,1
'2026-08-22 08:27:31.085647900,0.000647900,0
'2026-08-22 08:27:31.085649700,0.000649700,1
'2026-08-22 08:27:31.085649800,0.000649800,0
'2026-08-22 08:27:31.085654400,0.000654400,1
'2026-08-22 08:27:31.085654500,0.000654500,0
'2026-08-22 08:27:31.085655500,0.000655500,1
'2026-08-22 08:27:31.085655600,0.000655600,0
'2026-08-22 08:27:31.085657300,0.000657300,1
'2026-08-22 08:27:31.085657400,0.000657400,0
'2026-08-22 08:27:31.085658100,0.000658100,1
'2026-08-22 08:27:31.085673200,0.000673200,0
'2026-08-22 08:27:31.085673600,0.000673600,1
'2026-08-22 08:27:31.085673800,0.000673800,0
'2026-08-22 08:27:31.085676500,0.000676500,1
'2026-08-22 08:27:31.085676600,0.000676600,0
'2026-08-22 08:27:31.085677600,0.000677600,1
'2026-08-22 08:27:31.085677800,0.000677800,0
'2026-08-22 08:27:31.085684100,0.000684100,1
'2026-08-22 08:27:31.085699500,0.000699500,0
'2026-08-22 08:27:31.085701500,0.000701500,1
'2026-08-22 08:27:31.085701600,0.000701600,0
'2026-08-22 08:27:31.085705200,0.000705200,1
'2026-08-22 08:27:31.085705300,0.000705300,0
'2026-08-22 08:27:31.085706900,0.000706900,1
'2026-08-22 08:27:31.085707000,0.000707000,0
'2026-08-22 08:27:31.085708100,0.000708100,1
'2026-08-22 08:27:31.085708200,0.000708200,0
'2026-08-22 08:27:31.085710200,0.000710200,1
'2026-08-22 08:27:31.085725700,0.000725700,0
'2026-08-22 08:27:31.085726200,0.000726200,1
'2026-08-22 08:27:31.085726300,0.000726300,0
'2026-08-22 08:27:31.085727400,0.000727400,1
'2026-08-22 08:27:31.085727500,0.000727500,0
'2026-08-22 08:27:31.085728500,0.000728500,1
'2026-08-22 08:27:31.085728600,0.000728600,0
'2026-08-22 08:27:31.085729300,0.000729300,1
'2026-08-22 08:27:31.085729400,0.000729400,0
'2026-08-22 08:27:31.085736200,0.000736200,1
'2026-08-22 08:27:31.085751100,0.000751100,0
'2026-08-22 08:27:31.085751300,0.000751300,1
'2026-08-22 08:27:31.085751400,0.000751400,0
'2026-08-22 08:27:31.085752500,0.000752500,1
'2026-08-22 08:27:31.085752600,0.000752600,0
'2026-08-22 08:27:31.085754900,0.000754900,1
'2026-08-22 08:27:31.085755000,0.000755000,0
'2026-08-22 08:27:31.085757900,0.000757900,1
'2026-08-22 08:27:31.085758000,0.000758000,0
'2026-08-22 08:27:31.085758300,0.000758300,1
'2026-08-22 08:27:31.085758400,0.000758400,0
'2026-08-22 08:27:31.085758900,0.000758900,1
'2026-08-22 08:27:31.085759000,0.000759000,0
'2026-08-22 08:27:31.085762300,0.000762300,1
'2026-08-22 08:27:31.085778600,0.000778600,0
'2026-08-22 08:27:31.085778700,0.000778700,1
'2026-08-22 08:27:31.085779000,0.000779000,0
'2026-08-22 08:27:31.085779300,0.000779300,1
'2026-08-22 08:27:31.085779400,0.000779400,0
'2026-08-22 08:27:31.085779900,0.000779900,1
'2026-08-22 08:27:31.085780000,0.000780000,0
'2026-08-22 08:27:31.085785700,0.000785700,1
'2026-08-22 08:27:31.085785800,0.000785800,0
'2026-08-22 08:27:31.085788000,0.000788000,1
'2026-08-22 08:27:31.085788200,0.000788200,0
'2026-08-22 08:27:31.085788300,0.000788300,1
'2026-08-22 08:27:31.085803400,0.000803400,0
'2026-08-22 08:27:31.085803700,0.000803700,1
'2026-08-22 08:27:31.085804000,0.000804000,0
'2026-08-22 08:27:31.085804500,0.000804500,1
'2026-08-22 08:27:31.085804600,0.000804600,0
'2026-08-22 08:27:31.085805000,0.000805000,1
'2026-08-22 08:27:31.085805100,0.000805100,0
'2026-08-22 08:27:31.085806100,0.000806100,1
'2026-08-22 08:27:31.085806300,0.000806300,0
'2026-08-22 08:27:31.085807300,0.000807300,1
'2026-08-22 08:27:31.085807400,0.000807400,0
'2026-08-22 08:27:31.085808500,0.000808500,1
'2026-08-22 08:27:31.085808600,0.000808600,0
'2026-08-22 08:27:31.085809100,0.000809100,1
'2026-08-22 08:27:31.085809200,0.000809200,0
'2026-08-22 08:27:31.085814300,0.000814300,1
'2026-08-22 08:27:31.085829300,0.000829300,0
'2026-08-22 08:27:31.085829400,0.000829400,1
'2026-08-22 08:27:31.085829600,0.000829600,0
'2026-08-22 08:27:31.085830100,0.000830100,1
'2026-08-22 08:27:31.085830200,0.000830200,0
'2026-08-22 08:27:31.085835900,0.000835900,1
'2026-08-22 08:27:31.085836000,0.000836000,0
'2026-08-22 08:27:31.085836500,0.000836500,1
'2026-08-22 08:27:31.085836600,0.000836600,0
'2026-08-22 08:27:31.085837100,0.000837100,1
'2026-08-22 08:27:31.085837200,0.000837200,0
'2026-08-22 08:27:31.085837700,0.000837700,1
'2026-08-22 08:27:31.085837800,0.000837800,0
'2026-08-22 08:27:31.085838300,0.000838300,1
'2026-08-22 08:27:31.085838400,0.000838400,0
'2026-08-22 08:27:31.085839400,0.000839400,1
'2026-08-22 08:27:31.085839500,0.000839500,0
'2026-08-22 08:27:31.085840400,0.000840400,1
'2026-08-22 08:27:31.085856000,0.000856000,0
'2026-08-22 08:27:31.085856300,0.000856300,1
'2026-08-22 08:27:31.085856500,0.000856500,0
'2026-08-22 08:27:31.085856900,0.000856900,1
'2026-08-22 08:27:31.085857000,0.000857000,0
'2026-08-22 08:27:31.085857100,0.000857100,1
'2026-08-22 08:27:31.085857800,0.000857800,0
'2026-08-22 08:27:31.085858100,0.000858100,1
'2026-08-22 08:27:31.085858300,0.000858300,0
'2026-08-22 08:27:31.085858500,0.000858500,1
'2026-08-22 08:27:31.085858800,0.000858800,0
'2026-08-22 08:27:31.085859900,0.000859900,1
'2026-08-22 08:27:31.085860000,0.000860000,0
'2026-08-22 08:27:31.085865100,0.000865100,1
'2026-08-22 08:27:31.085865200,0.000865200,0
'2026-08-22 08:27:31.085866300,0.000866300,1
'2026-08-22 08:27:31.085866400,0.000866400,0
'2026-08-22 08:27:31.085866500,0.000866500,1
'2026-08-22 08:27:31.085881600,0.000881600,0
'2026-08-22 08:27:31.085885500,0.000885500,1
'2026-08-22 08:27:31.085885600,0.000885600,0
'2026-08-22 08:27:31.085887300,0.000887300,1
'2026-08-22 08:27:31.085887400,0.000887400,0
'2026-08-22 08:27:31.085887900,0.000887900,1
'2026-08-22 08:27:31.085888000,0.000888000,0
'2026-08-22 08:27:31.085888400,0.000888400,1
'2026-08-22 08:27:31.085888500,0.000888500,0
'2026-08-22 08:27:31.085889000,0.000889000,1
'2026-08-22 08:27:31.085889200,0.000889200,0
'2026-08-22 08:27:31.085890200,0.000890200,1
'2026-08-22 08:27:31.085890300,0.000890300,0
'2026-08-22 08:27:31.085892600,0.000892600,1
'2026-08-22 08:27:31.085908000,0.000908000,0
'2026-08-22 08:27:31.085908100,0.000908100,1
'2026-08-22 08:27:31.085909100,0.000909100,0
'2026-08-22 08:27:31.085909300,0.000909300,1
'2026-08-22 08:27:31.085909800,0.000909800,0
'2026-08-22 08:27:31.085909900,0.000909900,1
'2026-08-22 08:27:31.085910100,0.000910100,0
'2026-08-22 08:27:31.085917100,0.000917100,1
'2026-08-22 08:27:31.085917200,0.000917200,0
'2026-08-22 08:27:31.085917600,0.000917600,1
'2026-08-22 08:27:31.085917700,0.000917700,0
'2026-08-22 08:27:31.085918200,0.000918200,1
'2026-08-22 08:27:31.085918300,0.000918300,0
'2026-08-22 08:27:31.085918600,0.000918600,1
'2026-08-22 08:27:31.085933800,0.000933800,0
'2026-08-22 08:27:31.085935700,0.000935700,1
'2026-08-22 08:27:31.085935800,0.000935800,0
'2026-08-22 08:27:31.085936900,0.000936900,1
'2026-08-22 08:27:31.085937000,0.000937000,0
'2026-08-22 08:27:31.085937500,0.000937500,1
'2026-08-22 08:27:31.085937600,0.000937600,0
'2026-08-22 08:27:31.085938100,0.000938100,1
'2026-08-22 08:27:31.085938200,0.000938200,0
'2026-08-22 08:27:31.085939200,0.000939200,1
'2026-08-22 08:27:31.085939400,0.000939400,0
'2026-08-22 08:27:31.085939800,0.000939800,1
'2026-08-22 08:27:31.085939900,0.000939900,0
'2026-08-22 08:27:31.085944700,0.000944700,1
'2026-08-22 08:27:31.085959800,0.000959800,0
'2026-08-22 08:27:31.085960100,0.000960100,1
'2026-08-22 08:27:31.085960400,0.000960400,0
'2026-08-22 08:27:31.085963700,0.000963700,1
