; CSV, generated by atk_libsigrok4 1.0.0 on 2026-08-22 08:25:37
; Channels (1/16)
; ChannelsType: 1
; Sample rate: 10 MHz
; Sample count: 1.907349 M
; Sampling time: 2026-08-22 08:25:33.800
SystemTime, Time(s), meow
'2026-08-22 08:25:33.800000000,0.000000000,1
'2026-08-22 08:25:33.800001700,0.000001700,0
'2026-08-22 08:25:33.800007000,0.000007000,1
'2026-08-22 08:25:33.800021500,0.000021500,0
'2026-08-22 08:25:33.800033000,0.000033000,1
'2026-08-22 08:25:33.800047600,0.000047600,0
'2026-08-22 08:25:33.800047700,0.000047700,1
'2026-08-22 08:25:33.800047800,0.000047800,0
'2026-08-22 08:25:33.800059100,0.000059100,1
'2026-08-22 08:25:33.800073600,0.000073600,0
'2026-08-22 08:25:33.800085100,0.000085100,1
'2026-08-22 08:25:33.800099900,0.000099900,0
'2026-08-22 08:25:33.800106600,0.000106600,1
'2026-08-22 08:25:33.800106700,0.000106700,0
'2026-08-22 08:25:33.800111100,0.000111100,1
'2026-08-22 08:25:33.800125800,0.000125800,0
'2026-08-22 08:25:33.800137100,0.000137100,1
'2026-08-22 08:25:33.800151900,0.000151900,0
'2026-08-22 08:25:33.800163200,0.000163200,1
'2026-08-22 08:25:33.800178000,0.000178000,0
'2026-08-22 08:25:33.800180800,0.000180800,1
'2026-08-22 08:25:33.800180900,0.000180900,0
'2026-08-22 08:25:33.800189200,0.000189200,1
'2026-08-22 08:25:33.800204000,0.000204000,0
'2026-08-22 08:25:33.800204200,0.000204200,1
'2026-08-22 08:25:33.800204300,0.000204300,0
'2026-08-22 08:25:33.800215200,0.000215200,1
'2026-08-22 08:25:33.800230100,0.000230100,0
'2026-08-22 08:25:33.800230400,0.000230400,1
'2026-08-22 08:25:33.800230500,0.000230500,0
'2026-08-22 08:25:33.800230800,0.000230800,1
'2026-08-22 08:25:33.800230900,0.000230900,0
'2026-08-22 08:25:33.800241200,0.000241200,1
'2026-08-22 08:25:33.800256200,0.000256200,0
'2026-08-22 08:25:33.800260800,0.000260800,1
'2026-08-22 08:25:33.800260900,0.000260900,0
'2026-08-22 08:25:33.800267300,0.000267300,1
'2026-08-22 08:25:33.800282100,0.000282100,0
'2026-08-22 08:25:33.800282300,0.000282300,1
'2026-08-22 08:25:33.800282500,0.000282500,0
'2026-08-22 08:25:33.800283800,0.000283800,1
'2026-08-22 08:25:33.800283900,0.000283900,0
'2026-08-22 08:25:33.800293300,0.000293300,1
'2026-08-22 08:25:33.800308200,0.000308200,0
'2026-08-22 08:25:33.800309800,0.000309800,1
'2026-08-22 08:25:33.800309900,0.000309900,0
'2026-08-22 08:25:33.800319300,0.000319300,1
'2026-08-22 08:25:33.800334000,0.000334000,0
'2026-08-22 08:25:33.800334800,0.000334800,1
'2026-08-22 08:25:33.800334900,0.000334900,0
'2026-08-22 08:25:33.800335300,0.000335300,1
'2026-08-22 08:25:33.800335600,0.000335600,0
'2026-08-22 08:25:33.800335700,0.000335700,1
'2026-08-22 08:25:33.800335800,0.000335800,0
'2026-08-22 08:25:33.800337200,0.000337200,1
'2026-08-22 08:25:33.800337300,0.000337300,0
'2026-08-22 08:25:33.800341300,0.000341300,1
'2026-08-22 08:25:33.800341400,0.000341400,0
'2026-08-22 08:25:33.800344800,0.000344800,1
'2026-08-22 08:25:33.800344900,0.000344900,0
'2026-08-22 08:25:33.800345300,0.000345300,1
'2026-08-22 08:25:33.800360200,0.000360200,0
'2026-08-22 08:25:33.800360500,0.000360500,1
'2026-08-22 08:25:33.800360700,0.000360700,0
'2026-08-22 08:25:33.800362900,0.000362900,1
'2026-08-22 08:25:33.800363000,0.000363000,0
'2026-08-22 08:25:33.800367600,0.000367600,1
'2026-08-22 08:25:33.800367700,0.000367700,0
'2026-08-22 08:25:33.800368100,0.000368100,1
'2026-08-22 08:25:33.800368200,0.000368200,0
'2026-08-22 08:25:33.800370500,0.000370500,1
'2026-08-22 08:25:33.800370600,0.000370600,0
'2026-08-22 08:25:33.800371400,0.000371400,1
'2026-08-22 08:25:33.800386400,0.000386400,0
'2026-08-22 08:25:33.800387400,0.000387400,1
'2026-08-22 08:25:33.800387500,0.000387500,0
'2026-08-22 08:25:33.800388100,0.000388100,1
'2026-08-22 08:25:33.800388200,0.000388200,0
'2026-08-22 08:25:33.800390900,0.000390900,1
'2026-08-22 08:25:33.800391000,0.000391000,0
'2026-08-22 08:25:33.800391200,0.000391200,1
'2026-08-22 08:25:33.800391400,0.000391400,0
'2026-08-22 08:25:33.800391500,0.000391500,1
'2026-08-22 08:25:33.800391600,0.000391600,0
'2026-08-22 08:25:33.800397400,0.000397400,1
'2026-08-22 08:25:33.800412200,0.000412200,0
'2026-08-22 08:25:33.800412300,0.000412300,1
'2026-08-22 08:25:33.800412600,0.000412600,0
'2026-08-22 08:25:33.800413700,0.000413700,1
'2026-08-22 08:25:33.800413800,0.000413800,0
'2026-08-22 08:25:33.800414200,0.000414200,1
'2026-08-22 08:25:33.800414400,0.000414400,0
'2026-08-22 08:25:33.800414600,0.000414600,1
'2026-08-22 08:25:33.800414800,0.000414800,0
'2026-08-22 08:25:33.800417800,0.000417800,1
'2026-08-22 08:25:33.800417900,0.000417900,0
'2026-08-22 08:25:33.800418900,0.000418900,1
'2026-08-22 08:25:33.800419000,0.000419000,0
'2026-08-22 08:25:33.800420100,0.000420100,1
'2026-08-22 08:25:33.800420300,0.000420300,0
'2026-08-22 08:25:33.800420700,0.000420700,1
'2026-08-22 08:25:33.800420800,0.000420800,0
'2026-08-22 08:25:33.800421900,0.000421900,1
'2026-08-22 08:25:33.800422000,0.000422000,0
'2026-08-22 08:25:33.800423400,0.000423400,1
'2026-08-22 08:25:33.800438700,0.000438700,0
'2026-08-22 08:25:33.800438800,0.000438800,1
'2026-08-22 08:25:33.800438900,0.000438900,0
'2026-08-22 08:25:33.800439400,0.000439400,1
'2026-08-22 08:25:33.800439500,0.000439500,0
'2026-08-22 08:25:33.800439900,0.000439900,1
'2026-08-22 08:25:33.800440000,0.000440000,0
'2026-08-22 08:25:33.800441000,0.000441000,1
'2026-08-22 08:25:33.800441200,0.000441200,0
'2026-08-22 08:25:33.800442300,0.000442300,1
'2026-08-22 08:25:33.800442400,0.000442400,0
'2026-08-22 08:25:33.800442900,0.000442900,1
'2026-08-22 08:25:33.800443000,0.000443000,0
'2026-08-22 08:25:33.800443400,0.000443400,1
'2026-08-22 08:25:33.800443600,0.000443600,0
'2026-08-22 08:25:33.800444600,0.000444600,1
'2026-08-22 08:25:33.800444700,0.000444700,0
'2026-08-22 08:25:33.800445100,0.000445100,1
'2026-08-22 08:25:33.800445400,0.000445400,0
'2026-08-22 08:25:33.800447500,0.000447500,1
'2026-08-22 08:25:33.800447600,0.000447600,0
'2026-08-22 08:25:33.800448700,0.000448700,1
'2026-08-22 08:25:33.800448800,0.000448800,0
'2026-08-22 08:25:33.800449400,0.000449400,1
'2026-08-22 08:25:33.800464800,0.000464800,0
'2026-08-22 08:25:33.800464900,0.000464900,1
'2026-08-22 08:25:33.800465200,0.000465200,0
'2026-08-22 08:25:33.800465600,0.000465600,1
'2026-08-22 08:25:33.800465700,0.000465700,0
'2026-08-22 08:25:33.800466800,0.000466800,1
'2026-08-22 08:25:33.800466900,0.000466900,0
'2026-08-22 08:25:33.800467400,0.000467400,1
'2026-08-22 08:25:33.800467500,0.000467500,0
'2026-08-22 08:25:33.800467800,0.000467800,1
'2026-08-22 08:25:33.800468100,0.000468100,0
