; CSV, generated by atk_libsigrok4 1.0.0 on 2026-08-22 08:39:05
; Channels (1/16)
; ChannelsType: 1
; Sample rate: 10 MHz
; Sample count: 1.907349 M
; Sampling time: 2026-08-22 08:39:00.124
SystemTime, Time(s), meow
'2026-08-22 08:39:00.124000000,0.000000000,1
'2026-08-22 08:39:00.124002000,0.000002000,0
'2026-08-22 08:39:00.124007700,0.000007700,1
'2026-08-22 08:39:00.124021900,0.000021900,0
'2026-08-22 08:39:00.124033700,0.000033700,1
'2026-08-22 08:39:00.124048000,0.000048000,0
'2026-08-22 08:39:00.124059700,0.000059700,1
'2026-08-22 08:39:00.124074000,0.000074000,0
'2026-08-22 08:39:00.124085800,0.000085800,1
'2026-08-22 08:39:00.124100100,0.000100100,0
'2026-08-22 08:39:00.124111800,0.000111800,1
'2026-08-22 08:39:00.124126000,0.000126000,0
'2026-08-22 08:39:00.124137800,0.000137800,1
'2026-08-22 08:39:00.124152100,0.000152100,0
'2026-08-22 08:39:00.124163900,0.000163900,1
'2026-08-22 08:39:00.124178200,0.000178200,0
'2026-08-22 08:39:00.124189900,0.000189900,1
'2026-08-22 08:39:00.124204200,0.000204200,0
'2026-08-22 08:39:00.124215900,0.000215900,1
'2026-08-22 08:39:00.124230400,0.000230400,0
'2026-08-22 08:39:00.124237700,0.000237700,1
'2026-08-22 08:39:00.124237800,0.000237800,0
'2026-08-22 08:39:00.124242000,0.000242000,1
'2026-08-22 08:39:00.124256300,0.000256300,0
'2026-08-22 08:39:00.124268000,0.000268000,1
'2026-08-22 08:39:00.124282300,0.000282300,0
'2026-08-22 08:39:00.124294000,0.000294000,1
'2026-08-22 08:39:00.124308400,0.000308400,0
'2026-08-22 08:39:00.124320100,0.000320100,1
'2026-08-22 08:39:00.124334400,0.000334400,0
'2026-08-22 08:39:00.124334500,0.000334500,1
'2026-08-22 08:39:00.124334600,0.000334600,0
'2026-08-22 08:39:00.124340300,0.000340300,1
'2026-08-22 08:39:00.124340400,0.000340400,0
'2026-08-22 08:39:00.124346100,0.000346100,1
'2026-08-22 08:39:00.124360400,0.000360400,0
'2026-08-22 08:39:00.124365300,0.000365300,1
'2026-08-22 08:39:00.124365400,0.000365400,0
'2026-08-22 08:39:00.124372100,0.000372100,1
'2026-08-22 08:39:00.124386600,0.000386600,0
'2026-08-22 08:39:00.124398200,0.000398200,1
'2026-08-22 08:39:00.124412400,0.000412400,0
'2026-08-22 08:39:00.124412500,0.000412500,1
'2026-08-22 08:39:00.124412700,0.000412700,0
'2026-08-22 08:39:00.124424200,0.000424200,1
'2026-08-22 08:39:00.124438500,0.000438500,0
'2026-08-22 08:39:00.124450200,0.000450200,1
'2026-08-22 08:39:00.124464800,0.000464800,0
'2026-08-22 08:39:00.124465200,0.000465200,1
'2026-08-22 08:39:00.124465400,0.000465400,0
'2026-08-22 08:39:00.124476300,0.000476300,1
'2026-08-22 08:39:00.124490500,0.000490500,0
'2026-08-22 08:39:00.124490700,0.000490700,1
'2026-08-22 08:39:00.124490800,0.000490800,0
'2026-08-22 08:39:00.124502300,0.000502300,1
'2026-08-22 08:39:00.124516800,0.000516800,0
'2026-08-22 08:39:00.124517100,0.000517100,1
'2026-08-22 08:39:00.124517200,0.000517200,0
'2026-08-22 08:39:00.124528300,0.000528300,1
'2026-08-22 08:39:00.124542600,0.000542600,0
'2026-08-22 08:39:00.124542800,0.000542800,1
'2026-08-22 08:39:00.124542900,0.000542900,0
'2026-08-22 08:39:00.124545700,0.000545700,1
'2026-08-22 08:39:00.124545800,0.000545800,0
'2026-08-22 08:39:00.124546900,0.000546900,1
'2026-08-22 08:39:00.124547000,0.000547000,0
'2026-08-22 08:39:00.124554300,0.000554300,1
'2026-08-22 08:39:00.124568600,0.000568600,0
'2026-08-22 08:39:00.124575500,0.000575500,1
'2026-08-22 08:39:00.124575600,0.000575600,0
'2026-08-22 08:39:00.124577800,0.000577800,1
'2026-08-22 08:39:00.124577900,0.000577900,0
'2026-08-22 08:39:00.124580400,0.000580400,1
'2026-08-22 08:39:00.124594800,0.000594800,0
'2026-08-22 08:39:00.124594900,0.000594900,1
'2026-08-22 08:39:00.124595000,0.000595000,0
'2026-08-22 08:39:00.124595300,0.000595300,1
'2026-08-22 08:39:00.124595400,0.000595400,0
'2026-08-22 08:39:00.124604200,0.000604200,1
'2026-08-22 08:39:00.124604300,0.000604300,0
'2026-08-22 08:39:00.124606400,0.000606400,1
'2026-08-22 08:39:00.124620800,0.000620800,0
'2026-08-22 08:39:00.124621100,0.000621100,1
'2026-08-22 08:39:00.124621200,0.000621200,0
'2026-08-22 08:39:00.124625700,0.000625700,1
'2026-08-22 08:39:00.124625800,0.000625800,0
'2026-08-22 08:39:00.124632400,0.000632400,1
'2026-08-22 08:39:00.124647000,0.000647000,0
'2026-08-22 08:39:00.124658500,0.000658500,1
'2026-08-22 08:39:00.124672800,0.000672800,0
'2026-08-22 08:39:00.124672900,0.000672900,1
'2026-08-22 08:39:00.124673100,0.000673100,0
'2026-08-22 08:39:00.124674600,0.000674600,1
'2026-08-22 08:39:00.124674700,0.000674700,0
'2026-08-22 08:39:00.124684100,0.000684100,1
'2026-08-22 08:39:00.124684200,0.000684200,0
'2026-08-22 08:39:00.124684500,0.000684500,1
'2026-08-22 08:39:00.124699000,0.000699000,0
'2026-08-22 08:39:00.124709800,0.000709800,1
'2026-08-22 08:39:00.124709900,0.000709900,0
'2026-08-22 08:39:00.124710500,0.000710500,1
'2026-08-22 08:39:00.124725200,0.000725200,0
'2026-08-22 08:39:00.124725600,0.000725600,1
'2026-08-22 08:39:00.124725700,0.000725700,0
'2026-08-22 08:39:00.124726100,0.000726100,1
'2026-08-22 08:39:00.124726200,0.000726200,0
'2026-08-22 08:39:00.124727400,0.000727400,1
'2026-08-22 08:39:00.124727500,0.000727500,0
'2026-08-22 08:39:00.124736600,0.000736600,1
'2026-08-22 08:39:00.124751000,0.000751000,0
'2026-08-22 08:39:00.124751300,0.000751300,1
'2026-08-22 08:39:00.124751400,0.000751400,0
'2026-08-22 08:39:00.124762600,0.000762600,1
'2026-08-22 08:39:00.124777100,0.000777100,0
'2026-08-22 08:39:00.124784500,0.000784500,1
'2026-08-22 08:39:00.124784600,0.000784600,0
'2026-08-22 08:39:00.124788600,0.000788600,1
'2026-08-22 08:39:00.124803000,0.000803000,0
'2026-08-22 08:39:00.124803200,0.000803200,1
'2026-08-22 08:39:00.124803300,0.000803300,0
'2026-08-22 08:39:00.124813700,0.000813700,1
'2026-08-22 08:39:00.124813800,0.000813800,0
'2026-08-22 08:39:00.124814700,0.000814700,1
'2026-08-22 08:39:00.124829200,0.000829200,0
'2026-08-22 08:39:00.124834700,0.000834700,1
'2026-08-22 08:39:00.124834900,0.000834900,0
'2026-08-22 08:39:00.124836100,0.000836100,1
'2026-08-22 08:39:00.124836200,0.000836200,0
'2026-08-22 08:39:00.124840700,0.000840700,1
'2026-08-22 08:39:00.124855300,0.000855300,0
'2026-08-22 08:39:00.124855700,0.000855700,1
'2026-08-22 08:39:00.124855800,0.000855800,0
'2026-08-22 08:39:00.124856300,0.000856300,1
'2026-08-22 08:39:00.124856400,0.000856400,0
'2026-08-22 08:39:00.124865200,0.000865200,1
'2026-08-22 08:39:00.124865300,0.000865300,0
'2026-08-22 08:39:00.124865600,0.000865600,1
'2026-08-22 08:39:00.124865700,0.000865700,0
'2026-08-22 08:39:00.124866700,0.000866700,1
'2026-08-22 08:39:00.124881100,0.000881100,0
'2026-08-22 08:39:00.124886300,0.000886300,1
'2026-08-22 08:39:00.124886400,0.000886400,0
'2026-08-22 08:39:00.124887800,0.000887800,1
'2026-08-22 08:39:00.124887900,0.000887900,0
'2026-08-22 08:39:00.124890300,0.000890300,1
'2026-08-22 08:39:00.124890400,0.000890400,0
'2026-08-22 08:39:00.124892800,0.000892800,1
'2026-08-22 08:39:00.124907300,0.000907300,0
'2026-08-22 08:39:00.124907500,0.000907500,1
'2026-08-22 08:39:00.124907600,0.000907600,0
'2026-08-22 08:39:00.124907700,0.000907700,1
'2026-08-22 08:39:00.124907800,0.000907800,0
'2026-08-22 08:39:00.124915300,0.000915300,1
'2026-08-22 08:39:00.124915400,0.000915400,0
'2026-08-22 08:39:00.124916400,0.000916400,1
'2026-08-22 08:39:00.124916500,0.000916500,0
'2026-08-22 08:39:00.124917500,0.000917500,1
'2026-08-22 08:39:00.124917600,0.000917600,0
'2026-08-22 08:39:00.124918800,0.000918800,1
'2026-08-22 08:39:00.124933200,0.000933200,0
'2026-08-22 08:39:00.124935700,0.000935700,1
'2026-08-22 08:39:00.124935800,0.000935800,0
'2026-08-22 08:39:00.124936300,0.000936300,1
'2026-08-22 08:39:00.124936400,0.000936400,0
'2026-08-22 08:39:00.124944800,0.000944800,1
'2026-08-22 08:39:00.124959400,0.000959400,0
'2026-08-22 08:39:00.124970800,0.000970800,1
'2026-08-22 08:39:00.124985400,0.000985400,0
'2026-08-22 08:39:00.124986100,0.000986100,1
'2026-08-22 08:39:00.124986200,0.000986200,0
'2026-08-22 08:39:00.124986600,0.000986600,1
'2026-08-22 08:39:00.124986700,0.000986700,0
'2026-08-22 08:39:00.124996900,0.000996900,1
'2026-08-22 08:39:00.125011200,0.001011200,0
'2026-08-22 08:39:00.125013300,0.001013300,1
'2026-08-22 08:39:00.125013400,0.001013400,0
'2026-08-22 08:39:00.125022900,0.001022900,1
'2026-08-22 08:39:00.125037500,0.001037500,0
'2026-08-22 08:39:00.125037900,0.001037900,1
'2026-08-22 08:39:00.125038000,0.001038000,0
'2026-08-22 08:39:00.125048900,0.001048900,1
'2026-08-22 08:39:00.125063300,0.001063300,0
'2026-08-22 08:39:00.125066500,0.001066500,1
'2026-08-22 08:39:00.125066600,0.001066600,0
'2026-08-22 08:39:00.125075000,0.001075000,1
'2026-08-22 08:39:00.125089400,0.001089400,0
