; CSV, generated by atk_libsigrok4 1.0.0 on 2026-08-22 08:28:20
; Channels (1/16)
; ChannelsType: 1
; Sample rate: 10 MHz
; Sample count: 1.907349 M
; Sampling time: 2026-08-22 08:28:16.563
SystemTime, Time(s), meow
'2026-08-22 08:28:16.563000000,0.000000000,1
'2026-08-22 08:28:16.563002000,0.000002000,0
'2026-08-22 08:28:16.563007500,0.000007500,1
'2026-08-22 08:28:16.563021900,0.000021900,0
'2026-08-22 08:28:16.563033600,0.000033600,1
'2026-08-22 08:28:16.563048100,0.000048100,0
'2026-08-22 08:28:16.563059700,0.000059700,1
'2026-08-22 08:28:16.563074200,0.000074200,0
'2026-08-22 08:28:16.563085800,0.000085800,1
'2026-08-22 08:28:16.563100300,0.000100300,0
'2026-08-22 08:28:16.563111800,0.000111800,1
'2026-08-22 08:28:16.563126400,0.000126400,0
'2026-08-22 08:28:16.563126700,0.000126700,1
'2026-08-22 08:28:16.563126800,0.000126800,0
'2026-08-22 08:28:16.563137900,0.000137900,1
'2026-08-22 08:28:16.563152300,0.000152300,0
'2026-08-22 08:28:16.563152400,0.000152400,1
'2026-08-22 08:28:16.563152500,0.000152500,0
'2026-08-22 08:28:16.563164000,0.000164000,1
'2026-08-22 08:28:16.563178500,0.000178500,0
'2026-08-22 08:28:16.563178600,0.000178600,1
'2026-08-22 08:28:16.563178700,0.000178700,0
'2026-08-22 08:28:16.563190100,0.000190100,1
'2026-08-22 08:28:16.563204600,0.000204600,0
'2026-08-22 08:28:16.563216100,0.000216100,1
'2026-08-22 08:28:16.563230700,0.000230700,0
'2026-08-22 08:28:16.563242200,0.000242200,1
'2026-08-22 08:28:16.563256800,0.000256800,0
'2026-08-22 08:28:16.563256900,0.000256900,1
'2026-08-22 08:28:16.563257000,0.000257000,0
'2026-08-22 08:28:16.563268300,0.000268300,1
'2026-08-22 08:28:16.563282800,0.000282800,0
'2026-08-22 08:28:16.563294300,0.000294300,1
'2026-08-22 08:28:16.563309000,0.000309000,0
'2026-08-22 08:28:16.563320400,0.000320400,1
'2026-08-22 08:28:16.563334900,0.000334900,0
'2026-08-22 08:28:16.563346500,0.000346500,1
'2026-08-22 08:28:16.563361100,0.000361100,0
'2026-08-22 08:28:16.563372600,0.000372600,1
'2026-08-22 08:28:16.563387100,0.000387100,0
'2026-08-22 08:28:16.563387200,0.000387200,1
'2026-08-22 08:28:16.563387300,0.000387300,0
'2026-08-22 08:28:16.563398600,0.000398600,1
'2026-08-22 08:28:16.563413000,0.000413000,0
'2026-08-22 08:28:16.563424700,0.000424700,1
'2026-08-22 08:28:16.563439400,0.000439400,0
'2026-08-22 08:28:16.563444800,0.000444800,1
'2026-08-22 08:28:16.563444900,0.000444900,0
'2026-08-22 08:28:16.563450800,0.000450800,1
'2026-08-22 08:28:16.563465200,0.000465200,0
'2026-08-22 08:28:16.563476800,0.000476800,1
'2026-08-22 08:28:16.563491400,0.000491400,0
'2026-08-22 08:28:16.563502900,0.000502900,1
'2026-08-22 08:28:16.563517600,0.000517600,0
'2026-08-22 08:28:16.563529000,0.000529000,1
'2026-08-22 08:28:16.563543400,0.000543400,0
'2026-08-22 08:28:16.563555100,0.000555100,1
'2026-08-22 08:28:16.563569800,0.000569800,0
'2026-08-22 08:28:16.563581100,0.000581100,1
'2026-08-22 08:28:16.563595500,0.000595500,0
'2026-08-22 08:28:16.563607200,0.000607200,1
'2026-08-22 08:28:16.563621900,0.000621900,0
'2026-08-22 08:28:16.563633200,0.000633200,1
'2026-08-22 08:28:16.563647800,0.000647800,0
'2026-08-22 08:28:16.563659300,0.000659300,1
'2026-08-22 08:28:16.563673800,0.000673800,0
'2026-08-22 08:28:16.563685400,0.000685400,1
'2026-08-22 08:28:16.563700000,0.000700000,0
'2026-08-22 08:28:16.563711500,0.000711500,1
'2026-08-22 08:28:16.563725800,0.000725800,0
'2026-08-22 08:28:16.563725900,0.000725900,1
'2026-08-22 08:28:16.563726000,0.000726000,0
'2026-08-22 08:28:16.563737500,0.000737500,1
'2026-08-22 08:28:16.563752300,0.000752300,0
'2026-08-22 08:28:16.563763600,0.000763600,1
'2026-08-22 08:28:16.563778000,0.000778000,0
'2026-08-22 08:28:16.563778100,0.000778100,1
'2026-08-22 08:28:16.563778200,0.000778200,0
'2026-08-22 08:28:16.563778400,0.000778400,1
'2026-08-22 08:28:16.563778500,0.000778500,0
'2026-08-22 08:28:16.563789700,0.000789700,1
'2026-08-22 08:28:16.563804200,0.000804200,0
'2026-08-22 08:28:16.563815800,0.000815800,1
'2026-08-22 08:28:16.563830300,0.000830300,0
'2026-08-22 08:28:16.563841800,0.000841800,1
'2026-08-22 08:28:16.563856300,0.000856300,0
'2026-08-22 08:28:16.563867900,0.000867900,1
'2026-08-22 08:28:16.563882600,0.000882600,0
'2026-08-22 08:28:16.563893900,0.000893900,1
'2026-08-22 08:28:16.563908400,0.000908400,0
'2026-08-22 08:28:16.563920000,0.000920000,1
'2026-08-22 08:28:16.563934600,0.000934600,0
'2026-08-22 08:28:16.563946100,0.000946100,1
'2026-08-22 08:28:16.563960800,0.000960800,0
'2026-08-22 08:28:16.563972100,0.000972100,1
'2026-08-22 08:28:16.563986700,0.000986700,0
'2026-08-22 08:28:16.563998200,0.000998200,1
'2026-08-22 08:28:16.564012900,0.001012900,0
'2026-08-22 08:28:16.564024300,0.001024300,1
'2026-08-22 08:28:16.564038800,0.001038800,0
'2026-08-22 08:28:16.564038900,0.001038900,1
'2026-08-22 08:28:16.564039000,0.001039000,0
'2026-08-22 08:28:16.564050300,0.001050300,1
'2026-08-22 08:28:16.564065000,0.001065000,0
'2026-08-22 08:28:16.564076400,0.001076400,1
'2026-08-22 08:28:16.564091000,0.001091000,0
'2026-08-22 08:28:16.564102500,0.001102500,1
'2026-08-22 08:28:16.564117000,0.001117000,0
'2026-08-22 08:28:16.564128600,0.001128600,1
'2026-08-22 08:28:16.564143300,0.001143300,0
'2026-08-22 08:28:16.564143500,0.001143500,1
'2026-08-22 08:28:16.564143600,0.001143600,0
'2026-08-22 08:28:16.564154600,0.001154600,1
'2026-08-22 08:28:16.564169200,0.001169200,0
'2026-08-22 08:28:16.564175500,0.001175500,1
'2026-08-22 08:28:16.564175600,0.001175600,0
'2026-08-22 08:28:16.564180700,0.001180700,1
'2026-08-22 08:28:16.564195200,0.001195200,0
'2026-08-22 08:28:16.564195300,0.001195300,1
'2026-08-22 08:28:16.564195400,0.001195400,0
'2026-08-22 08:28:16.564206800,0.001206800,1
'2026-08-22 08:28:16.564221700,0.001221700,0
'2026-08-22 08:28:16.564232800,0.001232800,1
'2026-08-22 08:28:16.564247400,0.001247400,0
'2026-08-22 08:28:16.564255000,0.001255000,1
'2026-08-22 08:28:16.564255100,0.001255100,0
'2026-08-22 08:28:16.564258900,0.001258900,1
'2026-08-22 08:28:16.564273600,0.001273600,0
'2026-08-22 08:28:16.564285000,0.001285000,1
'2026-08-22 08:28:16.564299400,0.001299400,0
'2026-08-22 08:28:16.564311000,0.001311000,1
'2026-08-22 08:28:16.564325800,0.001325800,0
'2026-08-22 08:28:16.564326200,0.001326200,1
'2026-08-22 08:28:16.564326300,0.001326300,0
'2026-08-22 08:28:16.564337100,0.001337100,1
'2026-08-22 08:28:16.564351600,0.001351600,0
'2026-08-22 08:28:16.564363200,0.001363200,1
'2026-08-22 08:28:16.564377700,0.001377700,0
'2026-08-22 08:28:16.564389200,0.001389200,1
'2026-08-22 08:28:16.564403800,0.001403800,0
'2026-08-22 08:28:16.564403900,0.001403900,1
'2026-08-22 08:28:16.564404000,0.001404000,0
'2026-08-22 08:28:16.564415300,0.001415300,1
'2026-08-22 08:28:16.564429800,0.001429800,0
'2026-08-22 08:28:16.564441400,0.001441400,1
'2026-08-22 08:28:16.564456000,0.001456000,0
'2026-08-22 08:28:16.564467500,0.001467500,1
'2026-08-22 08:28:16.564482300,0.001482300,0
'2026-08-22 08:28:16.564493500,0.001493500,1
'2026-08-22 08:28:16.564508000,0.001508000,0
'2026-08-22 08:28:16.564519600,0.001519600,1
'2026-08-22 08:28:16.564534200,0.001534200,0
'2026-08-22 08:28:16.564545700,0.001545700,1
'2026-08-22 08:28:16.564560200,0.001560200,0
'2026-08-22 08:28:16.564560400,0.001560400,1
'2026-08-22 08:28:16.564560500,0.001560500,0
'2026-08-22 08:28:16.564571700,0.001571700,1
'2026-08-22 08:28:16.564586400,0.001586400,0
'2026-08-22 08:28:16.564597800,0.001597800,1
'2026-08-22 08:28:16.564612600,0.001612600,0
'2026-08-22 08:28:16.564623900,0.001623900,1
'2026-08-22 08:28:16.564638500,0.001638500,0
'2026-08-22 08:28:16.564638600,0.001638600,1
'2026-08-22 08:28:16.564638700,0.001638700,0
'2026-08-22 08:28:16.564650000,0.001650000,1
'2026-08-22 08:28:16.564664600,0.001664600,0
'2026-08-22 08:28:16.564676000,0.001676000,1
'2026-08-22 08:28:16.564690700,0.001690700,0
'2026-08-22 08:28:16.564702100,0.001702100,1
'2026-08-22 08:28:16.564716800,0.001716800,0
'2026-08-22 08:28:16.564716900,0.001716900,1
'2026-08-22 08:28:16.564717000,0.001717000,0
'2026-08-22 08:28:16.564728200,0.001728200,1
'2026-08-22 08:28:16.564742900,0.001742900,0
'2026-08-22 08:28:16.564754200,0.001754200,1
'2026-08-22 08:28:16.564768800,0.001768800,0
'2026-08-22 08:28:16.564768900,0.001768900,1
'2026-08-22 08:28:16.564769000,0.001769000,0
'2026-08-22 08:28:16.564780300,0.001780300,1
'2026-08-22 08:28:16.564794900,0.001794900,0
'2026-08-22 08:28:16.564806400,0.001806400,1
'2026-08-22 08:28:16.564821000,0.001821000,0
'2026-08-22 08:28:16.564832400,0.001832400,1
'2026-08-22 08:28:16.564847300,0.001847300,0
'2026-08-22 08:28:16.564850100,0.001850100,1
'2026-08-22 08:28:16.564851000,0.001851000,0
'2026-08-22 08:28:16.564852500,0.001852500,1
'2026-08-22 08:28:16.564852600,0.001852600,0
'2026-08-22 08:28:16.564852700,0.001852700,1
'2026-08-22 08:28:16.564853200,0.001853200,0
'2026-08-22 08:28:16.564854700,0.001854700,1
'2026-08-22 08:28:16.564855200,0.001855200,0
'2026-08-22 08:28:16.564858500,0.001858500,1
'2026-08-22 08:28:16.564873200,0.001873200,0
'2026-08-22 08:28:16.564873300,0.001873300,1
'2026-08-22 08:28:16.564873400,0.001873400,0
'2026-08-22 08:28:16.564874100,0.001874100,1
'2026-08-22 08:28:16.564874200,0.001874200,0
'2026-08-22 08:28:16.564882400,0.001882400,1
'2026-08-22 08:28:16.564882500,0.001882500,0
'2026-08-22 08:28:16.564884600,0.001884600,1
'2026-08-22 08:28:16.564899300,0.001899300,0
