; CSV, generated by atk_libsigrok4 1.0.0 on 2026-08-22 08:26:32
; Channels (1/16)
; ChannelsType: 1
; Sample rate: 10 MHz
; Sample count: 1.907349 M
; Sampling time: 2026-08-22 08:26:28.562
SystemTime, Time(s), meow
'2026-08-22 08:26:28.562000000,0.000000000,1
'2026-08-22 08:26:28.562002100,0.000002100,0
'2026-08-22 08:26:28.562005600,0.000005600,1
'2026-08-22 08:26:28.562005700,0.000005700,0
'2026-08-22 08:26:28.562007600,0.000007600,1
'2026-08-22 08:26:28.562022000,0.000022000,0
'2026-08-22 08:26:28.562033700,0.000033700,1
'2026-08-22 08:26:28.562048300,0.000048300,0
'2026-08-22 08:26:28.562050900,0.000050900,1
'2026-08-22 08:26:28.562051000,0.000051000,0
'2026-08-22 08:26:28.562059700,0.000059700,1
'2026-08-22 08:26:28.562074200,0.000074200,0
'2026-08-22 08:26:28.562085800,0.000085800,1
'2026-08-22 08:26:28.562100600,0.000100600,0
'2026-08-22 08:26:28.562111900,0.000111900,1
'2026-08-22 08:26:28.562126600,0.000126600,0
'2026-08-22 08:26:28.562127400,0.000127400,1
'2026-08-22 08:26:28.562127500,0.000127500,0
'2026-08-22 08:26:28.562138000,0.000138000,1
'2026-08-22 08:26:28.562152500,0.000152500,0
'2026-08-22 08:26:28.562152600,0.000152600,1
'2026-08-22 08:26:28.562152700,0.000152700,0
'2026-08-22 08:26:28.562164000,0.000164000,1
'2026-08-22 08:26:28.562179000,0.000179000,0
'2026-08-22 08:26:28.562189300,0.000189300,1
'2026-08-22 08:26:28.562189400,0.000189400,0
'2026-08-22 08:26:28.562190100,0.000190100,1
'2026-08-22 08:26:28.562204800,0.000204800,0
'2026-08-22 08:26:28.562216200,0.000216200,1
'2026-08-22 08:26:28.562231500,0.000231500,0
'2026-08-22 08:26:28.562242300,0.000242300,1
'2026-08-22 08:26:28.562256800,0.000256800,0
'2026-08-22 08:26:28.562259500,0.000259500,1
'2026-08-22 08:26:28.562259600,0.000259600,0
'2026-08-22 08:26:28.562260400,0.000260400,1
'2026-08-22 08:26:28.562260500,0.000260500,0
'2026-08-22 08:26:28.562268300,0.000268300,1
'2026-08-22 08:26:28.562283500,0.000283500,0
'2026-08-22 08:26:28.562294400,0.000294400,1
'2026-08-22 08:26:28.562309000,0.000309000,0
'2026-08-22 08:26:28.562309100,0.000309100,1
'2026-08-22 08:26:28.562309200,0.000309200,0
'2026-08-22 08:26:28.562311100,0.000311100,1
'2026-08-22 08:26:28.562311200,0.000311200,0
'2026-08-22 08:26:28.562311500,0.000311500,1
'2026-08-22 08:26:28.562311600,0.000311600,0
'2026-08-22 08:26:28.562312000,0.000312000,1
'2026-08-22 08:26:28.562312100,0.000312100,0
'2026-08-22 08:26:28.562320500,0.000320500,1
'2026-08-22 08:26:28.562335200,0.000335200,0
'2026-08-22 08:26:28.562335400,0.000335400,1
'2026-08-22 08:26:28.562335500,0.000335500,0
'2026-08-22 08:26:28.562336000,0.000336000,1
'2026-08-22 08:26:28.562336100,0.000336100,0
'2026-08-22 08:26:28.562346500,0.000346500,1
'2026-08-22 08:26:28.562361400,0.000361400,0
'2026-08-22 08:26:28.562363500,0.000363500,1
'2026-08-22 08:26:28.562363600,0.000363600,0
'2026-08-22 08:26:28.562368100,0.000368100,1
'2026-08-22 08:26:28.562368200,0.000368200,0
'2026-08-22 08:26:28.562372600,0.000372600,1
'2026-08-22 08:26:28.562387500,0.000387500,0
'2026-08-22 08:26:28.562389700,0.000389700,1
'2026-08-22 08:26:28.562389800,0.000389800,0
'2026-08-22 08:26:28.562390300,0.000390300,1
'2026-08-22 08:26:28.562390400,0.000390400,0
'2026-08-22 08:26:28.562396200,0.000396200,1
'2026-08-22 08:26:28.562396300,0.000396300,0
'2026-08-22 08:26:28.562397500,0.000397500,1
'2026-08-22 08:26:28.562397600,0.000397600,0
'2026-08-22 08:26:28.562398700,0.000398700,1
'2026-08-22 08:26:28.562413400,0.000413400,0
'2026-08-22 08:26:28.562413700,0.000413700,1
'2026-08-22 08:26:28.562413800,0.000413800,0
'2026-08-22 08:26:28.562418300,0.000418300,1
'2026-08-22 08:26:28.562418400,0.000418400,0
'2026-08-22 08:26:28.562420700,0.000420700,1
'2026-08-22 08:26:28.562420800,0.000420800,0
'2026-08-22 08:26:28.562421300,0.000421300,1
'2026-08-22 08:26:28.562421400,0.000421400,0
'2026-08-22 08:26:28.562421900,0.000421900,1
'2026-08-22 08:26:28.562422000,0.000422000,0
'2026-08-22 08:26:28.562422400,0.000422400,1
'2026-08-22 08:26:28.562422500,0.000422500,0
'2026-08-22 08:26:28.562424800,0.000424800,1
'2026-08-22 08:26:28.562439300,0.000439300,0
'2026-08-22 08:26:28.562439400,0.000439400,1
'2026-08-22 08:26:28.562439600,0.000439600,0
'2026-08-22 08:26:28.562439900,0.000439900,1
'2026-08-22 08:26:28.562440100,0.000440100,0
'2026-08-22 08:26:28.562441100,0.000441100,1
'2026-08-22 08:26:28.562441200,0.000441200,0
'2026-08-22 08:26:28.562442300,0.000442300,1
'2026-08-22 08:26:28.562442400,0.000442400,0
'2026-08-22 08:26:28.562450700,0.000450700,1
'2026-08-22 08:26:28.562465400,0.000465400,0
'2026-08-22 08:26:28.562465600,0.000465600,1
'2026-08-22 08:26:28.562465800,0.000465800,0
'2026-08-22 08:26:28.562468500,0.000468500,1
'2026-08-22 08:26:28.562468600,0.000468600,0
'2026-08-22 08:26:28.562472700,0.000472700,1
'2026-08-22 08:26:28.562472800,0.000472800,0
'2026-08-22 08:26:28.562476900,0.000476900,1
'2026-08-22 08:26:28.562492200,0.000492200,0
'2026-08-22 08:26:28.562492500,0.000492500,1
'2026-08-22 08:26:28.562492600,0.000492600,0
'2026-08-22 08:26:28.562494200,0.000494200,1
'2026-08-22 08:26:28.562494300,0.000494300,0
'2026-08-22 08:26:28.562499500,0.000499500,1
'2026-08-22 08:26:28.562499600,0.000499600,0
'2026-08-22 08:26:28.562501800,0.000501800,1
'2026-08-22 08:26:28.562502000,0.000502000,0
'2026-08-22 08:26:28.562503000,0.000503000,1
'2026-08-22 08:26:28.562517800,0.000517800,0
'2026-08-22 08:26:28.562517900,0.000517900,1
'2026-08-22 08:26:28.562518000,0.000518000,0
'2026-08-22 08:26:28.562518100,0.000518100,1
'2026-08-22 08:26:28.562518300,0.000518300,0
'2026-08-22 08:26:28.562519900,0.000519900,1
'2026-08-22 08:26:28.562520000,0.000520000,0
'2026-08-22 08:26:28.562520500,0.000520500,1
'2026-08-22 08:26:28.562520600,0.000520600,0
'2026-08-22 08:26:28.562521100,0.000521100,1
'2026-08-22 08:26:28.562521200,0.000521200,0
'2026-08-22 08:26:28.562521700,0.000521700,1
'2026-08-22 08:26:28.562521800,0.000521800,0
'2026-08-22 08:26:28.562522200,0.000522200,1
'2026-08-22 08:26:28.562522400,0.000522400,0
'2026-08-22 08:26:28.562529100,0.000529100,1
'2026-08-22 08:26:28.562544200,0.000544200,0
'2026-08-22 08:26:28.562544500,0.000544500,1
'2026-08-22 08:26:28.562544600,0.000544600,0
'2026-08-22 08:26:28.562548000,0.000548000,1
'2026-08-22 08:26:28.562548100,0.000548100,0
'2026-08-22 08:26:28.562549900,0.000549900,1
'2026-08-22 08:26:28.562550000,0.000550000,0
'2026-08-22 08:26:28.562552100,0.000552100,1
'2026-08-22 08:26:28.562552200,0.000552200,0
'2026-08-22 08:26:28.562555100,0.000555100,1
'2026-08-22 08:26:28.562570300,0.000570300,0
'2026-08-22 08:26:28.562570700,0.000570700,1
'2026-08-22 08:26:28.562570900,0.000570900,0
'2026-08-22 08:26:28.562571300,0.000571300,1
'2026-08-22 08:26:28.562571400,0.000571400,0
'2026-08-22 08:26:28.562571900,0.000571900,1
'2026-08-22 08:26:28.562572000,0.000572000,0
'2026-08-22 08:26:28.562572500,0.000572500,1
'2026-08-22 08:26:28.562572600,0.000572600,0
'2026-08-22 08:26:28.562573300,0.000573300,1
'2026-08-22 08:26:28.562573400,0.000573400,0
'2026-08-22 08:26:28.562574200,0.000574200,1
'2026-08-22 08:26:28.562574300,0.000574300,0
'2026-08-22 08:26:28.562574700,0.000574700,1
'2026-08-22 08:26:28.562574800,0.000574800,0
'2026-08-22 08:26:28.562576000,0.000576000,1
'2026-08-22 08:26:28.562576100,0.000576100,0
'2026-08-22 08:26:28.562579100,0.000579100,1
'2026-08-22 08:26:28.562579200,0.000579200,0
'2026-08-22 08:26:28.562580100,0.000580100,1
'2026-08-22 08:26:28.562580200,0.000580200,0
'2026-08-22 08:26:28.562580700,0.000580700,1
'2026-08-22 08:26:28.562580800,0.000580800,0
'2026-08-22 08:26:28.562581200,0.000581200,1
'2026-08-22 08:26:28.562596000,0.000596000,0
'2026-08-22 08:26:28.562599900,0.000599900,1
'2026-08-22 08:26:28.562600000,0.000600000,0
'2026-08-22 08:26:28.562600200,0.000600200,1
'2026-08-22 08:26:28.562600300,0.000600300,0
'2026-08-22 08:26:28.562601100,0.000601100,1
'2026-08-22 08:26:28.562601200,0.000601200,0
'2026-08-22 08:26:28.562601500,0.000601500,1
'2026-08-22 08:26:28.562602000,0.000602000,0
'2026-08-22 08:26:28.562602100,0.000602100,1
'2026-08-22 08:26:28.562602800,0.000602800,0
'2026-08-22 08:26:28.562602900,0.000602900,1
'2026-08-22 08:26:28.562603000,0.000603000,0
'2026-08-22 08:26:28.562603400,0.000603400,1
'2026-08-22 08:26:28.562603600,0.000603600,0
'2026-08-22 08:26:28.562604100,0.000604100,1
'2026-08-22 08:26:28.562604200,0.000604200,0
'2026-08-22 08:26:28.562607300,0.000607300,1
'2026-08-22 08:26:28.562623400,0.000623400,0
'2026-08-22 08:26:28.562623900,0.000623900,1
'2026-08-22 08:26:28.562624000,0.000624000,0
'2026-08-22 08:26:28.562624300,0.000624300,1
'2026-08-22 08:26:28.562624400,0.000624400,0
'2026-08-22 08:26:28.562624600,0.000624600,1
'2026-08-22 08:26:28.562624700,0.000624700,0
'2026-08-22 08:26:28.562629700,0.000629700,1
'2026-08-22 08:26:28.562629800,0.000629800,0
'2026-08-22 08:26:28.562630900,0.000630900,1
'2026-08-22 08:26:28.562631000,0.000631000,0
'2026-08-22 08:26:28.562631500,0.000631500,1
'2026-08-22 08:26:28.562631600,0.000631600,0
'2026-08-22 08:26:28.562631900,0.000631900,1
'2026-08-22 08:26:28.562632400,0.000632400,0
'2026-08-22 08:26:28.562632700,0.000632700,1
'2026-08-22 08:26:28.562633000,0.000633000,0
'2026-08-22 08:26:28.562633200,0.000633200,1
'2026-08-22 08:26:28.562648000,0.000648000,0
'2026-08-22 08:26:28.562648400,0.000648400,1
'2026-08-22 08:26:28.562648600,0.000648600,0
'2026-08-22 08:26:28.562649600,0.000649600,1
'2026-08-22 08:26:28.562649700,0.000649700,0
'2026-08-22 08:26:28.562650200,0.000650200,1
'2026-08-22 08:26:28.562650500,0.000650500,0
'2026-08-22 08:26:28.562650800,0.000650800,1
'2026-08-22 08:26:28.562650900,0.000650900,0
'2026-08-22 08:26:28.562651300,0.000651300,1
'2026-08-22 08:26:28.562651500,0.000651500,0
'2026-08-22 08:26:28.562651700,0.000651700,1
'2026-08-22 08:26:28.562652100,0.000652100,0
'2026-08-22 08:26:28.562652500,0.000652500,1
'2026-08-22 08:26:28.562652600,0.000652600,0
'2026-08-22 08:26:28.562652700,0.000652700,1
'2026-08-22 08:26:28.562653200,0.000653200,0
'2026-08-22 08:26:28.562653700,0.000653700,1
'2026-08-22 08:26:28.562654000,0.000654000,0
'2026-08-22 08:26:28.562654100,0.000654100,1
'2026-08-22 08:26:28.562654200,0.000654200,0
'2026-08-22 08:26:28.562654300,0.000654300,1
'2026-08-22 08:26:28.562654400,0.000654400,0
'2026-08-22 08:26:28.562659400,0.000659400,1
'2026-08-22 08:26:28.562674900,0.000674900,0
'2026-08-22 08:26:28.562675900,0.000675900,1
'2026-08-22 08:26:28.562676000,0.000676000,0
'2026-08-22 08:26:28.562679900,0.000679900,1
'2026-08-22 08:26:28.562680100,0.000680100,0
'2026-08-22 08:26:28.562680600,0.000680600,1
'2026-08-22 08:26:28.562680700,0.000680700,0
'2026-08-22 08:26:28.562680800,0.000680800,1
'2026-08-22 08:26:28.562681600,0.000681600,0
'2026-08-22 08:26:28.562681700,0.000681700,1
'2026-08-22 08:26:28.562681800,0.000681800,0
'2026-08-22 08:26:28.562681900,0.000681900,1
'2026-08-22 08:26:28.562682100,0.000682100,0
'2026-08-22 08:26:28.562682200,0.000682200,1
'2026-08-22 08:26:28.562682700,0.000682700,0
'2026-08-22 08:26:28.562682800,0.000682800,1
'2026-08-22 08:26:28.562683600,0.000683600,0
'2026-08-22 08:26:28.562683700,0.000683700,1
'2026-08-22 08:26:28.562683800,0.000683800,0
'2026-08-22 08:26:28.562683900,0.000683900,1
'2026-08-22 08:26:28.562684200,0.000684200,0
'2026-08-22 08:26:28.562684300,0.000684300,1
'2026-08-22 08:26:28.562684400,0.000684400,0
'2026-08-22 08:26:28.562685500,0.000685500,1
'2026-08-22 08:26:28.562700800,0.000700800,0
'2026-08-22 08:26:28.562700900,0.000700900,1
'2026-08-22 08:26:28.562703000,0.000703000,0
'2026-08-22 08:26:28.562703300,0.000703300,1
'2026-08-22 08:26:28.562704200,0.000704200,0
'2026-08-22 08:26:28.562704500,0.000704500,1
'2026-08-22 08:26:28.562704600,0.000704600,0
'2026-08-22 08:26:28.562705100,0.000705100,1
'2026-08-22 08:26:28.562705200,0.000705200,0
'2026-08-22 08:26:28.562705700,0.000705700,1
'2026-08-22 08:26:28.562705800,0.000705800,0
'2026-08-22 08:26:28.562710400,0.000710400,1
'2026-08-22 08:26:28.562710500,0.000710500,0
'2026-08-22 08:26:28.562710800,0.000710800,1
'2026-08-22 08:26:28.562710900,0.000710900,0
'2026-08-22 08:26:28.562711000,0.000711000,1
'2026-08-22 08:26:28.562711200,0.000711200,0
'2026-08-22 08:26:28.562711500,0.000711500,1
'2026-08-22 08:26:28.562726600,0.000726600,0
'2026-08-22 08:26:28.562726700,0.000726700,1
'2026-08-22 08:26:28.562726800,0.000726800,0
'2026-08-22 08:26:28.562729600,0.000729600,1
'2026-08-22 08:26:28.562729700,0.000729700,0
'2026-08-22 08:26:28.562730900,0.000730900,1
'2026-08-22 08:26:28.562731000,0.000731000,0
'2026-08-22 08:26:28.562731900,0.000731900,1
'2026-08-22 08:26:28.562732100,0.000732100,0
'2026-08-22 08:26:28.562732500,0.000732500,1
'2026-08-22 08:26:28.562732600,0.000732600,0
'2026-08-22 08:26:28.562733100,0.000733100,1
'2026-08-22 08:26:28.562733200,0.000733200,0
'2026-08-22 08:26:28.562733700,0.000733700,1
'2026-08-22 08:26:28.562733800,0.000733800,0
'2026-08-22 08:26:28.562737700,0.000737700,1
'2026-08-22 08:26:28.562753200,0.000753200,0
'2026-08-22 08:26:28.562753600,0.000753600,1
'2026-08-22 08:26:28.562753700,0.000753700,0
'2026-08-22 08:26:28.562754200,0.000754200,1
'2026-08-22 08:26:28.562754300,0.000754300,0
'2026-08-22 08:26:28.562754700,0.000754700,1
'2026-08-22 08:26:28.562754900,0.000754900,0
'2026-08-22 08:26:28.562758100,0.000758100,1
'2026-08-22 08:26:28.562758200,0.000758200,0
'2026-08-22 08:26:28.562758300,0.000758300,1
'2026-08-22 08:26:28.562758400,0.000758400,0
'2026-08-22 08:26:28.562760000,0.000760000,1
'2026-08-22 08:26:28.562760100,0.000760100,0
'2026-08-22 08:26:28.562760500,0.000760500,1
'2026-08-22 08:26:28.562760700,0.000760700,0
'2026-08-22 08:26:28.562761100,0.000761100,1
'2026-08-22 08:26:28.562761200,0.000761200,0
'2026-08-22 08:26:28.562762000,0.000762000,1
'2026-08-22 08:26:28.562762100,0.000762100,0
'2026-08-22 08:26:28.562762300,0.000762300,1
'2026-08-22 08:26:28.562762500,0.000762500,0
'2026-08-22 08:26:28.562762900,0.000762900,1
'2026-08-22 08:26:28.562763000,0.000763000,0
'2026-08-22 08:26:28.562763500,0.000763500,1
'2026-08-22 08:26:28.562763600,0.000763600,0
'2026-08-22 08:26:28.562763700,0.000763700,1
'2026-08-22 08:26:28.562778900,0.000778900,0
'2026-08-22 08:26:28.562779300,0.000779300,1
'2026-08-22 08:26:28.562779400,0.000779400,0
'2026-08-22 08:26:28.562779700,0.000779700,1
'2026-08-22 08:26:28.562780200,0.000780200,0
'2026-08-22 08:26:28.562780400,0.000780400,1
'2026-08-22 08:26:28.562780600,0.000780600,0
'2026-08-22 08:26:28.562781000,0.000781000,1
'2026-08-22 08:26:28.562781200,0.000781200,0
'2026-08-22 08:26:28.562781300,0.000781300,1
'2026-08-22 08:26:28.562781400,0.000781400,0
'2026-08-22 08:26:28.562781600,0.000781600,1
'2026-08-22 08:26:28.562781700,0.000781700,0
'2026-08-22 08:26:28.562782100,0.000782100,1
'2026-08-22 08:26:28.562782400,0.000782400,0
'2026-08-22 08:26:28.562782900,0.000782900,1
'2026-08-22 08:26:28.562783000,0.000783000,0
'2026-08-22 08:26:28.562783200,0.000783200,1
'2026-08-22 08:26:28.562783600,0.000783600,0
'2026-08-22 08:26:28.562783800,0.000783800,1
'2026-08-22 08:26:28.562784300,0.000784300,0
'2026-08-22 08:26:28.562784500,0.000784500,1
'2026-08-22 08:26:28.562784600,0.000784600,0
'2026-08-22 08:26:28.562786300,0.000786300,1
'2026-08-22 08:26:28.562786400,0.000786400,0
'2026-08-22 08:26:28.562789800,0.000789800,1
'2026-08-22 08:26:28.562804900,0.000804900,0
'2026-08-22 08:26:28.562805000,0.000805000,1
'2026-08-22 08:26:28.562805200,0.000805200,0
'2026-08-22 08:26:28.562805600,0.000805600,1
'2026-08-22 08:26:28.562805800,0.000805800,0
'2026-08-22 08:26:28.562806100,0.000806100,1
'2026-08-22 08:26:28.562806200,0.000806200,0
'2026-08-22 08:26:28.562806700,0.000806700,1
'2026-08-22 08:26:28.562806800,0.000806800,0
