; CSV, generated by atk_libsigrok4 1.0.0 on 2026-08-22 08:28:04
; Channels (1/16)
; ChannelsType: 1
; Sample rate: 10 MHz
; Sample count: 1.907349 M
; Sampling time: 2026-08-22 08:28:01.636
SystemTime, Time(s), meow
'2026-08-22 08:28:01.636000000,0.000000000,1
'2026-08-22 08:28:01.636001800,0.000001800,0
'2026-08-22 08:28:01.636007100,0.000007100,1
'2026-08-22 08:28:01.636021600,0.000021600,0
'2026-08-22 08:28:01.636033200,0.000033200,1
'2026-08-22 08:28:01.636047900,0.000047900,0
'2026-08-22 08:28:01.636059200,0.000059200,1
'2026-08-22 08:28:01.636073600,0.000073600,0
'2026-08-22 08:28:01.636085300,0.000085300,1
'2026-08-22 08:28:01.636100000,0.000100000,0
'2026-08-22 08:28:01.636111400,0.000111400,1
'2026-08-22 08:28:01.636125700,0.000125700,0
'2026-08-22 08:28:01.636137500,0.000137500,1
'2026-08-22 08:28:01.636152000,0.000152000,0
'2026-08-22 08:28:01.636163500,0.000163500,1
'2026-08-22 08:28:01.636177900,0.000177900,0
'2026-08-22 08:28:01.636189600,0.000189600,1
'2026-08-22 08:28:01.636204000,0.000204000,0
'2026-08-22 08:28:01.636215700,0.000215700,1
'2026-08-22 08:28:01.636230200,0.000230200,0
'2026-08-22 08:28:01.636241700,0.000241700,1
'2026-08-22 08:28:01.636256200,0.000256200,0
'2026-08-22 08:28:01.636267800,0.000267800,1
'2026-08-22 08:28:01.636282300,0.000282300,0
'2026-08-22 08:28:01.636293900,0.000293900,1
'2026-08-22 08:28:01.636308500,0.000308500,0
'2026-08-22 08:28:01.636319900,0.000319900,1
'2026-08-22 08:28:01.636334300,0.000334300,0
'2026-08-22 08:28:01.636346000,0.000346000,1
'2026-08-22 08:28:01.636360700,0.000360700,0
'2026-08-22 08:28:01.636372100,0.000372100,1
'2026-08-22 08:28:01.636386400,0.000386400,0
'2026-08-22 08:28:01.636398100,0.000398100,1
'2026-08-22 08:28:01.636412600,0.000412600,0
'2026-08-22 08:28:01.636424200,0.000424200,1
'2026-08-22 08:28:01.636438800,0.000438800,0
'2026-08-22 08:28:01.636450200,0.000450200,1
'2026-08-22 08:28:01.636464600,0.000464600,0
'2026-08-22 08:28:01.636476300,0.000476300,1
'2026-08-22 08:28:01.636491000,0.000491000,0
'2026-08-22 08:28:01.636492900,0.000492900,1
'2026-08-22 08:28:01.636493000,0.000493000,0
'2026-08-22 08:28:01.636502400,0.000502400,1
'2026-08-22 08:28:01.636516700,0.000516700,0
'2026-08-22 08:28:01.636519800,0.000519800,1
'2026-08-22 08:28:01.636519900,0.000519900,0
'2026-08-22 08:28:01.636528400,0.000528400,1
'2026-08-22 08:28:01.636543000,0.000543000,0
'2026-08-22 08:28:01.636543100,0.000543100,1
'2026-08-22 08:28:01.636543300,0.000543300,0
'2026-08-22 08:28:01.636554500,0.000554500,1
'2026-08-22 08:28:01.636569000,0.000569000,0
'2026-08-22 08:28:01.636580600,0.000580600,1
'2026-08-22 08:28:01.636595300,0.000595300,0
'2026-08-22 08:28:01.636606700,0.000606700,1
'2026-08-22 08:28:01.636621300,0.000621300,0
'2026-08-22 08:28:01.636632700,0.000632700,1
'2026-08-22 08:28:01.636647200,0.000647200,0
'2026-08-22 08:28:01.636658800,0.000658800,1
'2026-08-22 08:28:01.636673500,0.000673500,0
'2026-08-22 08:28:01.636684800,0.000684800,1
'2026-08-22 08:28:01.636699400,0.000699400,0
'2026-08-22 08:28:01.636699700,0.000699700,1
'2026-08-22 08:28:01.636699800,0.000699800,0
'2026-08-22 08:28:01.636702000,0.000702000,1
'2026-08-22 08:28:01.636702100,0.000702100,0
'2026-08-22 08:28:01.636710900,0.000710900,1
'2026-08-22 08:28:01.636725500,0.000725500,0
'2026-08-22 08:28:01.636737000,0.000737000,1
'2026-08-22 08:28:01.636751600,0.000751600,0
'2026-08-22 08:28:01.636751700,0.000751700,1
'2026-08-22 08:28:01.636751800,0.000751800,0
'2026-08-22 08:28:01.636763000,0.000763000,1
'2026-08-22 08:28:01.636777400,0.000777400,0
'2026-08-22 08:28:01.636789100,0.000789100,1
'2026-08-22 08:28:01.636803800,0.000803800,0
'2026-08-22 08:28:01.636815200,0.000815200,1
'2026-08-22 08:28:01.636829600,0.000829600,0
'2026-08-22 08:28:01.636841200,0.000841200,1
'2026-08-22 08:28:01.636855800,0.000855800,0
'2026-08-22 08:28:01.636867300,0.000867300,1
'2026-08-22 08:28:01.636882000,0.000882000,0
'2026-08-22 08:28:01.636884800,0.000884800,1
'2026-08-22 08:28:01.636884900,0.000884900,0
'2026-08-22 08:28:01.636893300,0.000893300,1
'2026-08-22 08:28:01.636907900,0.000907900,0
'2026-08-22 08:28:01.636919400,0.000919400,1
'2026-08-22 08:28:01.636934100,0.000934100,0
'2026-08-22 08:28:01.636945500,0.000945500,1
'2026-08-22 08:28:01.636959800,0.000959800,0
'2026-08-22 08:28:01.636971500,0.000971500,1
'2026-08-22 08:28:01.636986100,0.000986100,0
'2026-08-22 08:28:01.636997600,0.000997600,1
'2026-08-22 08:28:01.637012300,0.001012300,0
'2026-08-22 08:28:01.637012700,0.001012700,1
'2026-08-22 08:28:01.637012800,0.001012800,0
'2026-08-22 08:28:01.637023700,0.001023700,1
'2026-08-22 08:28:01.637038100,0.001038100,0
'2026-08-22 08:28:01.637049700,0.001049700,1
'2026-08-22 08:28:01.637064400,0.001064400,0
'2026-08-22 08:28:01.637064700,0.001064700,1
'2026-08-22 08:28:01.637064800,0.001064800,0
'2026-08-22 08:28:01.637075800,0.001075800,1
'2026-08-22 08:28:01.637090300,0.001090300,0
'2026-08-22 08:28:01.637101900,0.001101900,1
'2026-08-22 08:28:01.637116400,0.001116400,0
'2026-08-22 08:28:01.637127900,0.001127900,1
'2026-08-22 08:28:01.637142600,0.001142600,0
'2026-08-22 08:28:01.637142900,0.001142900,1
'2026-08-22 08:28:01.637143000,0.001143000,0
'2026-08-22 08:28:01.637154000,0.001154000,1
'2026-08-22 08:28:01.637168400,0.001168400,0
'2026-08-22 08:28:01.637180100,0.001180100,1
'2026-08-22 08:28:01.637195000,0.001195000,0
'2026-08-22 08:28:01.637206100,0.001206100,1
'2026-08-22 08:28:01.637220500,0.001220500,0
'2026-08-22 08:28:01.637232200,0.001232200,1
'2026-08-22 08:28:01.637246900,0.001246900,0
'2026-08-22 08:28:01.637258300,0.001258300,1
'2026-08-22 08:28:01.637272800,0.001272800,0
'2026-08-22 08:28:01.637284300,0.001284300,1
'2026-08-22 08:28:01.637298900,0.001298900,0
'2026-08-22 08:28:01.637310400,0.001310400,1
'2026-08-22 08:28:01.637325200,0.001325200,0
'2026-08-22 08:28:01.637325500,0.001325500,1
'2026-08-22 08:28:01.637325600,0.001325600,0
'2026-08-22 08:28:01.637336400,0.001336400,1
'2026-08-22 08:28:01.637351000,0.001351000,0
'2026-08-22 08:28:01.637362500,0.001362500,1
'2026-08-22 08:28:01.637377100,0.001377100,0
