; CSV, generated by atk_libsigrok4 1.0.0 on 2026-08-22 08:26:44
; Channels (1/16)
; ChannelsType: 1
; Sample rate: 10 MHz
; Sample count: 1.907349 M
; Sampling time: 2026-08-22 08:26:41.754
SystemTime, Time(s), meow
'2026-08-22 08:26:41.754000000,0.000000000,1
'2026-08-22 08:26:41.754001600,0.000001600,0
'2026-08-22 08:26:41.754007000,0.000007000,1
'2026-08-22 08:26:41.754021600,0.000021600,0
'2026-08-22 08:26:41.754021700,0.000021700,1
'2026-08-22 08:26:41.754021800,0.000021800,0
'2026-08-22 08:26:41.754033000,0.000033000,1
'2026-08-22 08:26:41.754047600,0.000047600,0
'2026-08-22 08:26:41.754059100,0.000059100,1
'2026-08-22 08:26:41.754073800,0.000073800,0
'2026-08-22 08:26:41.754085200,0.000085200,1
'2026-08-22 08:26:41.754099800,0.000099800,0
'2026-08-22 08:26:41.754111300,0.000111300,1
'2026-08-22 08:26:41.754126000,0.000126000,0
'2026-08-22 08:26:41.754128000,0.000128000,1
'2026-08-22 08:26:41.754128100,0.000128100,0
'2026-08-22 08:26:41.754137300,0.000137300,1
'2026-08-22 08:26:41.754151800,0.000151800,0
'2026-08-22 08:26:41.754151900,0.000151900,1
'2026-08-22 08:26:41.754152100,0.000152100,0
'2026-08-22 08:26:41.754163100,0.000163100,1
'2026-08-22 08:26:41.754163200,0.000163200,0
'2026-08-22 08:26:41.754163400,0.000163400,1
'2026-08-22 08:26:41.754178400,0.000178400,0
'2026-08-22 08:26:41.754178600,0.000178600,1
'2026-08-22 08:26:41.754178700,0.000178700,0
'2026-08-22 08:26:41.754188100,0.000188100,1
'2026-08-22 08:26:41.754188200,0.000188200,0
'2026-08-22 08:26:41.754189500,0.000189500,1
'2026-08-22 08:26:41.754204200,0.000204200,0
'2026-08-22 08:26:41.754211000,0.000211000,1
'2026-08-22 08:26:41.754211100,0.000211100,0
'2026-08-22 08:26:41.754215600,0.000215600,1
'2026-08-22 08:26:41.754230600,0.000230600,0
'2026-08-22 08:26:41.754230800,0.000230800,1
'2026-08-22 08:26:41.754231000,0.000231000,0
'2026-08-22 08:26:41.754231400,0.000231400,1
'2026-08-22 08:26:41.754231500,0.000231500,0
'2026-08-22 08:26:41.754232000,0.000232000,1
'2026-08-22 08:26:41.754232100,0.000232100,0
'2026-08-22 08:26:41.754238100,0.000238100,1
'2026-08-22 08:26:41.754238200,0.000238200,0
'2026-08-22 08:26:41.754239000,0.000239000,1
'2026-08-22 08:26:41.754239100,0.000239100,0
'2026-08-22 08:26:41.754241300,0.000241300,1
'2026-08-22 08:26:41.754241400,0.000241400,0
'2026-08-22 08:26:41.754241600,0.000241600,1
'2026-08-22 08:26:41.754256300,0.000256300,0
'2026-08-22 08:26:41.754256500,0.000256500,1
'2026-08-22 08:26:41.754256600,0.000256600,0
'2026-08-22 08:26:41.754260600,0.000260600,1
'2026-08-22 08:26:41.754260700,0.000260700,0
'2026-08-22 08:26:41.754267700,0.000267700,1
'2026-08-22 08:26:41.754282400,0.000282400,0
'2026-08-22 08:26:41.754288900,0.000288900,1
'2026-08-22 08:26:41.754289000,0.000289000,0
'2026-08-22 08:26:41.754290700,0.000290700,1
'2026-08-22 08:26:41.754290800,0.000290800,0
'2026-08-22 08:26:41.754292100,0.000292100,1
'2026-08-22 08:26:41.754292200,0.000292200,0
'2026-08-22 08:26:41.754293800,0.000293800,1
'2026-08-22 08:26:41.754308700,0.000308700,0
'2026-08-22 08:26:41.754309100,0.000309100,1
'2026-08-22 08:26:41.754309200,0.000309200,0
'2026-08-22 08:26:41.754309500,0.000309500,1
'2026-08-22 08:26:41.754309600,0.000309600,0
'2026-08-22 08:26:41.754309700,0.000309700,1
'2026-08-22 08:26:41.754309800,0.000309800,0
'2026-08-22 08:26:41.754310200,0.000310200,1
'2026-08-22 08:26:41.754310300,0.000310300,0
'2026-08-22 08:26:41.754310800,0.000310800,1
'2026-08-22 08:26:41.754311000,0.000311000,0
'2026-08-22 08:26:41.754317100,0.000317100,1
'2026-08-22 08:26:41.754317200,0.000317200,0
'2026-08-22 08:26:41.754319800,0.000319800,1
'2026-08-22 08:26:41.754334700,0.000334700,0
'2026-08-22 08:26:41.754339500,0.000339500,1
'2026-08-22 08:26:41.754339600,0.000339600,0
'2026-08-22 08:26:41.754342100,0.000342100,1
'2026-08-22 08:26:41.754342200,0.000342200,0
'2026-08-22 08:26:41.754345900,0.000345900,1
'2026-08-22 08:26:41.754361300,0.000361300,0
'2026-08-22 08:26:41.754361500,0.000361500,1
'2026-08-22 08:26:41.754361800,0.000361800,0
'2026-08-22 08:26:41.754362100,0.000362100,1
'2026-08-22 08:26:41.754362300,0.000362300,0
'2026-08-22 08:26:41.754367100,0.000367100,1
'2026-08-22 08:26:41.754367200,0.000367200,0
'2026-08-22 08:26:41.754369100,0.000369100,1
'2026-08-22 08:26:41.754369200,0.000369200,0
'2026-08-22 08:26:41.754370300,0.000370300,1
'2026-08-22 08:26:41.754370400,0.000370400,0
'2026-08-22 08:26:41.754371500,0.000371500,1
'2026-08-22 08:26:41.754371600,0.000371600,0
'2026-08-22 08:26:41.754372000,0.000372000,1
'2026-08-22 08:26:41.754386600,0.000386600,0
'2026-08-22 08:26:41.754386700,0.000386700,1
'2026-08-22 08:26:41.754386800,0.000386800,0
'2026-08-22 08:26:41.754387300,0.000387300,1
'2026-08-22 08:26:41.754387400,0.000387400,0
'2026-08-22 08:26:41.754388000,0.000388000,1
'2026-08-22 08:26:41.754388200,0.000388200,0
'2026-08-22 08:26:41.754389700,0.000389700,1
'2026-08-22 08:26:41.754389900,0.000389900,0
'2026-08-22 08:26:41.754390200,0.000390200,1
'2026-08-22 08:26:41.754390400,0.000390400,0
'2026-08-22 08:26:41.754391400,0.000391400,1
'2026-08-22 08:26:41.754391500,0.000391500,0
'2026-08-22 08:26:41.754392000,0.000392000,1
'2026-08-22 08:26:41.754392200,0.000392200,0
'2026-08-22 08:26:41.754392500,0.000392500,1
'2026-08-22 08:26:41.754392600,0.000392600,0
'2026-08-22 08:26:41.754393700,0.000393700,1
'2026-08-22 08:26:41.754393800,0.000393800,0
'2026-08-22 08:26:41.754398100,0.000398100,1
'2026-08-22 08:26:41.754413000,0.000413000,0
'2026-08-22 08:26:41.754417100,0.000417100,1
'2026-08-22 08:26:41.754417200,0.000417200,0
'2026-08-22 08:26:41.754417700,0.000417700,1
'2026-08-22 08:26:41.754417800,0.000417800,0
'2026-08-22 08:26:41.754418300,0.000418300,1
'2026-08-22 08:26:41.754418400,0.000418400,0
'2026-08-22 08:26:41.754418500,0.000418500,1
'2026-08-22 08:26:41.754418800,0.000418800,0
'2026-08-22 08:26:41.754418900,0.000418900,1
'2026-08-22 08:26:41.754419000,0.000419000,0
'2026-08-22 08:26:41.754419400,0.000419400,1
'2026-08-22 08:26:41.754419700,0.000419700,0
'2026-08-22 08:26:41.754420000,0.000420000,1
'2026-08-22 08:26:41.754420200,0.000420200,0
'2026-08-22 08:26:41.754420300,0.000420300,1
'2026-08-22 08:26:41.754420400,0.000420400,0
'2026-08-22 08:26:41.754420500,0.000420500,1
'2026-08-22 08:26:41.754421200,0.000421200,0
'2026-08-22 08:26:41.754421300,0.000421300,1
'2026-08-22 08:26:41.754421400,0.000421400,0
'2026-08-22 08:26:41.754421800,0.000421800,1
'2026-08-22 08:26:41.754422000,0.000422000,0
'2026-08-22 08:26:41.754422900,0.000422900,1
'2026-08-22 08:26:41.754423100,0.000423100,0
'2026-08-22 08:26:41.754424100,0.000424100,1
'2026-08-22 08:26:41.754440200,0.000440200,0
'2026-08-22 08:26:41.754440300,0.000440300,1
'2026-08-22 08:26:41.754441500,0.000441500,0
'2026-08-22 08:26:41.754441600,0.000441600,1
'2026-08-22 08:26:41.754442400,0.000442400,0
'2026-08-22 08:26:41.754442500,0.000442500,1
