; CSV, generated by atk_libsigrok4 1.0.0 on 2026-08-22 08:23:51
; Channels (1/16)
; ChannelsType: 1
; Sample rate: 10 MHz
; Sample count: 1.907349 M
; Sampling time: 2026-08-22 08:23:47.297
SystemTime, Time(s), meow
'2026-08-22 08:23:47.297000000,0.000000000,1
'2026-08-22 08:23:47.297002200,0.000002200,0
'2026-08-22 08:23:47.297008000,0.000008000,1
'2026-08-22 08:23:47.297022300,0.000022300,0
'2026-08-22 08:23:47.297034100,0.000034100,1
'2026-08-22 08:23:47.297048400,0.000048400,0
'2026-08-22 08:23:47.297060200,0.000060200,1
'2026-08-22 08:23:47.297074400,0.000074400,0
'2026-08-22 08:23:47.297086300,0.000086300,1
'2026-08-22 08:23:47.297100700,0.000100700,0
'2026-08-22 08:23:47.297112300,0.000112300,1
'2026-08-22 08:23:47.297126700,0.000126700,0
'2026-08-22 08:23:47.297126900,0.000126900,1
'2026-08-22 08:23:47.297127000,0.000127000,0
'2026-08-22 08:23:47.297138400,0.000138400,1
'2026-08-22 08:23:47.297152800,0.000152800,0
'2026-08-22 08:23:47.297153500,0.000153500,1
'2026-08-22 08:23:47.297153600,0.000153600,0
'2026-08-22 08:23:47.297164500,0.000164500,1
'2026-08-22 08:23:47.297178800,0.000178800,0
'2026-08-22 08:23:47.297178900,0.000178900,1
'2026-08-22 08:23:47.297179000,0.000179000,0
'2026-08-22 08:23:47.297179500,0.000179500,1
'2026-08-22 08:23:47.297179600,0.000179600,0
'2026-08-22 08:23:47.297183500,0.000183500,1
'2026-08-22 08:23:47.297183600,0.000183600,0
'2026-08-22 08:23:47.297185900,0.000185900,1
'2026-08-22 08:23:47.297186000,0.000186000,0
'2026-08-22 08:23:47.297190600,0.000190600,1
'2026-08-22 08:23:47.297205300,0.000205300,0
'2026-08-22 08:23:47.297206300,0.000206300,1
'2026-08-22 08:23:47.297206400,0.000206400,0
'2026-08-22 08:23:47.297206900,0.000206900,1
'2026-08-22 08:23:47.297207000,0.000207000,0
'2026-08-22 08:23:47.297207500,0.000207500,1
'2026-08-22 08:23:47.297207600,0.000207600,0
'2026-08-22 08:23:47.297208500,0.000208500,1
'2026-08-22 08:23:47.297208600,0.000208600,0
'2026-08-22 08:23:47.297208700,0.000208700,1
'2026-08-22 08:23:47.297208800,0.000208800,0
'2026-08-22 08:23:47.297209800,0.000209800,1
'2026-08-22 08:23:47.297209900,0.000209900,0
'2026-08-22 08:23:47.297215100,0.000215100,1
'2026-08-22 08:23:47.297215200,0.000215200,0
'2026-08-22 08:23:47.297216300,0.000216300,1
'2026-08-22 08:23:47.297216400,0.000216400,0
'2026-08-22 08:23:47.297216600,0.000216600,1
'2026-08-22 08:23:47.297231300,0.000231300,0
'2026-08-22 08:23:47.297231500,0.000231500,1
'2026-08-22 08:23:47.297231600,0.000231600,0
'2026-08-22 08:23:47.297232000,0.000232000,1
'2026-08-22 08:23:47.297232100,0.000232100,0
'2026-08-22 08:23:47.297236800,0.000236800,1
'2026-08-22 08:23:47.297236900,0.000236900,0
'2026-08-22 08:23:47.297237300,0.000237300,1
'2026-08-22 08:23:47.297237400,0.000237400,0
'2026-08-22 08:23:47.297238400,0.000238400,1
'2026-08-22 08:23:47.297238500,0.000238500,0
'2026-08-22 08:23:47.297238600,0.000238600,1
'2026-08-22 08:23:47.297238700,0.000238700,0
'2026-08-22 08:23:47.297239600,0.000239600,1
'2026-08-22 08:23:47.297239700,0.000239700,0
'2026-08-22 08:23:47.297240200,0.000240200,1
'2026-08-22 08:23:47.297240300,0.000240300,0
'2026-08-22 08:23:47.297240800,0.000240800,1
'2026-08-22 08:23:47.297240900,0.000240900,0
'2026-08-22 08:23:47.297242700,0.000242700,1
'2026-08-22 08:23:47.297257500,0.000257500,0
'2026-08-22 08:23:47.297257700,0.000257700,1
'2026-08-22 08:23:47.297257800,0.000257800,0
'2026-08-22 08:23:47.297258300,0.000258300,1
'2026-08-22 08:23:47.297258400,0.000258400,0
'2026-08-22 08:23:47.297258900,0.000258900,1
'2026-08-22 08:23:47.297259000,0.000259000,0
'2026-08-22 08:23:47.297260000,0.000260000,1
'2026-08-22 08:23:47.297260200,0.000260200,0
'2026-08-22 08:23:47.297260600,0.000260600,1
'2026-08-22 08:23:47.297260700,0.000260700,0
'2026-08-22 08:23:47.297260800,0.000260800,1
'2026-08-22 08:23:47.297260900,0.000260900,0
'2026-08-22 08:23:47.297261100,0.000261100,1
'2026-08-22 08:23:47.297261400,0.000261400,0
'2026-08-22 08:23:47.297264400,0.000264400,1
'2026-08-22 08:23:47.297264500,0.000264500,0
'2026-08-22 08:23:47.297265800,0.000265800,1
'2026-08-22 08:23:47.297265900,0.000265900,0
'2026-08-22 08:23:47.297267700,0.000267700,1
'2026-08-22 08:23:47.297267800,0.000267800,0
'2026-08-22 08:23:47.297268800,0.000268800,1
'2026-08-22 08:23:47.297283300,0.000283300,0
'2026-08-22 08:23:47.297283400,0.000283400,1
'2026-08-22 08:23:47.297283500,0.000283500,0
'2026-08-22 08:23:47.297284000,0.000284000,1
'2026-08-22 08:23:47.297284100,0.000284100,0
'2026-08-22 08:23:47.297286300,0.000286300,1
'2026-08-22 08:23:47.297286500,0.000286500,0
'2026-08-22 08:23:47.297287300,0.000287300,1
'2026-08-22 08:23:47.297287700,0.000287700,0
'2026-08-22 08:23:47.297288700,0.000288700,1
'2026-08-22 08:23:47.297288800,0.000288800,0
'2026-08-22 08:23:47.297289300,0.000289300,1
'2026-08-22 08:23:47.297289400,0.000289400,0
'2026-08-22 08:23:47.297289800,0.000289800,1
'2026-08-22 08:23:47.297289900,0.000289900,0
'2026-08-22 08:23:47.297290300,0.000290300,1
'2026-08-22 08:23:47.297290400,0.000290400,0
'2026-08-22 08:23:47.297291600,0.000291600,1
'2026-08-22 08:23:47.297291800,0.000291800,0
'2026-08-22 08:23:47.297293300,0.000293300,1
'2026-08-22 08:23:47.297293400,0.000293400,0
'2026-08-22 08:23:47.297293900,0.000293900,1
'2026-08-22 08:23:47.297294000,0.000294000,0
'2026-08-22 08:23:47.297294500,0.000294500,1
'2026-08-22 08:23:47.297294600,0.000294600,0
'2026-08-22 08:23:47.297294900,0.000294900,1
'2026-08-22 08:23:47.297309500,0.000309500,0
'2026-08-22 08:23:47.297309700,0.000309700,1
'2026-08-22 08:23:47.297309800,0.000309800,0
'2026-08-22 08:23:47.297309900,0.000309900,1
'2026-08-22 08:23:47.297310000,0.000310000,0
'2026-08-22 08:23:47.297310200,0.000310200,1
'2026-08-22 08:23:47.297310600,0.000310600,0
'2026-08-22 08:23:47.297310700,0.000310700,1
'2026-08-22 08:23:47.297311300,0.000311300,0
'2026-08-22 08:23:47.297311500,0.000311500,1
'2026-08-22 08:23:47.297311600,0.000311600,0
'2026-08-22 08:23:47.297312000,0.000312000,1
'2026-08-22 08:23:47.297312100,0.000312100,0
'2026-08-22 08:23:47.297312600,0.000312600,1
'2026-08-22 08:23:47.297312700,0.000312700,0
'2026-08-22 08:23:47.297312900,0.000312900,1
'2026-08-22 08:23:47.297313000,0.000313000,0
'2026-08-22 08:23:47.297313200,0.000313200,1
'2026-08-22 08:23:47.297313400,0.000313400,0
'2026-08-22 08:23:47.297314400,0.000314400,1
'2026-08-22 08:23:47.297314500,0.000314500,0
'2026-08-22 08:23:47.297315000,0.000315000,1
'2026-08-22 08:23:47.297315100,0.000315100,0
'2026-08-22 08:23:47.297315500,0.000315500,1
'2026-08-22 08:23:47.297315800,0.000315800,0
'2026-08-22 08:23:47.297316100,0.000316100,1
'2026-08-22 08:23:47.297316200,0.000316200,0
'2026-08-22 08:23:47.297316700,0.000316700,1
'2026-08-22 08:23:47.297316800,0.000316800,0
'2026-08-22 08:23:47.297317300,0.000317300,1
'2026-08-22 08:23:47.297317400,0.000317400,0
'2026-08-22 08:23:47.297317900,0.000317900,1
'2026-08-22 08:23:47.297318000,0.000318000,0
'2026-08-22 08:23:47.297318100,0.000318100,1
'2026-08-22 08:23:47.297318200,0.000318200,0
'2026-08-22 08:23:47.297318500,0.000318500,1
'2026-08-22 08:23:47.297318700,0.000318700,0
'2026-08-22 08:23:47.297319000,0.000319000,1
'2026-08-22 08:23:47.297319100,0.000319100,0
'2026-08-22 08:23:47.297319200,0.000319200,1
'2026-08-22 08:23:47.297319300,0.000319300,0
'2026-08-22 08:23:47.297319500,0.000319500,1
'2026-08-22 08:23:47.297319800,0.000319800,0
'2026-08-22 08:23:47.297320800,0.000320800,1
'2026-08-22 08:23:47.297335600,0.000335600,0
'2026-08-22 08:23:47.297335900,0.000335900,1
'2026-08-22 08:23:47.297336200,0.000336200,0
'2026-08-22 08:23:47.297337100,0.000337100,1
'2026-08-22 08:23:47.297337400,0.000337400,0
'2026-08-22 08:23:47.297337700,0.000337700,1
'2026-08-22 08:23:47.297337900,0.000337900,0
'2026-08-22 08:23:47.297338300,0.000338300,1
'2026-08-22 08:23:47.297338500,0.000338500,0
'2026-08-22 08:23:47.297338900,0.000338900,1
'2026-08-22 08:23:47.297339000,0.000339000,0
'2026-08-22 08:23:47.297339200,0.000339200,1
'2026-08-22 08:23:47.297339400,0.000339400,0
'2026-08-22 08:23:47.297339500,0.000339500,1
'2026-08-22 08:23:47.297339700,0.000339700,0
'2026-08-22 08:23:47.297340100,0.000340100,1
'2026-08-22 08:23:47.297340200,0.000340200,0
'2026-08-22 08:23:47.297340600,0.000340600,1
'2026-08-22 08:23:47.297340800,0.000340800,0
'2026-08-22 08:23:47.297340900,0.000340900,1
'2026-08-22 08:23:47.297341000,0.000341000,0
'2026-08-22 08:23:47.297341100,0.000341100,1
'2026-08-22 08:23:47.297341400,0.000341400,0
'2026-08-22 08:23:47.297341500,0.000341500,1
'2026-08-22 08:23:47.297341800,0.000341800,0
'2026-08-22 08:23:47.297342400,0.000342400,1
'2026-08-22 08:23:47.297342500,0.000342500,0
'2026-08-22 08:23:47.297343600,0.000343600,1
'2026-08-22 08:23:47.297343700,0.000343700,0
'2026-08-22 08:23:47.297344700,0.000344700,1
'2026-08-22 08:23:47.297344900,0.000344900,0
'2026-08-22 08:23:47.297345900,0.000345900,1
'2026-08-22 08:23:47.297346000,0.000346000,0
'2026-08-22 08:23:47.297347000,0.000347000,1
'2026-08-22 08:23:47.297362000,0.000362000,0
'2026-08-22 08:23:47.297362100,0.000362100,1
'2026-08-22 08:23:47.297362400,0.000362400,0
'2026-08-22 08:23:47.297362900,0.000362900,1
'2026-08-22 08:23:47.297363000,0.000363000,0
'2026-08-22 08:23:47.297363400,0.000363400,1
'2026-08-22 08:23:47.297363600,0.000363600,0
'2026-08-22 08:23:47.297364000,0.000364000,1
'2026-08-22 08:23:47.297364200,0.000364200,0
'2026-08-22 08:23:47.297364500,0.000364500,1
'2026-08-22 08:23:47.297364700,0.000364700,0
'2026-08-22 08:23:47.297365200,0.000365200,1
'2026-08-22 08:23:47.297365400,0.000365400,0
'2026-08-22 08:23:47.297365500,0.000365500,1
'2026-08-22 08:23:47.297365600,0.000365600,0
'2026-08-22 08:23:47.297365800,0.000365800,1
'2026-08-22 08:23:47.297365900,0.000365900,0
'2026-08-22 08:23:47.297366200,0.000366200,1
'2026-08-22 08:23:47.297366300,0.000366300,0
'2026-08-22 08:23:47.297366400,0.000366400,1
'2026-08-22 08:23:47.297366500,0.000366500,0
'2026-08-22 08:23:47.297366800,0.000366800,1
'2026-08-22 08:23:47.297367100,0.000367100,0
'2026-08-22 08:23:47.297367400,0.000367400,1
'2026-08-22 08:23:47.297367500,0.000367500,0
'2026-08-22 08:23:47.297367700,0.000367700,1
'2026-08-22 08:23:47.297368000,0.000368000,0
'2026-08-22 08:23:47.297368100,0.000368100,1
'2026-08-22 08:23:47.297368200,0.000368200,0
'2026-08-22 08:23:47.297368700,0.000368700,1
'2026-08-22 08:23:47.297368800,0.000368800,0
'2026-08-22 08:23:47.297368900,0.000368900,1
'2026-08-22 08:23:47.297369000,0.000369000,0
'2026-08-22 08:23:47.297369200,0.000369200,1
'2026-08-22 08:23:47.297369400,0.000369400,0
'2026-08-22 08:23:47.297369700,0.000369700,1
'2026-08-22 08:23:47.297370000,0.000370000,0
