; CSV, generated by atk_libsigrok4 1.0.0 on 2026-08-22 08:24:22
; Channels (1/16)
; ChannelsType: 1
; Sample rate: 10 MHz
; Sample count: 1.907349 M
; Sampling time: 2026-08-22 08:24:18.212
SystemTime, Time(s), meow
'2026-08-22 08:24:18.212000000,0.000000000,1
'2026-08-22 08:24:18.212002100,0.000002100,0
'2026-08-22 08:24:18.212007900,0.000007900,1
'2026-08-22 08:24:18.212022000,0.000022000,0
'2026-08-22 08:24:18.212034000,0.000034000,1
'2026-08-22 08:24:18.212048200,0.000048200,0
'2026-08-22 08:24:18.212050900,0.000050900,1
'2026-08-22 08:24:18.212051000,0.000051000,0
'2026-08-22 08:24:18.212060000,0.000060000,1
'2026-08-22 08:24:18.212074100,0.000074100,0
'2026-08-22 08:24:18.212086100,0.000086100,1
'2026-08-22 08:24:18.212100400,0.000100400,0
'2026-08-22 08:24:18.212112200,0.000112200,1
'2026-08-22 08:24:18.212126500,0.000126500,0
'2026-08-22 08:24:18.212138300,0.000138300,1
'2026-08-22 08:24:18.212152500,0.000152500,0
'2026-08-22 08:24:18.212164300,0.000164300,1
'2026-08-22 08:24:18.212178600,0.000178600,0
'2026-08-22 08:24:18.212190400,0.000190400,1
'2026-08-22 08:24:18.212204600,0.000204600,0
'2026-08-22 08:24:18.212216500,0.000216500,1
'2026-08-22 08:24:18.212230800,0.000230800,0
'2026-08-22 08:24:18.212242600,0.000242600,1
'2026-08-22 08:24:18.212256600,0.000256600,0
'2026-08-22 08:24:18.212268600,0.000268600,1
'2026-08-22 08:24:18.212282800,0.000282800,0
'2026-08-22 08:24:18.212294700,0.000294700,1
'2026-08-22 08:24:18.212309000,0.000309000,0
'2026-08-22 08:24:18.212320800,0.000320800,1
'2026-08-22 08:24:18.212334900,0.000334900,0
'2026-08-22 08:24:18.212346800,0.000346800,1
'2026-08-22 08:24:18.212361200,0.000361200,0
'2026-08-22 08:24:18.212372900,0.000372900,1
'2026-08-22 08:24:18.212387200,0.000387200,0
'2026-08-22 08:24:18.212399000,0.000399000,1
'2026-08-22 08:24:18.212413200,0.000413200,0
'2026-08-22 08:24:18.212425100,0.000425100,1
'2026-08-22 08:24:18.212439300,0.000439300,0
'2026-08-22 08:24:18.212451100,0.000451100,1
'2026-08-22 08:24:18.212465400,0.000465400,0
'2026-08-22 08:24:18.212477200,0.000477200,1
'2026-08-22 08:24:18.212491600,0.000491600,0
'2026-08-22 08:24:18.212503300,0.000503300,1
'2026-08-22 08:24:18.212517500,0.000517500,0
'2026-08-22 08:24:18.212529300,0.000529300,1
'2026-08-22 08:24:18.212543600,0.000543600,0
'2026-08-22 08:24:18.212555400,0.000555400,1
'2026-08-22 08:24:18.212569800,0.000569800,0
'2026-08-22 08:24:18.212581500,0.000581500,1
'2026-08-22 08:24:18.212595800,0.000595800,0
'2026-08-22 08:24:18.212607600,0.000607600,1
'2026-08-22 08:24:18.212621900,0.000621900,0
'2026-08-22 08:24:18.212633600,0.000633600,1
'2026-08-22 08:24:18.212648000,0.000648000,0
'2026-08-22 08:24:18.212659700,0.000659700,1
'2026-08-22 08:24:18.212673900,0.000673900,0
'2026-08-22 08:24:18.212685800,0.000685800,1
'2026-08-22 08:24:18.212700100,0.000700100,0
'2026-08-22 08:24:18.212711800,0.000711800,1
'2026-08-22 08:24:18.212726100,0.000726100,0
'2026-08-22 08:24:18.212737900,0.000737900,1
'2026-08-22 08:24:18.212752200,0.000752200,0
'2026-08-22 08:24:18.212752500,0.000752500,1
'2026-08-22 08:24:18.212752600,0.000752600,0
'2026-08-22 08:24:18.212764000,0.000764000,1
'2026-08-22 08:24:18.212778300,0.000778300,0
'2026-08-22 08:24:18.212790100,0.000790100,1
'2026-08-22 08:24:18.212804400,0.000804400,0
'2026-08-22 08:24:18.212804500,0.000804500,1
'2026-08-22 08:24:18.212804600,0.000804600,0
'2026-08-22 08:24:18.212816100,0.000816100,1
'2026-08-22 08:24:18.212830600,0.000830600,0
'2026-08-22 08:24:18.212834200,0.000834200,1
'2026-08-22 08:24:18.212834300,0.000834300,0
'2026-08-22 08:24:18.212842200,0.000842200,1
'2026-08-22 08:24:18.212856600,0.000856600,0
'2026-08-22 08:24:18.212868300,0.000868300,1
